"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CARIÑO","GAUDET","MACCHARLES","SMITH","THOMAS","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"072","PICKERING--SCARBOROUGH EAST","053","U","PICKERING","16","47","79","3","1","0","0","0","146","363","Highbush Public School"
"072","PICKERING--SCARBOROUGH EAST","054A","U","PICKERING","12","35","27","3","1","0","0","0","78","248","Dunbarton High School"
"072","PICKERING--SCARBOROUGH EAST","054B","U","PICKERING","14","33","33","7","0","0","0","0","87","274","Dunbarton High School"
"072","PICKERING--SCARBOROUGH EAST","055","U","PICKERING","25","63","79","1","0","0","0","0","168","420","Elizabeth B. Phin Public School"
"072","PICKERING--SCARBOROUGH EAST","056","U","PICKERING","20","38","56","3","1","0","0","0","118","334","Westcreek Public School"
"072","PICKERING--SCARBOROUGH EAST","057","U","PICKERING","32","57","65","4","0","0","0","0","158","412","Westcreek Public School"
"072","PICKERING--SCARBOROUGH EAST","058","U","PICKERING","16","35","67","6","2","0","1","0","127","347","Westcreek Public School"
"072","PICKERING--SCARBOROUGH EAST","059","U","PICKERING","28","64","92","5","2","0","0","0","191","408","Westcreek Public School"
"072","PICKERING--SCARBOROUGH EAST","060","U","PICKERING","31","89","93","1","0","0","0","0","214","468","Westcreek Public School"
"072","PICKERING--SCARBOROUGH EAST","061","U","PICKERING","17","52","91","4","1","0","0","0","165","404","Westcreek Public School"
"072","PICKERING--SCARBOROUGH EAST","062","U","PICKERING","26","48","107","5","2","1","1","0","190","452","St. Monica Catholic School"
"072","PICKERING--SCARBOROUGH EAST","063","U","PICKERING","25","86","93","13","1","1","0","0","219","500","St. Monica Catholic School"
"072","PICKERING--SCARBOROUGH EAST","064A","U","PICKERING","18","39","70","4","1","1","0","0","133","294","Elizabeth B. Phin Public School"
"072","PICKERING--SCARBOROUGH EAST","064B","U","PICKERING","12","51","70","1","0","0","0","0","134","277","Elizabeth B. Phin Public School"
"072","PICKERING--SCARBOROUGH EAST","065","U","PICKERING","16","93","96","9","2","0","0","2","218","475","Elizabeth B. Phin Public School"
"072","PICKERING--SCARBOROUGH EAST","066","U","PICKERING","28","64","75","1","2","0","0","0","170","407","St. Monica Catholic School"
"072","PICKERING--SCARBOROUGH EAST","067","U","PICKERING","18","39","105","5","1","0","0","0","168","399","St. Monica Catholic School"
"072","PICKERING--SCARBOROUGH EAST","068","U","PICKERING","33","46","51","7","2","0","0","0","139","386","Bayview Heights Public School"
"072","PICKERING--SCARBOROUGH EAST","069","U","PICKERING","42","87","65","8","0","3","0","0","205","410","Sir J. A. Macdonald Public School"
"072","PICKERING--SCARBOROUGH EAST","070","U","PICKERING","33","47","66","8","0","0","0","0","154","418","Bayview Heights Public School"
"072","PICKERING--SCARBOROUGH EAST","071","U","PICKERING","37","62","58","8","1","1","0","0","167","429","Sir J. A. Macdonald Public School"
"072","PICKERING--SCARBOROUGH EAST","072","U","PICKERING","43","55","61","6","1","0","0","0","166","393","Sir J. A. Macdonald Public School"
"072","PICKERING--SCARBOROUGH EAST","073","U","PICKERING","36","69","65","7","0","0","0","0","177","403","Sir J. A. Macdonald Public School"
"072","PICKERING--SCARBOROUGH EAST","074","U","PICKERING","29","60","64","8","1","0","0","0","162","394","Holy Redeemer Catholic School"
"072","PICKERING--SCARBOROUGH EAST","075","U","PICKERING","..........................NO POLL HELD..........................","","","","","","","","","",""
"072","PICKERING--SCARBOROUGH EAST","076","U","PICKERING","31","45","73","10","2","0","0","1","162","401","Bayview Heights Public School"
"072","PICKERING--SCARBOROUGH EAST","077","U","PICKERING","37","81","64","6","2","3","0","0","193","431","Holy Redeemer Catholic School"
"072","PICKERING--SCARBOROUGH EAST","078","U","PICKERING","38","71","54","1","1","1","0","0","166","351","Holy Redeemer Catholic School"
"072","PICKERING--SCARBOROUGH EAST","079","U","PICKERING","28","53","53","2","0","0","0","0","136","461","Bayview Heights Public School"
"072","PICKERING--SCARBOROUGH EAST","080","U","PICKERING","24","71","55","6","0","1","0","0","157","368","Holy Redeemer Catholic School"
"072","PICKERING--SCARBOROUGH EAST","081","U","PICKERING","31","65","71","10","0","0","0","0","177","396","Holy Redeemer Catholic School"
"072","PICKERING--SCARBOROUGH EAST","082A","U","PICKERING","23","34","45","4","1","2","0","0","109","281","Frenchman's Bay Public School"
"072","PICKERING--SCARBOROUGH EAST","082B","U","PICKERING","28","49","43","5","0","2","0","0","127","288","Frenchman's Bay Public School"
"072","PICKERING--SCARBOROUGH EAST","083","U","PICKERING","32","100","94","7","0","1","0","0","234","471","Frenchman's Bay Public School"
"072","PICKERING--SCARBOROUGH EAST","084","U","PICKERING","45","76","92","9","2","0","0","0","224","439","Frenchman's Bay Public School"
"072","PICKERING--SCARBOROUGH EAST","085","U","PICKERING","27","81","63","10","2","0","0","0","183","388","Frenchman's Bay Public School"
"072","PICKERING--SCARBOROUGH EAST","086","U","PICKERING","43","66","63","6","1","0","0","0","179","407","Frenchman's Bay Public School"
"072","PICKERING--SCARBOROUGH EAST","087","U","PICKERING","36","58","70","8","0","2","0","0","174","405","Frenchman's Bay Public School"
"072","PICKERING--SCARBOROUGH EAST","088","U","PICKERING","29","39","60","13","0","0","0","0","141","401","Fairport Beach Public School"
"072","PICKERING--SCARBOROUGH EAST","089","U","PICKERING","35","72","79","8","3","0","0","1","198","408","Fairport Beach Public School"
"072","PICKERING--SCARBOROUGH EAST","090","U","PICKERING","32","64","84","9","0","0","0","0","189","413","Fairport Beach Public School"
"072","PICKERING--SCARBOROUGH EAST","091A","U","PICKERING","27","57","45","2","0","0","0","0","131","273","Fairport Beach Public School"
"072","PICKERING--SCARBOROUGH EAST","091B","U","PICKERING","17","37","56","6","2","0","0","0","118","265","Fairport Beach Public School"
"072","PICKERING--SCARBOROUGH EAST","092A","U","PICKERING","16","43","40","1","2","1","0","0","103","255","Fairport Beach Public School"
"072","PICKERING--SCARBOROUGH EAST","092B","U","PICKERING","13","38","54","2","0","0","1","0","108","264","Fairport Beach Public School"
"072","PICKERING--SCARBOROUGH EAST","093","U","PICKERING","36","75","102","6","1","1","0","0","221","496","Rosebank Road Public School"
"072","PICKERING--SCARBOROUGH EAST","094","U","PICKERING","30","70","130","10","1","0","0","0","241","432","Rosebank Road Public School"
"072","PICKERING--SCARBOROUGH EAST","095","U","PICKERING","16","109","96","3","0","1","0","0","225","450","Rosebank Road Public School"
"072","PICKERING--SCARBOROUGH EAST","096","U","PICKERING","17","81","56","8","0","0","0","0","162","360","Rosebank Road Public School"
"072","PICKERING--SCARBOROUGH EAST","097","U","PICKERING","26","94","73","5","1","1","0","0","200","441","Rosebank Road Public School"
"072","PICKERING--SCARBOROUGH EAST","098","U","PICKERING","19","70","64","2","0","0","0","0","155","349","St. Monica Catholic School"
"072","PICKERING--SCARBOROUGH EAST","099A","U","PICKERING","10","23","31","0","0","0","0","0","64","255","St. Monica Catholic School"
"072","PICKERING--SCARBOROUGH EAST","099B","U","PICKERING","19","13","38","3","0","0","0","0","73","253","St. Monica Catholic School"
"072","PICKERING--SCARBOROUGH EAST","100","U","TORONTO","50","46","133","4","1","0","0","3","237","492","Rouge Valley Public School"
"072","PICKERING--SCARBOROUGH EAST","101","U","TORONTO","26","13","56","4","5","0","0","0","104","222","Rouge Valley Public School"
"072","PICKERING--SCARBOROUGH EAST","102A","U","TORONTO","36","14","49","3","4","2","0","0","108","274","Rouge Valley Public School"
"072","PICKERING--SCARBOROUGH EAST","102B","U","TORONTO","15","34","73","1","0","0","1","0","124","301","Rouge Valley Public School"
"072","PICKERING--SCARBOROUGH EAST","103","U","TORONTO","47","50","130","2","4","0","1","0","234","492","Chief Dan George Public School"
"072","PICKERING--SCARBOROUGH EAST","104","U","TORONTO","72","33","93","2","4","2","0","0","206","472","Chief Dan George Public School"
"072","PICKERING--SCARBOROUGH EAST","105","U","TORONTO","18","19","31","4","0","0","0","0","72","200","Chief Dan George Public School"
"072","PICKERING--SCARBOROUGH EAST","106","U","TORONTO","15","7","17","1","0","0","0","0","40","169","Chief Dan George Public School"
"072","PICKERING--SCARBOROUGH EAST","107","U","TORONTO","44","53","97","3","5","1","1","0","204","462","Chief Dan George Public School"
"072","PICKERING--SCARBOROUGH EAST","108A","U","TORONTO","28","25","51","0","0","0","0","0","104","272","Chief Dan George Public School"
"072","PICKERING--SCARBOROUGH EAST","108B","U","TORONTO","11","28","58","0","0","0","0","0","97","254","Chief Dan George Public School"
"072","PICKERING--SCARBOROUGH EAST","109A","U","TORONTO","28","26","47","3","0","1","0","0","105","258","Rouge Valley Public School"
"072","PICKERING--SCARBOROUGH EAST","109B","U","TORONTO","23","24","57","0","1","2","0","0","107","316","Rouge Valley Public School"
"072","PICKERING--SCARBOROUGH EAST","110A","U","TORONTO","28","29","88","1","2","0","0","0","148","306","Meadowvale Public School"
"072","PICKERING--SCARBOROUGH EAST","110B","U","TORONTO","32","16","76","4","1","1","0","0","130","273","Meadowvale Public School"
"072","PICKERING--SCARBOROUGH EAST","111A","U","TORONTO","34","42","55","2","0","0","0","0","133","285","Meadowvale Public School"
"072","PICKERING--SCARBOROUGH EAST","111B","U","TORONTO","26","49","49","4","3","0","0","0","131","282","Meadowvale Public School"
"072","PICKERING--SCARBOROUGH EAST","112","U","TORONTO","52","38","120","3","1","3","0","0","217","493","St. Jean de Brebeuf Catholic School"
"072","PICKERING--SCARBOROUGH EAST","113","U","TORONTO","51","34","113","5","1","2","0","0","206","490","St. Jean de Brebeuf Catholic School"
"072","PICKERING--SCARBOROUGH EAST","114","U","TORONTO","42","58","103","3","1","0","2","0","209","488","St. Jean de Brebeuf Catholic School"
"072","PICKERING--SCARBOROUGH EAST","115","U","TORONTO","31","45","105","4","2","0","2","0","189","465","St. Jean de Brebeuf Catholic School"
"072","PICKERING--SCARBOROUGH EAST","116","U","TORONTO","57","53","118","3","1","0","0","0","232","518","St. Jean de Brebeuf Catholic School"
"072","PICKERING--SCARBOROUGH EAST","117A","U","TORONTO","22","33","61","2","0","0","0","0","118","249","Cardinal Leger Catholic School"
"072","PICKERING--SCARBOROUGH EAST","117B","U","TORONTO","21","42","64","0","0","0","0","0","127","285","Cardinal Leger Catholic School"
"072","PICKERING--SCARBOROUGH EAST","118","U","TORONTO","45","47","92","4","1","0","0","0","189","487","Cardinal Leger Catholic School"
"072","PICKERING--SCARBOROUGH EAST","119","U","TORONTO","46","49","153","4","6","0","0","1","259","517","Cardinal Leger Catholic School"
"072","PICKERING--SCARBOROUGH EAST","120A","U","TORONTO","29","33","84","2","2","0","0","0","150","309","Cardinal Leger Catholic School"
"072","PICKERING--SCARBOROUGH EAST","120B","U","TORONTO","32","33","71","2","0","0","0","0","138","287","Cardinal Leger Catholic School"
"072","PICKERING--SCARBOROUGH EAST","121A","U","TORONTO","29","17","54","1","1","0","0","0","102","280","Cardinal Leger Catholic School"
"072","PICKERING--SCARBOROUGH EAST","121B","U","TORONTO","16","32","44","0","2","1","0","0","95","272","Cardinal Leger Catholic School"
"072","PICKERING--SCARBOROUGH EAST","122A","U","TORONTO","24","34","64","4","1","0","1","0","128","284","Salvation Army - West Hill"
"072","PICKERING--SCARBOROUGH EAST","122B","U","TORONTO","13","52","66","12","2","0","0","0","145","297","Salvation Army - West Hill"
"072","PICKERING--SCARBOROUGH EAST","123A","U","TORONTO","13","53","58","7","0","1","0","0","132","308","Salvation Army - West Hill"
"072","PICKERING--SCARBOROUGH EAST","123B","U","TORONTO","18","35","69","0","0","3","0","0","125","315","Salvation Army - West Hill"
"072","PICKERING--SCARBOROUGH EAST","124","U","TORONTO","30","51","112","5","0","0","0","0","198","481","Salvation Army - West Hill"
"072","PICKERING--SCARBOROUGH EAST","125A","U","TORONTO","21","25","67","4","2","1","0","0","120","281","Morrish Public School"
"072","PICKERING--SCARBOROUGH EAST","125B","U","TORONTO","27","24","48","1","2","1","2","0","105","257","Morrish Public School"
"072","PICKERING--SCARBOROUGH EAST","126","U","TORONTO","28","57","101","0","0","0","0","0","186","419","Morrish Public School"
"072","PICKERING--SCARBOROUGH EAST","127","U","TORONTO","49","51","106","9","1","2","0","0","218","504","Morrish Public School"
"072","PICKERING--SCARBOROUGH EAST","128","U","TORONTO","37","54","94","2","2","1","0","0","190","459","Morrish Public School"
"072","PICKERING--SCARBOROUGH EAST","129","U","TORONTO","47","38","121","1","1","0","0","0","208","405","Morrish Public School"
"072","PICKERING--SCARBOROUGH EAST","130","U","TORONTO","40","47","111","7","3","1","1","0","210","435","Morrish Public School"
"072","PICKERING--SCARBOROUGH EAST","131","U","TORONTO","27","67","110","6","1","0","0","0","211","438","Highland Creek Public School"
"072","PICKERING--SCARBOROUGH EAST","132","U","TORONTO","36","68","112","5","3","0","0","0","224","446","Highland Creek Public School"
"072","PICKERING--SCARBOROUGH EAST","133","U","TORONTO","30","81","105","5","0","1","1","0","223","459","Highland Creek Public School"
"072","PICKERING--SCARBOROUGH EAST","134","U","TORONTO","3","9","14","0","1","0","0","0","27","79","University of Toronto Scarborough"
"072","PICKERING--SCARBOROUGH EAST","135","U","TORONTO","17","52","72","6","1","0","0","0","148","379","West Rouge Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","136","U","TORONTO","26","64","106","9","1","1","0","0","207","460","West Rouge Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","137","U","TORONTO","36","69","85","7","0","0","0","0","197","371","West Rouge Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","138","U","TORONTO","31","80","104","9","1","2","0","0","227","453","West Rouge Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","139","U","TORONTO","36","70","89","4","0","0","0","0","199","447","West Rouge Community Centre"
"072","PICKERING--SCARBOROUGH EAST","140","U","TORONTO","37","64","103","3","2","0","0","0","209","455","West Rouge Community Centre"
"072","PICKERING--SCARBOROUGH EAST","141","U","TORONTO","28","71","105","6","0","1","0","0","211","425","West Rouge Community Centre"
"072","PICKERING--SCARBOROUGH EAST","142","U","TORONTO","58","70","120","2","0","0","0","0","250","507","William G. Davis Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","143","U","TORONTO","37","38","86","5","0","0","0","0","166","416","William G. Davis Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","144","U","TORONTO","34","74","100","7","2","0","0","0","217","466","West Rouge Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","145","U","TORONTO","30","78","120","13","1","1","1","0","244","479","William G. Davis Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","146","U","TORONTO","46","50","97","4","1","2","2","0","202","400","William G. Davis Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","147","U","TORONTO","45","46","94","5","1","2","1","0","194","456","Joseph Howe Senior Public School"
"072","PICKERING--SCARBOROUGH EAST","148","U","TORONTO","29","46","64","1","1","0","0","0","141","348","Joseph Howe Senior Public School"
"072","PICKERING--SCARBOROUGH EAST","149","U","TORONTO","31","37","61","5","1","0","0","0","135","381","Joseph Howe Senior Public School"
"072","PICKERING--SCARBOROUGH EAST","150","U","TORONTO","36","36","76","1","4","0","0","0","153","385","Centennial Road Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","151","U","TORONTO","30","71","88","4","1","0","0","0","194","448","Centennial Road Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","152","U","TORONTO","29","61","89","5","2","2","0","0","188","409","Centennial Road Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","153","U","TORONTO","21","80","67","9","0","0","0","0","177","382","Centennial Road Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","154","U","TORONTO","28","40","101","7","0","0","0","0","176","374","Charlottetown Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","155","U","TORONTO","33","68","115","3","0","1","0","0","220","428","Charlottetown Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","156","U","TORONTO","39","41","71","4","4","0","0","0","159","389","Charlottetown Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","157","U","TORONTO","37","63","98","0","1","0","0","0","199","395","Charlottetown Junior Public School"
"072","PICKERING--SCARBOROUGH EAST","158","U","TORONTO","28","24","73","2","0","0","0","0","127","338","Sir Oliver Mowat Collegiate"
"072","PICKERING--SCARBOROUGH EAST","159","U","TORONTO","40","58","89","2","1","0","0","0","190","449","Sir Oliver Mowat Collegiate"
"072","PICKERING--SCARBOROUGH EAST","160","U","TORONTO","32","82","124","9","0","0","0","0","247","451","Sir Oliver Mowat Collegiate"
"072","PICKERING--SCARBOROUGH EAST","161","U","TORONTO","49","47","84","4","1","0","0","0","185","452","Sir Oliver Mowat Collegiate"
"072","PICKERING--SCARBOROUGH EAST","162","U","TORONTO","35","46","105","6","2","0","0","0","194","391","Sir Oliver Mowat Collegiate"
"072","PICKERING--SCARBOROUGH EAST","163","U","TORONTO","23","92","126","2","2","0","0","0","245","457","Sir Oliver Mowat Collegiate"
"072","PICKERING--SCARBOROUGH EAST","164A","U","TORONTO","16","47","65","4","1","0","0","0","133","270","St. Dunstan of Canterbury"
"072","PICKERING--SCARBOROUGH EAST","164B","U","TORONTO","11","38","69","5","0","0","0","0","123","241","St. Dunstan of Canterbury"
"072","PICKERING--SCARBOROUGH EAST","165","U","TORONTO","30","88","114","5","0","0","0","0","237","483","St. Brendan Catholic School"
"072","PICKERING--SCARBOROUGH EAST","166","U","TORONTO","31","82","90","12","4","1","0","0","220","462","St. Brendan Catholic School"
"072","PICKERING--SCARBOROUGH EAST","167","U","TORONTO","18","86","111","4","0","0","1","0","220","426","St. Brendan Catholic School"
"072","PICKERING--SCARBOROUGH EAST","168A","U","TORONTO","14","48","67","4","0","0","0","0","133","237","St. Brendan Catholic School"
"072","PICKERING--SCARBOROUGH EAST","168B","U","TORONTO","17","50","63","3","1","0","0","0","134","262","St. Brendan Catholic School"
"072","PICKERING--SCARBOROUGH EAST","169","U","TORONTO","24","65","94","9","2","0","0","0","194","450","St. Dunstan of Canterbury"
"072","PICKERING--SCARBOROUGH EAST","170","U","TORONTO","31","83","118","1","1","0","0","0","234","479","St. Dunstan of Canterbury"
"072","PICKERING--SCARBOROUGH EAST","400","U","PICKERING","34","82","85","5","1","1","1","0","209","347","Discovery Place Recreation Centre"
"072","PICKERING--SCARBOROUGH EAST","401","U","PICKERING","30","75","77","5","1","1","0","0","189","378","Discovery Place Recreation Centre"
"072","PICKERING--SCARBOROUGH EAST","402","U","PICKERING","28","34","62","1","3","2","0","0","130","267","Liberty at Discovery"
"072","PICKERING--SCARBOROUGH EAST","403","U","PICKERING","14","68","94","4","0","1","1","0","182","350","Millenium Building"
"072","PICKERING--SCARBOROUGH EAST","404","U","PICKERING","13","9","23","1","1","1","0","0","48","135","Rougemount Co-Operative Homes"
"072","PICKERING--SCARBOROUGH EAST","405","U","PICKERING","33","49","60","7","2","0","1","0","152","257","Bayshore Towers"
"072","PICKERING--SCARBOROUGH EAST","406","U","TORONTO","39","46","80","3","0","0","1","0","169","353","Platium Rouge Condo"
"072","PICKERING--SCARBOROUGH EAST","407","U","TORONTO","46","39","83","13","2","1","0","0","184","351","The Robin Hood"
"072","PICKERING--SCARBOROUGH EAST","408","U","TORONTO","35","45","75","6","1","1","1","0","164","311","Camargue I"
"072","PICKERING--SCARBOROUGH EAST","409","U","TORONTO","32","73","77","2","3","2","0","0","189","305","Camargue II"
"072","PICKERING--SCARBOROUGH EAST","700","U","PICKERING","5","11","8","2","1","0","0","0","27","142","Bayridges Long Term Care Centre"
"072","PICKERING--SCARBOROUGH EAST","701","U","PICKERING","5","7","9","0","0","0","0","0","21","80","Abbeylawn Manor Retirement Home"
"072","PICKERING--SCARBOROUGH EAST","702","U","TORONTO","13","12","24","3","0","0","0","0","52","216","Extendicare Rouge Valley"
"072","PICKERING--SCARBOROUGH EAST","703","U","TORONTO","9","12","37","1","0","0","0","0","59","188","Altamont Nursing Home"
