"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","HARRISON","HELMAN","HODGINS","MUNRO","RESZLER","TAY","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"105","YORK--SIMCOE","033","U","INNISFIL","0","4","1","54","23","29","1","0","0","112","330","Nantyr Shores Secondary School"
"105","YORK--SIMCOE","034","U","INNISFIL","1","6","4","93","52","26","0","0","0","182","588","Nantyr Shores Secondary School"
"105","YORK--SIMCOE","035","U","INNISFIL","0","7","0","70","26","28","1","0","0","132","400","Nantyr Shores Secondary School"
"105","YORK--SIMCOE","036","U","INNISFIL","0","13","6","68","37","46","1","1","0","172","562","Innisfil Town Hall"
"105","YORK--SIMCOE","037","U","INNISFIL","0","5","4","81","38","43","1","0","0","172","450","Nantyr Shores Secondary School"
"105","YORK--SIMCOE","038","U","INNISFIL","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","039","U","INNISFIL","0","11","3","89","40","34","0","0","0","177","494","Nantyr Shores Secondary School"
"105","YORK--SIMCOE","040","U","INNISFIL","0","8","1","51","20","24","0","0","0","104","328","St. Francis of Assisi Elementary School"
"105","YORK--SIMCOE","041","U","INNISFIL","1","12","2","76","40","44","0","0","0","175","526","St. Francis of Assisi Elementary School"
"105","YORK--SIMCOE","042","U","INNISFIL","0","4","1","52","24","31","0","0","0","112","325","Goodfellow Public School"
"105","YORK--SIMCOE","043","U","INNISFIL","0","6","2","55","14","35","0","0","0","112","347","Goodfellow Public School"
"105","YORK--SIMCOE","044","U","INNISFIL","0","1","2","57","24","19","0","0","0","103","338","Goodfellow Public School"
"105","YORK--SIMCOE","045","U","INNISFIL","0","3","21","26","25","23","0","0","0","98","355","Innisfil Town Hall"
"105","YORK--SIMCOE","046","U","INNISFIL","1","5","3","50","26","27","0","0","0","112","382","Innisfil Town Hall"
"105","YORK--SIMCOE","047","U","INNISFIL","2","6","3","94","46","33","0","1","0","185","575","Innisfil Town Hall"
"105","YORK--SIMCOE","048","U","INNISFIL","0","4","3","55","37","32","1","0","0","132","310","Goodfellow Public School"
"105","YORK--SIMCOE","049","U","INNISFIL","3","13","2","60","33","32","0","0","0","143","373","Goodfellow Public School"
"105","YORK--SIMCOE","050","U","INNISFIL","0","10","1","60","20","27","1","0","0","119","333","Goodfellow Public School"
"105","YORK--SIMCOE","051","U","INNISFIL","0","11","1","79","36","29","2","0","0","158","397","Goodfellow Public School"
"105","YORK--SIMCOE","052","U","INNISFIL","1","7","1","62","24","46","0","0","0","141","436","Goodfellow Public School"
"105","YORK--SIMCOE","053","U","INNISFIL","0","12","4","101","35","46","1","0","0","199","576","Wheel Sandy Cove Acres"
"105","YORK--SIMCOE","054","U","INNISFIL","0","10","1","45","27","35","0","0","0","118","339","Wheel Sandy Cove Acres"
"105","YORK--SIMCOE","055","U","INNISFIL","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","056","U","INNISFIL","0","12","1","72","35","22","0","0","0","142","433","Wheel Sandy Cove Acres"
"105","YORK--SIMCOE","057","U","INNISFIL","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","058","U","INNISFIL",".......................COMBINED WITH POLL 059.......................","","","","","","","","","","","Wheel Sandy Cove Acres"
"105","YORK--SIMCOE","059","U","INNISFIL","1","7","7","313","132","138","1","1","1","601","939","Wheel Sandy Cove Acres"
"105","YORK--SIMCOE","060","U","INNISFIL","0","9","6","132","52","52","0","1","0","252","382","Wheel Sandy Cove Acres"
"105","YORK--SIMCOE","061","U","INNISFIL","0","5","0","125","48","54","0","0","0","232","424","Wheel Sandy Cove Acres"
"105","YORK--SIMCOE","062","U","INNISFIL","1","2","2","88","49","52","1","1","0","196","421","Wheel Sandy Cove Acres"
"105","YORK--SIMCOE","063","U","INNISFIL","1","8","0","83","21","39","1","0","0","153","434","Wheel Sandy Cove Acres"
"105","YORK--SIMCOE","064","U","INNISFIL","0","4","0","63","41","11","0","0","3","122","398","Wheel Sandy Cove Acres"
"105","YORK--SIMCOE","065","U","INNISFIL","0","9","4","67","42","39","0","0","0","161","412","Wheel Sandy Cove Acres"
"105","YORK--SIMCOE","066","U","INNISFIL","1","8","1","116","53","37","0","0","0","216","599","Wheel Sandy Cove Acres"
"105","YORK--SIMCOE","067","U","INNISFIL","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","068","U","BRADFORD","1","13","2","95","52","30","0","0","0","193","484","St. John's Presbyterian Church"
"105","YORK--SIMCOE","069","U","BRADFORD","1","9","5","128","66","49","0","0","0","258","728","St. John's Presbyterian Church"
"105","YORK--SIMCOE","070","U","BRADFORD","1","4","2","104","67","34","0","0","0","212","605","St. John's Presbyterian Church"
"105","YORK--SIMCOE","071A","U","BRADFORD","1","9","5","56","60","27","1","0","0","159","551","St. John's Presbyterian Church"
"105","YORK--SIMCOE","071B","U","BRADFORD","0","5","6","63","69","26","1","0","0","170","558","St. John's Presbyterian Church"
"105","YORK--SIMCOE","071C","U","BRADFORD","0","3","2","86","86","39","0","0","0","216","613","St. John's Presbyterian Church"
"105","YORK--SIMCOE","072","U","BRADFORD","0","13","1","81","29","21","0","0","0","145","390","St. John's Presbyterian Church"
"105","YORK--SIMCOE","073","U","BRADFORD","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","074","U","BRADFORD","1","22","3","117","50","32","0","0","2","227","614","St. John's Presbyterian Church"
"105","YORK--SIMCOE","075","U","BRADFORD","0","3","0","68","39","17","0","0","0","127","393","St. John's Presbyterian Church"
"105","YORK--SIMCOE","076","U","BRADFORD","1","9","0","74","33","11","1","0","0","129","327","Bradford Library and Cultural Centre"
"105","YORK--SIMCOE","077","U","BRADFORD","0","5","2","70","28","30","0","0","1","136","432","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","078","U","BRADFORD","0","2","3","58","38","14","1","0","0","116","397","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","079","U","BRADFORD","1","2","0","43","35","20","0","0","0","101","409","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","080","U","BRADFORD","0","5","3","78","51","25","0","0","1","163","452","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","081","U","BRADFORD","1","6","2","64","49","33","1","0","0","156","460","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","082","U","BRADFORD","1","7","3","71","39","31","0","0","0","152","387","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","083","U","BRADFORD","2","5","0","51","37","23","0","1","0","119","409","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","084","U","BRADFORD","0","8","2","46","28","34","2","0","0","120","379","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","085","U","BRADFORD","0","3","2","64","35","20","0","0","0","124","363","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","086","U","BRADFORD","0","11","5","73","64","18","1","0","1","173","458","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","087","U","BRADFORD","2","7","2","69","33","16","1","0","0","130","372","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","088","U","BRADFORD","1","2","0","43","45","27","0","0","1","119","380","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","089","U","BRADFORD","1","3","1","64","39","14","0","0","0","122","367","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","090","U","BRADFORD","1","6","1","64","37","28","3","0","0","140","410","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","091","U","BRADFORD","0","6","3","39","28","37","0","1","0","114","430","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","092","U","BRADFORD","0","8","6","64","37","6","0","0","0","121","380","Holy Martyrs of Japan Parish"
"105","YORK--SIMCOE","093","U","BRADFORD","1","3","2","75","36","19","2","0","1","139","380","Holy Trinity High School"
"105","YORK--SIMCOE","094","U","BRADFORD","0","10","2","53","36","32","1","0","1","135","465","Bradford Library and Cultural Centre"
"105","YORK--SIMCOE","095","U","BRADFORD","0","2","1","31","23","14","1","0","0","72","401","Bradford Library and Cultural Centre"
"105","YORK--SIMCOE","096","U","BRADFORD","0","4","3","46","24","21","1","0","0","99","382","Bradford Library and Cultural Centre"
"105","YORK--SIMCOE","097","U","BRADFORD","3","4","1","70","32","31","0","0","0","141","452","Bradford Library and Cultural Centre"
"105","YORK--SIMCOE","098","U","BRADFORD","0","4","3","77","45","28","0","0","0","157","393","Holy Trinity High School"
"105","YORK--SIMCOE","099","U","BRADFORD","0","7","3","49","23","21","0","0","0","103","392","Bradford Library and Cultural Centre"
"105","YORK--SIMCOE","100","U","BRADFORD","1","7","3","65","53","21","1","0","0","151","455","Bradford Library and Cultural Centre"
"105","YORK--SIMCOE","101","U","BRADFORD","1","7","2","52","33","15","0","0","1","111","434","Bradford Library and Cultural Centre"
"105","YORK--SIMCOE","102","U","BRADFORD","0","3","6","98","59","24","1","0","0","191","551","Holy Trinity High School"
"105","YORK--SIMCOE","103","U","BRADFORD","0","3","3","78","43","21","0","0","0","148","414","Holy Trinity High School"
"105","YORK--SIMCOE","104","U","BRADFORD","0","6","3","73","42","30","0","0","0","154","424","Holy Trinity High School"
"105","YORK--SIMCOE","105","U","BRADFORD","1","11","5","66","40","18","0","0","0","141","398","Holy Trinity High School"
"105","YORK--SIMCOE","106","U","BRADFORD","0","2","2","59","33","18","0","0","0","114","460","Holy Trinity High School"
"105","YORK--SIMCOE","107","U","BRADFORD","1","4","2","65","36","13","0","0","0","121","488","Holy Trinity High School"
"105","YORK--SIMCOE","108","U","ANSNORVELDT","3","6","0","74","16","11","1","0","0","111","243","Holland Marsh Christian Reformed Church"
"105","YORK--SIMCOE","109","U","ANSNORVELDT","1","14","3","103","11","18","2","0","1","153","344","Holland Marsh Christian Reformed Church"
"105","YORK--SIMCOE","110","U","ANSNORVELDT","0","12","0","82","28","18","1","0","1","142","335","Holland Marsh Christian Reformed Church"
"105","YORK--SIMCOE","111","U","HOLLAND LANDING","1","8","2","75","31","20","1","0","0","138","371","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","112","U","HOLLAND LANDING","1","7","2","57","39","9","0","0","0","115","351","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","113","U","HOLLAND LANDING","2","4","0","98","49","15","0","0","0","168","404","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","114","U","HOLLAND LANDING","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","115","U","HOLLAND LANDING","1","6","1","75","32","19","0","0","0","134","389","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","116","U","HOLLAND LANDING","0","5","2","95","51","20","1","0","0","174","418","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","117","U","HOLLAND LANDING","2","4","0","89","48","22","2","0","0","167","416","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","118","U","HOLLAND LANDING","2","5","1","75","51","23","0","0","1","158","367","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","119","U","HOLLAND LANDING","1","10","0","144","104","51","1","0","0","311","645","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","120","U","HOLLAND LANDING","1","10","0","86","39","21","2","0","0","159","372","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","121","U","HOLLAND LANDING","0","6","6","69","48","31","0","0","0","160","387","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","122","U","HOLLAND LANDING","4","13","1","77","56","33","1","0","0","185","415","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","123","U","HOLLAND LANDING","1","6","1","98","51","23","0","0","0","180","383","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","124","U","HOLLAND LANDING","0","6","1","99","37","22","1","0","0","166","434","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","125","U","HOLLAND LANDING","0","7","3","84","61","28","1","0","0","184","480","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","126","U","HOLLAND LANDING","0","5","0","83","35","10","0","0","0","133","357","Holland Landing Commmunity Centre"
"105","YORK--SIMCOE","127","U","SHARON","1","2","7","79","57","19","1","0","0","166","542","East Gwillimbury Sports Complex"
"105","YORK--SIMCOE","128","U","SHARON","0","4","3","84","39","20","0","0","0","150","355","East Gwillimbury Sports Complex"
"105","YORK--SIMCOE","129","U","SHARON","3","6","0","86","53","18","0","0","0","166","437","East Gwillimbury Sports Complex"
"105","YORK--SIMCOE","130","U","SHARON","1","5","2","97","77","27","3","0","0","212","440","East Gwillimbury Sports Complex"
"105","YORK--SIMCOE","131","U","SHARON","0","4","3","121","55","14","0","0","0","197","521","East Gwillimbury Sports Complex"
"105","YORK--SIMCOE","132","U","SHARON","0","13","3","102","79","22","0","0","0","219","435","East Gwillimbury Sports Complex"
"105","YORK--SIMCOE","133","U","SHARON","1","6","4","59","41","26","0","0","0","137","364","East Gwillimbury Sports Complex"
"105","YORK--SIMCOE","134","U","SHARON","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","135","U","SHARON","2","10","1","147","55","34","1","0","0","250","598","East Gwillimbury Sports Complex"
"105","YORK--SIMCOE","136","U","SHARON","0","7","2","72","50","25","1","0","0","157","417","East Gwillimbury Sports Complex"
"105","YORK--SIMCOE","137","U","SHARON","1","7","2","120","46","24","0","0","0","200","574","East Gwillimbury Sports Complex"
"105","YORK--SIMCOE","138","U","SHARON","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","139","U","SHARON","0","5","1","141","46","17","0","1","1","212","583","East Gwillimbury Sports Complex"
"105","YORK--SIMCOE","140","U","SHARON","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","141","U","MOUNT ALBERT","0","0","1","90","29","20","0","0","1","141","469","Ross Family Complex"
"105","YORK--SIMCOE","142","U","SHARON","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","143","U","SHARON","0","10","3","119","43","20","0","0","0","195","530","East Gwillimbury Sports Complex"
"105","YORK--SIMCOE","144","U","MOUNT ALBERT","1","7","0","101","55","30","0","0","0","194","462","Ross Family Complex"
"105","YORK--SIMCOE","145","U","MOUNT ALBERT","3","6","3","112","37","18","1","0","0","180","460","Ross Family Complex"
"105","YORK--SIMCOE","146","U","MOUNT ALBERT","0","11","4","95","66","38","0","0","0","214","487","Ross Family Complex"
"105","YORK--SIMCOE","147","U","MOUNT ALBERT","1","7","0","72","37","29","1","0","0","147","340","Ross Family Complex"
"105","YORK--SIMCOE","148","U","MOUNT ALBERT","2","9","1","108","69","38","3","0","0","230","464","Ross Family Complex"
"105","YORK--SIMCOE","149","U","MOUNT ALBERT","1","4","1","109","52","29","0","0","0","196","420","Ross Family Complex"
"105","YORK--SIMCOE","150","U","MOUNT ALBERT","2","5","0","89","48","23","0","0","0","167","398","Ross Family Complex"
"105","YORK--SIMCOE","151","U","MOUNT ALBERT","0","5","1","76","39","27","0","0","0","148","353","Ross Family Complex"
"105","YORK--SIMCOE","152","U","MOUNT ALBERT","0","5","4","91","52","20","1","0","0","173","388","Ross Family Complex"
"105","YORK--SIMCOE","153","U","KESWICK","0","4","1","105","44","48","0","0","0","202","574","Lake Simcoe Public School"
"105","YORK--SIMCOE","154","U","KESWICK","0","2","0","64","26","15","1","1","0","109","380","Lakeside Public School"
"105","YORK--SIMCOE","155","U","KESWICK","0","3","2","82","42","28","1","0","0","158","386","Lake Simcoe Public School"
"105","YORK--SIMCOE","156","U","KESWICK","3","6","0","127","66","41","1","1","0","245","656","Lake Simcoe Public School"
"105","YORK--SIMCOE","157","U","KESWICK","2","6","3","120","70","47","2","0","0","250","557","Lake Simcoe Public School"
"105","YORK--SIMCOE","158","U","KESWICK","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","159","U","KESWICK","0","7","1","78","31","22","1","0","0","140","379","Lake Simcoe Public School"
"105","YORK--SIMCOE","160","U","KESWICK","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","161","U","KESWICK","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","162","U","KESWICK","0","9","1","97","58","44","3","0","0","212","677","Lake Simcoe Public School"
"105","YORK--SIMCOE","163","U","KESWICK","1","2","2","67","19","31","0","0","0","122","359","Lake Simcoe Public School"
"105","YORK--SIMCOE","164","U","KESWICK","2","9","6","95","47","45","1","0","0","205","670","Lake Simcoe Public School"
"105","YORK--SIMCOE","165","U","KESWICK","1","5","5","63","31","35","0","0","0","140","631","R. L. Graham Public School"
"105","YORK--SIMCOE","166","U","KESWICK","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","167","U","KESWICK","2","14","5","90","32","33","0","1","0","177","678","Lake Simcoe Public School"
"105","YORK--SIMCOE","168","U","KESWICK","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","169","U","KESWICK","1","8","1","61","28","28","1","0","0","128","379","R. L. Graham Public School"
"105","YORK--SIMCOE","170","U","KESWICK","0","5","2","57","32","22","0","0","0","118","375","R. L. Graham Public School"
"105","YORK--SIMCOE","171","U","KESWICK","1","8","0","94","32","18","2","1","0","156","385","R. L. Graham Public School"
"105","YORK--SIMCOE","172","U","KESWICK","2","5","3","65","42","37","0","0","0","154","399","R. L. Graham Public School"
"105","YORK--SIMCOE","173","U","KESWICK","2","8","1","85","31","22","0","0","0","149","363","R. L. Graham Public School"
"105","YORK--SIMCOE","174","U","KESWICK","0","2","3","83","40","26","1","0","0","155","419","R. L. Graham Public School"
"105","YORK--SIMCOE","175","U","KESWICK","0","3","6","70","21","18","1","0","0","119","354","R. L. Graham Public School"
"105","YORK--SIMCOE","176","U","KESWICK","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","177","U","KESWICK","0","5","2","68","34","18","1","0","0","128","392","R. L. Graham Public School"
"105","YORK--SIMCOE","178","U","KESWICK","0","4","5","68","25","15","0","0","1","118","376","W. J. Watson Public School"
"105","YORK--SIMCOE","179","U","KESWICK","0","2","2","124","62","33","1","0","0","224","674","W. J. Watson Public School"
"105","YORK--SIMCOE","180","U","KESWICK","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","181","U","KESWICK","0","5","0","71","30","20","0","1","0","127","342","W. J. Watson Public School"
"105","YORK--SIMCOE","182","U","KESWICK","0","6","1","61","25","22","0","0","0","115","393","W. J. Watson Public School"
"105","YORK--SIMCOE","183","U","KESWICK","2","6","0","46","25","32","3","0","0","114","363","Lakeside Public School"
"105","YORK--SIMCOE","184","U","KESWICK","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","185","U","KESWICK","2","5","3","99","52","43","0","1","0","205","620","Lakeside Public School"
"105","YORK--SIMCOE","186","U","KESWICK","1","7","2","90","32","29","0","1","0","162","406","W. J. Watson Public School"
"105","YORK--SIMCOE","187","U","KESWICK","0","3","2","103","35","24","1","0","0","168","399","W. J. Watson Public School"
"105","YORK--SIMCOE","188","U","KESWICK","0","8","2","84","32","14","1","0","0","141","391","W. J. Watson Public School"
"105","YORK--SIMCOE","189","U","KESWICK","1","4","3","69","43","21","0","0","0","141","393","W. J. Watson Public School"
"105","YORK--SIMCOE","190","U","KESWICK","0","6","1","88","31","28","0","0","0","154","408","W. J. Watson Public School"
"105","YORK--SIMCOE","191","U","KESWICK","2","16","2","123","51","53","0","0","0","247","651","Lakeside Public School"
"105","YORK--SIMCOE","192","U","KESWICK","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","193","U","KESWICK","0","7","4","106","34","31","0","0","0","182","628","Lakeside Public School"
"105","YORK--SIMCOE","194","U","KESWICK","0","5","1","95","41","30","1","1","0","174","394","Lakeside Public School"
"105","YORK--SIMCOE","195","U","KESWICK","2","6","0","86","27","37","1","0","0","159","410","Keswick Christian Church"
"105","YORK--SIMCOE","196","U","KESWICK","0","7","0","94","31","21","0","0","1","154","371","Keswick Christian Church"
"105","YORK--SIMCOE","197","U","KESWICK","1","3","4","64","61","26","0","0","0","159","374","Keswick Christian Church"
"105","YORK--SIMCOE","198","U","KESWICK","1","5","4","141","63","40","2","0","0","256","679","Keswick Christian Church"
"105","YORK--SIMCOE","199","U","KESWICK","0","4","1","84","43","42","0","0","0","174","446","Keswick Christian Church"
"105","YORK--SIMCOE","200","U","KESWICK","1","5","4","82","38","26","0","0","0","156","430","Keswick Christian Church"
"105","YORK--SIMCOE","201","U","KESWICK","1","7","3","86","42","42","0","0","0","181","460","Keswick Christian Church"
"105","YORK--SIMCOE","202","U","SUTTON WEST","1","4","1","94","21","40","0","0","0","161","483","Sutton Public School"
"105","YORK--SIMCOE","203","U","SUTTON WEST","0","12","0","85","37","28","0","0","0","162","505","Sutton Public School"
"105","YORK--SIMCOE","204","U","SUTTON WEST","0","8","1","78","26","33","1","0","0","147","489","Sutton Public School"
"105","YORK--SIMCOE","205","U","SUTTON WEST","0","3","4","47","26","21","0","0","0","101","350","Sutton Public School"
"105","YORK--SIMCOE","206","U","SUTTON WEST","3","2","0","53","18","29","2","0","0","107","364","Sutton Public School"
"105","YORK--SIMCOE","207","U","SUTTON WEST","1","4","1","47","24","34","2","0","0","113","343","Kin Community Hall"
"105","YORK--SIMCOE","208","U","SUTTON WEST","0","5","2","44","20","20","0","0","0","91","332","Kin Community Hall"
"105","YORK--SIMCOE","209","U","SUTTON WEST","1","2","4","74","42","28","0","0","0","151","357","Kin Community Hall"
"105","YORK--SIMCOE","210","U","SUTTON WEST","1","6","1","67","25","26","0","0","1","127","336","Kin Community Hall"
"105","YORK--SIMCOE","211","U","SUTTON WEST","0","0","1","60","21","29","0","0","0","111","447","Kin Community Hall"
"105","YORK--SIMCOE","212","U","SUTTON WEST","2","2","2","71","29","34","3","0","0","143","417","Kin Community Hall"
"105","YORK--SIMCOE","213","U","SUTTON WEST","2","4","1","83","31","21","0","0","0","142","417","Kin Community Hall"
"105","YORK--SIMCOE","214","U","SUTTON WEST","0","1","2","72","16","24","0","0","0","115","397","Egypt Hall"
"105","YORK--SIMCOE","215","U","SUTTON WEST","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","216","U","SUTTON WEST","2","11","0","61","34","39","1","0","0","148","443","Egypt Hall"
"105","YORK--SIMCOE","217","U","PEFFERLAW","1","5","1","65","29","28","0","0","0","129","383","Pefferlaw Lions Hall"
"105","YORK--SIMCOE","218","U","PEFFERLAW","1","1","1","65","40","33","0","0","0","141","369","Pefferlaw Lions Hall"
"105","YORK--SIMCOE","219","U","PEFFERLAW","2","4","1","83","26","32","1","0","1","150","395","Pefferlaw Lions Hall"
"105","YORK--SIMCOE","220","U","PEFFERLAW","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","221","U","PEFFERLAW","1","4","1","120","38","33","1","0","0","198","440","Pefferlaw Lions Hall"
"105","YORK--SIMCOE","222","U","PEFFERLAW","1","2","0","94","33","38","0","0","0","168","446","Pefferlaw Lions Hall"
"105","YORK--SIMCOE","223","U","PEFFERLAW","2","9","1","186","39","48","0","0","0","285","617","Pefferlaw Lions Hall"
"105","YORK--SIMCOE","224","U","PEFFERLAW","2","14","2","72","43","37","0","0","0","170","455","Pefferlaw Lions Hall"
"105","YORK--SIMCOE","225","U","SUTTON WEST","1","5","7","130","81","57","2","1","0","284","647","Egypt Hall"
"105","YORK--SIMCOE","226","U","SUTTON WEST","1","5","0","115","42","19","0","0","0","182","452","Egypt Hall"
"105","YORK--SIMCOE","227","U","SUTTON WEST","0","2","1","79","27","28","2","0","0","139","378","Egypt Hall"
