"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BROWN","CHAPMAN","HOFFMAN","MANTHA","TILSON","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"002","ALGOMA--MANITOULIN","014","U","WAWA","11","12","0","79","4","1","0","0","107","410","Michipicoten Memm Community Centre"
"002","ALGOMA--MANITOULIN","015","U","WAWA","21","29","1","79","4","1","0","0","135","431","Michipicoten Memm Community Centre"
"002","ALGOMA--MANITOULIN","016","U","WAWA","20","24","1","84","4","0","0","0","133","397","Michipicoten Memm Community Centre"
"002","ALGOMA--MANITOULIN","017","U","WAWA","23","17","0","57","5","0","0","0","102","366","Michipicoten Memm Community Centre"
"002","ALGOMA--MANITOULIN","018","U","WAWA","30","17","1","91","1","0","0","0","140","312","Michipicoten Memm Community Centre"
"002","ALGOMA--MANITOULIN","019","U","WAWA","19","27","1","108","6","0","0","0","161","473","Michipicoten Memm Community Centre"
"002","ALGOMA--MANITOULIN","020","U","HAWK JUNCTION","9","18","0","47","3","0","0","0","77","163","Hawk Junction Community Hall"
"002","ALGOMA--MANITOULIN","021","U","MISSANABIE","5","2","0","11","0","0","0","0","18","29","Missarenda Public School"
"002","ALGOMA--MANITOULIN","022","U","CHAPLEAU","30","18","1","83","2","0","0","1","135","449","Chapleau High School"
"002","ALGOMA--MANITOULIN","023","U","CHAPLEAU","40","14","0","58","0","0","0","0","112","331","Chapleau High School"
"002","ALGOMA--MANITOULIN","024","U","CHAPLEAU","30","12","0","42","4","0","0","0","88","349","Chapleau High School"
"002","ALGOMA--MANITOULIN","025","U","CHAPLEAU","26","15","1","44","2","0","0","0","88","324","Chapleau High School"
"002","ALGOMA--MANITOULIN","026","U","CHAPLEAU","30","21","0","54","2","0","0","0","107","350","Chapleau High School"
"002","ALGOMA--MANITOULIN","027","U","CHAPLEAU",".......................COMBINED WITH POLL 023.......................","","","","","","","","","","Chapleau High School"
"002","ALGOMA--MANITOULIN","028","U","CHAPLEAU","2","0","0","17","0","0","0","0","19","38","Chapleau Cree First Nation Band Office"
"002","ALGOMA--MANITOULIN","029","U","CHAPLEAU",".......................COMBINED WITH POLL 030.......................","","","","","","","","","","Brunswick House First Nation"
"002","ALGOMA--MANITOULIN","030","U","SULTAN","2","2","1","37","2","0","0","0","44","76","Ewok Inn B & B"
"002","ALGOMA--MANITOULIN","031","U","MONTREAL RIVER HARBOUR","1","4","0","4","0","0","0","0","9","10","Northgate Service Centre Office"
"002","ALGOMA--MANITOULIN","032","U","BATCHAWANA BAY","16","24","1","48","2","0","0","0","91","184","Batchawana Fire Hall"
"002","ALGOMA--MANITOULIN","033","U","GOULAIS RIVER","67","58","0","62","2","5","0","0","194","414","Goulais River Captain Tilley's Community"
"002","ALGOMA--MANITOULIN","034","U","SEARCHMONT","42","35","0","44","3","0","0","0","124","248","Searchmont Community Centre"
"002","ALGOMA--MANITOULIN","035","U","GOULAIS RIVER","21","40","1","42","0","0","0","0","104","285","Goulais River Captain Tilley's Community"
"002","ALGOMA--MANITOULIN","036","U","GOULAIS RIVER","38","52","0","80","4","0","0","0","174","480","Goulais River Captain Tilley's Community"
"002","ALGOMA--MANITOULIN","037","U","GOULAIS RIVER","25","33","1","43","2","2","0","0","106","319","Goulais River Captain Tilley's Community"
"002","ALGOMA--MANITOULIN","038","U","HEYDEN","27","36","0","73","3","0","1","0","140","339","Aweres Public School"
"002","ALGOMA--MANITOULIN","039","U","HEYDEN","29","57","1","62","2","0","0","0","151","435","Aweres Public School"
"002","ALGOMA--MANITOULIN","040","U","HEYDEN","79","86","4","98","4","1","1","0","273","581","Aweres Public School"
"002","ALGOMA--MANITOULIN","041","U","SAULT STE MARIE","66","47","0","68","3","2","0","0","186","412","Prince Township Municipal Office"
"002","ALGOMA--MANITOULIN","042","U","SAULT STE MARIE","83","45","0","55","10","0","0","0","193","387","Prince Township Municipal Office"
"002","ALGOMA--MANITOULIN","043","U","GARDEN RIVER","7","4","0","26","3","0","0","0","40","297","Garden River Community Centre First Nation"
"002","ALGOMA--MANITOULIN","044","U","GARDEN RIVER","8","0","1","152","1","1","0","0","163","648","Garden River Community Centre First Nation"
"002","ALGOMA--MANITOULIN","045","U","ECHO BAY","36","42","2","63","4","0","0","0","147","313","Echo Bay Elks Hall"
"002","ALGOMA--MANITOULIN","046","U","ECHO BAY","58","54","2","86","1","0","0","0","201","530","Echo Bay Elks Hall"
"002","ALGOMA--MANITOULIN","047","U","ECHO BAY","28","43","1","47","5","0","0","0","124","313","Echo Bay Elks Hall"
"002","ALGOMA--MANITOULIN","048","U","ECHO BAY","62","51","0","83","4","0","0","0","200","475","Laird Township Community Hall"
"002","ALGOMA--MANITOULIN","049","U","ECHO BAY","37","43","1","57","4","0","0","0","142","309","Laird Township Community Hall"
"002","ALGOMA--MANITOULIN","050","U","DESBARATS","72","45","0","46","2","0","0","0","165","326","MacLennan Hall"
"002","ALGOMA--MANITOULIN","051","U","DESBARATS","73","55","0","97","3","1","0","0","229","440","Township of Johnson Arena"
"002","ALGOMA--MANITOULIN","052","U","RICHARDS LANDING","80","66","0","58","6","0","0","0","210","356","Royal Canadian Legion Richards Landing"
"002","ALGOMA--MANITOULIN","053","U","RICHARDS LANDING","119","127","7","102","6","1","0","1","363","597","Royal Canadian Legion Richards Landing"
"002","ALGOMA--MANITOULIN","054","U","RICHARDS LANDING","38","44","1","37","7","0","0","0","127","224","Jocelyn Township Council Chambers"
"002","ALGOMA--MANITOULIN","055","U","HILTON BEACH","52","52","2","99","4","0","0","0","209","350","Hilton Beach Community Hall"
"002","ALGOMA--MANITOULIN","056","U","BRUCE MINES","15","15","0","16","0","3","0","0","49","104","Bruce Station Community Hall"
"002","ALGOMA--MANITOULIN","057","U","BRUCE MINES","65","56","1","64","0","1","0","0","187","378","Bruce Station Community Hall"
"002","ALGOMA--MANITOULIN","058","U","BRUCE MINES","90","63","2","98","2","1","1","0","257","438","Arthur Henderson Public School"
"002","ALGOMA--MANITOULIN","059","U","THESSALON","48","50","2","84","9","0","0","0","193","401","Algoma District Services Admin Board"
"002","ALGOMA--MANITOULIN","060","U","THESSALON","98","47","1","75","1","0","0","0","222","437","Town of Thessalon Council Chambers"
"002","ALGOMA--MANITOULIN","061","U","THESSALON","75","57","2","88","1","1","0","0","224","502","Town of Thessalon Council Chambers"
"002","ALGOMA--MANITOULIN","062","U","WHARNCLIFFE","8","23","0","25","2","0","2","0","60","98","Wharncliffe Community Hall"
"002","ALGOMA--MANITOULIN","063","U","THESSALON","6","0","1","40","0","1","0","0","48","89","Thessalon First Nation Community Hall"
"002","ALGOMA--MANITOULIN","064","U","SOWERBY","38","42","1","32","5","0","0","1","119","237","Day and Bright Community Hall"
"002","ALGOMA--MANITOULIN","065","U","IRON BRIDGE","36","55","4","54","2","2","0","0","153","415","Iron Bridge Public School"
"002","ALGOMA--MANITOULIN","066","U","IRON BRIDGE","51","35","1","42","3","0","0","0","132","324","Iron Bridge Public School"
"002","ALGOMA--MANITOULIN","067","U","MISSISSAUGA FIRST NATION","18","1","1","62","2","0","0","0","84","194","Mississauga Dreamcatcher Complex"
"002","ALGOMA--MANITOULIN","068","U","BLIND RIVER","53","26","2","70","1","2","0","0","154","440","Blind River Community Complex"
"002","ALGOMA--MANITOULIN","069","U","BLIND RIVER","34","30","0","61","5","0","0","0","130","394","Blind River Community Complex"
"002","ALGOMA--MANITOULIN","070","U","BLIND RIVER","57","28","1","52","2","0","0","0","140","399","Blind River Community Complex"
"002","ALGOMA--MANITOULIN","071","U","BLIND RIVER","72","35","3","32","5","0","1","0","148","377","Blind River Community Complex"
"002","ALGOMA--MANITOULIN","072","U","BLIND RIVER","44","25","1","53","8","0","0","0","131","414","Blind River Community Complex"
"002","ALGOMA--MANITOULIN","073","U","BLIND RIVER","33","30","4","51","1","0","0","0","119","373","Blind River Community Complex"
"002","ALGOMA--MANITOULIN","074","U","BLIND RIVER","64","36","2","80","4","1","0","0","187","445","Blind River Community Complex"
"002","ALGOMA--MANITOULIN","075","U","ALGOMA MILLS","17","33","0","54","1","0","0","0","105","221","Township of North Shore Council Chambers"
"002","ALGOMA--MANITOULIN","076","U","SPRAGGE","15","13","0","27","1","0","0","0","56","86","Spragge Bible Chapel"
"002","ALGOMA--MANITOULIN","077","U","SERPENT RIVER","8","6","0","23","0","0","0","0","37","97","Rockhaven School"
"002","ALGOMA--MANITOULIN","078","U","CUTLER","31","4","1","71","0","1","0","0","108","272","Serpent River Community Hall"
"002","ALGOMA--MANITOULIN","079","U","IRON BRIDGE",".......................COMBINED WITH POLL 066.......................","","","","","","","","","","Iron Bridge Public School"
"002","ALGOMA--MANITOULIN","080","U","ELLIOT LAKE","62","50","0","75","0","1","0","0","188","489","W. H. Collins Hall"
"002","ALGOMA--MANITOULIN","081","U","ELLIOT LAKE","85","28","0","97","6","2","0","0","218","510","W. H. Collins Hall"
"002","ALGOMA--MANITOULIN","082","U","ELLIOT LAKE","53","20","4","63","10","1","0","0","151","462","W. H. Collins Hall"
"002","ALGOMA--MANITOULIN","083","U","ELLIOT LAKE","49","30","3","66","5","1","0","0","154","369","Villa Francaise des Jeunes"
"002","ALGOMA--MANITOULIN","084","U","ELLIOT LAKE","63","30","3","95","5","3","0","0","199","377","1 Washington Crescent apartment(s)"
"002","ALGOMA--MANITOULIN","085","U","ELLIOT LAKE","60","44","0","91","4","0","1","0","200","420","Warsaw Place Apartments"
"002","ALGOMA--MANITOULIN","086","U","ELLIOT LAKE","44","25","1","76","3","0","0","0","149","473","Villa Francaise des Jeunes"
"002","ALGOMA--MANITOULIN","087","U","ELLIOT LAKE","51","33","2","64","0","0","0","0","150","419","Villa Francaise des Jeunes"
"002","ALGOMA--MANITOULIN","088","U","ELLIOT LAKE","53","31","1","87","8","1","0","2","183","473","Villa Francaise des Jeunes"
"002","ALGOMA--MANITOULIN","089","U","ELLIOT LAKE","61","29","1","84","3","1","0","0","179","563","Villa Francaise des Jeunes"
"002","ALGOMA--MANITOULIN","090","U","ELLIOT LAKE","57","32","1","74","1","1","0","0","166","464","Villa Francaise des Jeunes"
"002","ALGOMA--MANITOULIN","091","U","ELLIOT LAKE","40","38","2","84","6","3","0","0","173","517","W. H. Collins Hall"
"002","ALGOMA--MANITOULIN","092","U","ELLIOT LAKE","51","22","0","69","2","0","0","1","145","398","W. H. Collins Hall"
"002","ALGOMA--MANITOULIN","093","U","ELLIOT LAKE","31","26","2","74","2","0","0","0","135","466","W. H. Collins Hall"
"002","ALGOMA--MANITOULIN","094","U","ELLIOT LAKE","62","31","1","60","3","0","0","0","157","446","W. H. Collins Hall"
"002","ALGOMA--MANITOULIN","095","U","ELLIOT LAKE","46","33","1","97","9","0","1","0","187","497","W. H. Collins Hall"
"002","ALGOMA--MANITOULIN","096","U","ELLIOT LAKE","42","39","3","96","6","1","1","0","188","521","W. H. Collins Hall"
"002","ALGOMA--MANITOULIN","097","U","ELLIOT LAKE","32","31","0","82","0","1","0","0","146","473","W. H. Collins Hall"
"002","ALGOMA--MANITOULIN","098","U","ELLIOT LAKE","41","49","2","76","2","0","0","0","170","460","W. H. Collins Hall"
"002","ALGOMA--MANITOULIN","099","U","ELLIOT LAKE","45","36","5","90","5","1","0","0","182","462","W. H. Collins Hall"
"002","ALGOMA--MANITOULIN","100","U","SPANISH","46","19","1","92","1","0","0","0","159","324","Town of Spanish Municipal Office"
"002","ALGOMA--MANITOULIN","101","U","SPANISH","20","21","0","88","0","2","0","0","131","264","Town of Spanish Municipal Office"
"002","ALGOMA--MANITOULIN","102","U","WALFORD STATION","38","38","4","59","4","0","1","0","144","269","Walford Community Hall"
"002","ALGOMA--MANITOULIN","103","U","MASSEY","50","24","1","96","3","0","0","0","174","423","Massey S Geiger Public School"
"002","ALGOMA--MANITOULIN","104","U","MASSEY","56","32","0","87","8","0","0","0","183","501","Massey S Geiger Public School"
"002","ALGOMA--MANITOULIN","105","U","MASSEY","39","30","1","77","5","0","0","0","152","377","Massey S Geiger Public School"
"002","ALGOMA--MANITOULIN","106","U","SAGAMOK","49","3","0","93","2","0","0","0","147","447","Sagamok Millennium Centre-Sunrise Room"
"002","ALGOMA--MANITOULIN","107","U","MASSEY","33","19","0","32","0","0","0","0","84","206","Massey S Geiger Public School"
"002","ALGOMA--MANITOULIN","108","U","WEBBWOOD","26","16","1","49","3","0","0","0","95","314","Webbwood Senior Citizens Centre"
"002","ALGOMA--MANITOULIN","109","U","WEBBWOOD","30","37","1","81","4","0","0","0","153","369","Webbwood Senior Citizens Centre"
"002","ALGOMA--MANITOULIN","110","U","MCKERROW","37","24","1","70","6","0","0","0","138","412","Baldwin Recreational Centre"
"002","ALGOMA--MANITOULIN","111","U","NAIRN CENTRE","21","28","0","85","8","2","0","0","144","329","Nairn Community Centre"
"002","ALGOMA--MANITOULIN","112","U","ESPANOLA","50","32","3","72","5","0","0","0","162","467","Espanola Regional Recreation Complex"
"002","ALGOMA--MANITOULIN","113","U","ESPANOLA","54","26","2","65","1","0","0","0","148","376","Espanola Regional Recreation Complex"
"002","ALGOMA--MANITOULIN","114","U","ESPANOLA","47","31","2","69","4","2","0","0","155","383","Espanola Regional Recreation Complex"
"002","ALGOMA--MANITOULIN","115","U","ESPANOLA","84","27","0","83","3","0","1","0","198","464","Espanola Regional Recreation Complex"
"002","ALGOMA--MANITOULIN","116","U","ESPANOLA","58","33","1","75","1","0","0","0","168","452","Espanola Regional Recreation Complex"
"002","ALGOMA--MANITOULIN","117","U","ESPANOLA","61","24","1","87","3","0","0","0","176","486","Espanola Regional Recreation Complex"
"002","ALGOMA--MANITOULIN","118","U","ESPANOLA","33","32","0","61","1","0","0","0","127","404","Espanola Regional Recreation Complex"
"002","ALGOMA--MANITOULIN","119","U","ESPANOLA","33","34","4","109","2","1","0","0","183","510","Espanola Regional Recreation Complex"
"002","ALGOMA--MANITOULIN","120","U","ESPANOLA","69","41","1","121","8","0","1","0","241","597","Espanola Regional Recreation Complex"
"002","ALGOMA--MANITOULIN","121","U","WHITEFISH FALLS","31","31","0","27","3","0","0","0","92","220","Rainbow Country Recreation"
"002","ALGOMA--MANITOULIN","122","U","BIRCH ISLAND","23","10","1","86","4","1","0","0","125","328","Whitefish River Community Centre"
"002","ALGOMA--MANITOULIN","123","U","KILLARNEY","60","20","3","42","1","0","0","0","126","287","Killarney Municipal Building Lion's Den"
"002","ALGOMA--MANITOULIN","124","U","LITTLE CURRENT","26","33","0","28","8","0","0","0","95","279","Nemi Recreation Centre"
"002","ALGOMA--MANITOULIN","125","U","LITTLE CURRENT","31","53","2","39","7","1","0","0","133","387","Nemi Recreation Centre"
"002","ALGOMA--MANITOULIN","126","U","LITTLE CURRENT","28","17","0","39","12","1","0","0","97","278","Nemi Recreation Centre"
"002","ALGOMA--MANITOULIN","127","U","LITTLE CURRENT","36","54","0","31","6","0","0","0","127","383","Nemi Recreation Centre"
"002","ALGOMA--MANITOULIN","128","U","SHEGUIANDAH","25","59","0","53","10","0","0","0","147","336","Howland Senior Citizens Hall"
"002","ALGOMA--MANITOULIN","129","U","SHEGUIANDAH","3","0","0","42","1","0","0","0","46","58","Sheguiandah First Nation Band Office"
"002","ALGOMA--MANITOULIN","130","U","MANITOWANING","21","37","0","44","4","2","0","0","108","218","Manitowaning Community Centre and Arena"
"002","ALGOMA--MANITOULIN","131","U","MANITOWANING","58","81","2","78","16","0","0","0","235","444","Manitowaning Community Centre and Arena"
"002","ALGOMA--MANITOULIN","132","U","WIKWEMIKONG","37","8","3","75","6","0","0","0","129","612","Wikwemikong Arena"
"002","ALGOMA--MANITOULIN","133","U","WIKWEMIKONG","44","4","0","33","3","1","0","0","85","471","Wikwemikong Arena"
"002","ALGOMA--MANITOULIN","134","U","WIKWEMIKONG","50","9","0","84","5","0","0","0","148","718","Wikwemikong Arena"
"002","ALGOMA--MANITOULIN","135","U","SUCKER CREEK","12","3","0","42","5","0","0","0","62","328","Aundeck-Omni-Kaning Community Centre"
"002","ALGOMA--MANITOULIN","136","U","MINDEMOYA","39","38","0","27","9","0","0","0","113","265","Rockville Community Centre"
"002","ALGOMA--MANITOULIN","137","U","WEST BAY","43","14","0","97","7","0","0","0","161","696","M'Chigeeng Multi-Use Complex"
"002","ALGOMA--MANITOULIN","138","U","MINDEMOYA","35","50","2","39","4","0","0","0","130","246","Central Manitoulin Municipal Complex"
"002","ALGOMA--MANITOULIN","139","U","TEHKUMMAH","48","56","1","63","15","0","0","0","183","317","Tehkummah Triangle Senior Citizens Centre"
"002","ALGOMA--MANITOULIN","140","U","MINDEMOYA","61","53","1","44","8","0","1","0","168","310","Central Manitoulin Municipal Complex"
"002","ALGOMA--MANITOULIN","141","U","MINDEMOYA","51","74","2","67","12","0","0","0","206","388","Central Manitoulin Municipal Complex"
"002","ALGOMA--MANITOULIN","142","U","PROVIDENCE BAY","34","44","1","63","10","0","0","0","152","299","Providence Bay Centennial Hall"
"002","ALGOMA--MANITOULIN","143","U","SPRING BAY","53","69","0","88","8","1","2","0","221","374","Spring Bay Community Centre"
"002","ALGOMA--MANITOULIN","144","U","KAGAWONG","48","88","0","82","12","1","0","0","231","385","Kagawong Park Centre"
"002","ALGOMA--MANITOULIN","145","U","GORDON","41","39","2","75","4","0","0","0","161","281","Gordon Township Community Hall"
"002","ALGOMA--MANITOULIN","146","U","GORE BAY","43","44","2","47","3","1","1","0","141","332","Gore Bay Municipal Office"
"002","ALGOMA--MANITOULIN","147","U","GORE BAY","50","58","1","73","6","4","1","0","193","472","Gore Bay Municipal Office"
"002","ALGOMA--MANITOULIN","148","U","EVANSVILLE","19","46","3","52","10","0","0","0","130","243","Burpee Mills Complex"
"002","ALGOMA--MANITOULIN","149","U","SILVER WATER","14","9","1","30","2","0","0","0","56","99","Silver Water Community Hall"
"002","ALGOMA--MANITOULIN","150","U","MELDRUM BAY","7","12","0","12","0","0","0","0","31","45","Meldrum Bay Community Hall"
"002","ALGOMA--MANITOULIN","151","U","SHESHEGWANING","11","1","1","23","1","0","0","0","37","89","Sheshegwaning Community Complex"
"002","ALGOMA--MANITOULIN","152","U","SILVER WATER","3","0","0","14","1","0","0","0","18","37","Zhiibaahaasing Band Office"
"002","ALGOMA--MANITOULIN","700","U","WAWA","1","0","1","2","1","0","0","0","5","22","Lady Dunn Health Centre"
"002","ALGOMA--MANITOULIN","701","U","CHAPLEAU","5","1","0","1","0","0","0","0","7","24","Chapleau Bignucolo Residence"
"002","ALGOMA--MANITOULIN","702","U","THESSALON","30","13","1","9","1","0","0","0","54","117","Algoma Manor"
"002","ALGOMA--MANITOULIN","703","U","BLIND RIVER","9","4","0","7","0","0","0","0","20","47","Golden Birches Terrace"
"002","ALGOMA--MANITOULIN","704","U","ELLIOT LAKE","8","4","0","8","1","1","0","0","22","72","St. Joseph Manor"
"002","ALGOMA--MANITOULIN","705","U","ELLIOT LAKE","10","2","0","3","0","0","0","0","15","40","Huron Lodge-Elliot Lake"
"002","ALGOMA--MANITOULIN","706","U","ELLIOT LAKE","10","3","2","9","1","0","0","0","25","67","Hillside Park Retirement Residence"
"002","ALGOMA--MANITOULIN","707","U","ESPANOLA","19","8","1","9","0","0","0","0","37","117","Espanola Senior Citizens Drop In Centre"
"002","ALGOMA--MANITOULIN","708","U","LITTLE CURRENT","12","11","0","4","0","0","0","0","27","67","Manitoulin Centennial Manor"
"002","ALGOMA--MANITOULIN","709","U","WIKWEMIKONG",".......................COMBINED WITH POLL 710.......................","","","","","","","","","","Wikwemikong Nursing Home"
"002","ALGOMA--MANITOULIN","710","U","GORE BAY","32","7","2","16","3","0","1","0","61","70","Manitoulin Lodge Nursing Home"
"002","ALGOMA--MANITOULIN","ADV001","U","IRON BRIDGE","98","98","2","92","3","1","0","0","294","0","Returning Office / Bureau du directeur du scrutin"
"002","ALGOMA--MANITOULIN","ADV002","U","IRON BRIDGE","173","157","7","347","23","20","2","2","731","0","Special Ballot Voting / Vote par bulletin spécial"
"002","ALGOMA--MANITOULIN","ADV003","U","LITTLE CURRENT","120","182","1","116","26","0","0","0","445","0","Little Current Satellite Office"
"002","ALGOMA--MANITOULIN","ADV004","U","WAWA","49","70","2","190","7","0","0","0","318","0","Wawa Satellite Office"
"002","ALGOMA--MANITOULIN","ADV005","U","ELLIOT LAKE","394","352","12","559","25","0","1","1","1344","0","Elliot Lake Satellite Office"
"002","ALGOMA--MANITOULIN","ADV006","U","HORNEPAYNE","16","16","11","59","1","0","0","0","103","0","Hornepayne Royal Canadian Legion"
"002","ALGOMA--MANITOULIN","ADV007","U","GOULAIS RIVER","58","76","1","100","3","0","0","0","238","0","Goulais River Captain Tilley's Community"
"002","ALGOMA--MANITOULIN","ADV008","U","CHAPLEAU","85","44","1","105","3","3","1","0","242","0","Chapleau Municipal Office"
"002","ALGOMA--MANITOULIN","ADV009","U","ECHO BAY","80","63","1","67","2","0","0","1","214","0","Echo Bay Elks Hall"
"002","ALGOMA--MANITOULIN","ADV010","U","BLIND RIVER","178","100","4","177","8","3","0","0","470","0","Blind River Community Complex"
"002","ALGOMA--MANITOULIN","ADV011","U","ESPANOLA","163","117","0","190","8","2","1","0","481","0","Espanola Regional Recreation Complex"
"002","ALGOMA--MANITOULIN","ADV012","U","GORE BAY","46","80","0","50","8","1","1","0","186","0","Gore Bay Municipal Office"
"002","ALGOMA--MANITOULIN","ADV013","U","MANITOUWADGE","25","40","2","38","4","1","0","0","110","0","Manitouwadge Recreation Centre"
"002","ALGOMA--MANITOULIN","ADV014","U","DUBREUILVILLE","4","29","1","48","0","0","0","0","82","0","Dubreuilville Social and Cultural Centre"
"002","ALGOMA--MANITOULIN","ADV015","U","WHITE RIVER","20","12","0","30","0","0","0","0","62","0","Ammenity Space White River"
"002","ALGOMA--MANITOULIN","ADV016","U","KILLARNEY","18","4","0","5","0","1","0","0","28","0","Killarney Municipal Building Lion's Den"
"TOTALS:","","","","","7397","6141","217","11585","684","100","24","10","26158","52919",""
