"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DONOFRIO","FABRIZIO","FRYE","GENCO","MARINO","NATALE","QUATELA","SORBARA","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"097","VAUGHAN","045B","U","VAUGHAN","21","3","1","59","0","0","1","72","1","0","0","158","367","St. Veronica Catholic School"
"097","VAUGHAN","046A","U","VAUGHAN","11","2","1","43","0","0","1","65","1","0","0","124","344","St. Veronica Catholic School"
"097","VAUGHAN","046B","U","VAUGHAN","10","0","4","41","0","1","0","61","0","0","0","117","334","St. Veronica Catholic School"
"097","VAUGHAN","047","U","VAUGHAN","19","2","1","65","0","2","0","79","2","0","0","170","518","St. Agnes of Assisi Catholic Elementary School"
"097","VAUGHAN","048","U","VAUGHAN","8","2","1","57","0","0","0","60","1","0","0","129","379","St. Agnes of Assisi Catholic Elementary School"
"097","VAUGHAN","049","U","VAUGHAN","15","4","0","34","0","0","0","51","0","0","1","105","360","St. Agnes of Assisi Catholic Elementary School"
"097","VAUGHAN","050","U","VAUGHAN","27","5","2","55","1","0","2","72","0","0","0","164","404","St. Agnes of Assisi Catholic Elementary School"
"097","VAUGHAN","051","U","VAUGHAN","20","7","0","40","0","0","1","71","0","1","0","140","416","St. Agnes of Assisi Catholic Elementary School"
"097","VAUGHAN","052","U","VAUGHAN","28","6","2","60","0","0","0","67","3","1","0","167","471","St. Agnes of Assisi Catholic Elementary School"
"097","VAUGHAN","053","U","KLEINBURG","14","1","2","90","0","1","0","111","0","1","0","220","775","Kleinburg Public School"
"097","VAUGHAN","054","U","VAUGHAN","7","0","2","38","0","0","0","23","0","0","0","70","221","Glenn Gould Public School"
"097","VAUGHAN","055","U","VAUGHAN","34","10","3","52","1","0","2","122","1","0","0","225","607","Glenn Gould Public School"
"097","VAUGHAN","056","U","VAUGHAN","19","5","0","25","1","0","0","61","2","1","0","114","332","Glenn Gould Public School"
"097","VAUGHAN","057","U","VAUGHAN","15","4","0","29","2","0","0","45","0","0","0","95","330","Glenn Gould Public School"
"097","VAUGHAN","058","U","VAUGHAN","27","11","1","33","1","0","2","70","0","0","0","145","491","St. Mary of the Angels"
"097","VAUGHAN","059","U","VAUGHAN","15","4","1","31","0","0","0","75","0","0","0","126","365","St. Mary of the Angels"
"097","VAUGHAN","060","U","VAUGHAN","51","9","3","54","3","0","1","105","1","0","0","227","759","St. Mary of the Angels"
"097","VAUGHAN","061","U","VAUGHAN","14","5","1","37","1","0","0","48","2","0","0","108","436","Vellore Village Community Centre"
"097","VAUGHAN","062","U","VAUGHAN","13","2","3","19","0","0","1","49","0","0","0","87","370","Vellore Village Community Centre"
"097","VAUGHAN","063","U","VAUGHAN","24","2","1","38","0","0","0","63","0","0","0","128","456","Vellore Village Community Centre"
"097","VAUGHAN","064","U","VAUGHAN","12","4","0","45","0","1","0","51","1","0","0","114","371","Vellore Village Community Centre"
"097","VAUGHAN","065","U","VAUGHAN","11","3","0","36","0","2","1","56","0","0","0","109","396","Vellore Village Community Centre"
"097","VAUGHAN","066","U","VAUGHAN","12","4","2","34","0","0","1","63","1","0","0","117","384","Vellore Village Community Centre"
"097","VAUGHAN","067","U","VAUGHAN","10","2","1","46","1","0","2","62","0","0","0","124","369","St. Emily Catholic School"
"097","VAUGHAN","068","U","VAUGHAN","20","7","0","10","0","0","0","51","0","1","0","89","385","St. Emily Catholic School"
"097","VAUGHAN","069","U","VAUGHAN","25","2","2","29","2","1","0","83","0","0","0","144","410","St. Emily Catholic School"
"097","VAUGHAN","070","U","VAUGHAN","15","5","1","50","1","0","0","44","0","0","0","116","383","St. Emily Catholic School"
"097","VAUGHAN","071","U","VAUGHAN","35","4","5","45","2","0","0","86","2","2","0","181","414","St. Emily Catholic School"
"097","VAUGHAN","072","U","VAUGHAN","29","3","3","40","0","1","0","92","1","1","0","170","426","St. Emily Catholic School"
"097","VAUGHAN","073","U","VAUGHAN","15","0","2","60","0","0","0","69","3","1","0","150","421","Our Lady of Fatima Catholic School"
"097","VAUGHAN","074","U","VAUGHAN","5","1","1","83","0","5","0","95","3","1","0","194","491","Our Lady of Fatima Catholic School"
"097","VAUGHAN","075","U","VAUGHAN","11","2","1","83","1","2","0","93","0","0","0","193","509","Our Lady of Fatima Catholic School"
"097","VAUGHAN","076","U","VAUGHAN","14","2","0","84","0","0","0","99","0","0","0","199","519","Our Lady of Fatima Catholic School"
"097","VAUGHAN","077","U","VAUGHAN","14","4","10","75","0","0","0","92","1","0","0","196","571","Our Lady of Fatima Catholic School"
"097","VAUGHAN","078","U","VAUGHAN","17","1","2","40","0","0","0","60","0","0","0","120","418","Our Lady of Fatima Catholic School"
"097","VAUGHAN","079","U","VAUGHAN","18","2","5","59","1","0","0","8","0","1","0","94","422","St. Angela Merici Catholic School"
"097","VAUGHAN","080","U","VAUGHAN","29","1","4","74","0","0","1","91","0","1","0","201","489","St. Angela Merici Catholic School"
"097","VAUGHAN","081","U","VAUGHAN","27","6","9","78","1","3","1","101","0","0","0","226","464","St. Angela Merici Catholic School"
"097","VAUGHAN","082","U","VAUGHAN","41","4","2","50","0","0","1","80","1","1","0","180","461","St. Angela Merici Catholic School"
"097","VAUGHAN","083A","U","VAUGHAN","11","4","2","44","1","3","0","56","3","0","0","124","374","St. Angela Merici Catholic School"
"097","VAUGHAN","083B","U","VAUGHAN","11","4","2","44","1","3","0","56","0","0","0","121","376","St. Angela Merici Catholic School"
"097","VAUGHAN","084","U","VAUGHAN","23","3","2","60","1","0","1","103","3","0","0","196","473","San Marco Catholic School"
"097","VAUGHAN","085","U","VAUGHAN","25","1","0","53","2","2","0","125","4","0","0","212","544","San Marco Catholic School"
"097","VAUGHAN","086","U","VAUGHAN","33","2","3","63","0","2","0","120","0","0","0","223","474","San Marco Catholic School"
"097","VAUGHAN","087","U","VAUGHAN","25","4","4","51","2","1","1","149","6","0","0","243","576","San Marco Catholic School"
"097","VAUGHAN","088","U","VAUGHAN","31","2","1","30","0","2","1","74","0","0","0","141","399","St. Clement Catholic School"
"097","VAUGHAN","089","U","VAUGHAN","22","5","1","42","1","1","1","97","4","0","0","174","408","St. Clement Catholic School"
"097","VAUGHAN","090","U","VAUGHAN","20","6","1","64","0","1","2","113","1","0","0","208","522","St. Clement Catholic School"
"097","VAUGHAN","091","U","VAUGHAN","33","5","3","77","1","0","0","108","0","0","0","227","541","St. Clement Catholic School"
"097","VAUGHAN","092","U","VAUGHAN","17","5","2","43","1","0","0","122","3","1","0","194","448","St. Clement Catholic School"
"097","VAUGHAN","093","U","VAUGHAN","20","4","2","62","0","1","1","108","2","1","1","202","411","St. Clement Catholic School"
"097","VAUGHAN","094","U","VAUGHAN","13","5","3","64","1","0","0","118","1","0","0","205","504","Woodbridge United Church"
"097","VAUGHAN","095","U","VAUGHAN","20","0","6","36","1","2","1","77","2","0","0","145","412","St. Peter Catholic School"
"097","VAUGHAN","096","U","VAUGHAN","14","2","3","32","0","0","0","125","0","1","1","178","443","St. Peter Catholic School"
"097","VAUGHAN","097","U","VAUGHAN","12","2","7","42","2","0","1","71","0","0","0","137","364","St. Peter Catholic School"
"097","VAUGHAN","098","U","VAUGHAN","22","4","3","52","0","0","0","131","1","0","1","214","440","St. Peter Catholic School"
"097","VAUGHAN","099","U","VAUGHAN","30","4","4","56","0","0","0","109","3","0","1","207","486","St. Clement Catholic School"
"097","VAUGHAN","100","U","VAUGHAN","33","2","2","72","2","1","0","97","1","2","0","212","529","St. Clement Catholic School"
"097","VAUGHAN","101","U","VAUGHAN","37","2","1","47","0","0","1","84","1","0","0","173","462","St. Clement Catholic School"
"097","VAUGHAN","102","U","VAUGHAN","20","1","5","35","0","2","3","86","0","1","0","153","598","St. Peter Catholic School"
"097","VAUGHAN","103","U","VAUGHAN","23","3","2","86","0","0","1","98","3","0","0","216","538","Al Palladini Community Centre"
"097","VAUGHAN","104","U","VAUGHAN","13","1","7","76","0","2","0","129","1","0","0","229","559","Al Palladini Community Centre"
"097","VAUGHAN","105","U","VAUGHAN","16","2","4","71","1","3","0","104","0","0","0","201","559","Al Palladini Community Centre"
"097","VAUGHAN","106","U","VAUGHAN","3","1","3","58","0","0","0","89","2","0","0","156","459","Al Palladini Community Centre"
"097","VAUGHAN","107","U","VAUGHAN","17","0","2","70","0","0","2","94","0","0","0","185","626","Al Palladini Community Centre"
"097","VAUGHAN","108","U","WOODBRIDGE","11","5","5","81","1","1","1","122","3","2","0","232","553","St. Margaret Mary Catholic School"
"097","VAUGHAN","109","U","WOODBRIDGE","5","2","2","55","0","0","1","92","1","0","0","158","407","St. Margaret Mary Catholic School"
"097","VAUGHAN","110","U","WOODBRIDGE","12","1","2","78","0","1","0","102","0","2","0","198","502","St. Margaret Mary Catholic School"
"097","VAUGHAN","111","U","VAUGHAN","11","1","0","27","0","0","0","41","0","1","0","81","248","Woodbridge Public School"
"097","VAUGHAN","112","U","VAUGHAN","17","4","4","66","1","1","1","86","0","0","0","180","475","Woodbridge Public School"
"097","VAUGHAN","113","U","VAUGHAN","10","1","1","31","0","1","0","64","1","0","1","110","345","Woodbridge Public School"
"097","VAUGHAN","114","U","VAUGHAN","5","3","1","22","0","0","0","59","0","0","0","90","244","Woodbridge Public School"
"097","VAUGHAN","115","U","VAUGHAN","19","3","3","42","0","0","2","87","2","0","0","158","439","Woodbridge Memorial Pool and  Arena"
"097","VAUGHAN","116","U","VAUGHAN","5","1","0","40","0","2","0","79","2","0","0","129","308","Woodbridge Memorial Pool and  Arena"
"097","VAUGHAN","117","U","VAUGHAN","10","0","0","52","0","3","1","109","1","0","0","176","464","Woodbridge Memorial Pool and  Arena"
"097","VAUGHAN","118","U","VAUGHAN","10","0","0","39","1","0","1","70","1","1","0","123","358","St. Catherine of Siena Catholic Elementary School"
"097","VAUGHAN","119","U","VAUGHAN","16","5","4","59","0","1","0","104","1","0","0","190","494","St. Catherine of Siena Catholic Elementary School"
"097","VAUGHAN","120","U","VAUGHAN","21","1","2","59","0","2","0","98","3","0","0","186","532","St. Catherine of Siena Catholic Elementary School"
"097","VAUGHAN","121","U","VAUGHAN","16","2","1","49","0","0","0","83","1","1","0","153","405","Woodbridge College"
"097","VAUGHAN","122","U","VAUGHAN","15","0","5","29","0","1","0","82","0","0","0","132","318","Woodbridge Memorial Pool and  Arena"
"097","VAUGHAN","123","U","VAUGHAN","35","2","2","57","1","1","1","128","3","0","0","230","672","Woodbridge Memorial Pool and  Arena"
"097","VAUGHAN","124","U","VAUGHAN","25","9","4","47","1","0","1","121","2","2","0","212","496","St. Catherine of Siena Catholic Elementary School"
"097","VAUGHAN","125","U","VAUGHAN","27","1","3","42","0","1","1","126","8","0","0","209","497","St. Catherine of Siena Catholic Elementary School"
"097","VAUGHAN","126","U","VAUGHAN","23","6","0","36","1","1","0","93","6","0","0","166","417","St. Catherine of Siena Catholic Elementary School"
"097","VAUGHAN","127","U","VAUGHAN","11","3","1","40","0","0","0","97","2","1","0","155","465","St. Clare Catholic School"
"097","VAUGHAN","128","U","VAUGHAN","15","2","3","68","0","0","0","87","2","0","0","177","459","St. Clare Catholic School"
"097","VAUGHAN","129","U","VAUGHAN","2","1","3","103","0","0","0","56","0","1","0","166","406","St. Gregory the Great Catholic School"
"097","VAUGHAN","130","U","VAUGHAN","22","1","0","52","0","4","0","87","2","1","0","169","424","St. Clare Catholic School"
"097","VAUGHAN","131","U","VAUGHAN","13","4","5","73","0","3","1","108","1","0","0","208","497","St. Clare Catholic School"
"097","VAUGHAN","132","U","VAUGHAN","13","3","4","76","0","0","0","125","0","0","0","221","571","St. Clare Catholic School"
"097","VAUGHAN","133","U","VAUGHAN","15","2","7","74","0","1","0","113","0","0","0","212","528","St. Clare Catholic School"
"097","VAUGHAN","134","U","VAUGHAN","9","2","3","76","0","1","0","94","1","0","0","186","463","St. Gregory the Great Catholic School"
"097","VAUGHAN","135","U","VAUGHAN","16","0","4","59","0","0","0","143","2","0","0","224","544","St. Gregory the Great Catholic School"
"097","VAUGHAN","136","U","VAUGHAN","25","1","3","62","0","1","1","126","1","1","0","221","499","St. Gregory the Great Catholic School"
"097","VAUGHAN","137","U","VAUGHAN","16","4","3","71","1","0","3","134","1","1","0","234","514","St. Gregory the Great Catholic School"
"097","VAUGHAN","138","U","VAUGHAN","19","5","3","73","0","0","0","138","0","0","0","238","543","St. Gregory the Great Catholic School"
"097","VAUGHAN","139","U","VAUGHAN","22","2","3","81","0","0","1","106","3","0","0","218","508","Father Bressani High School"
"097","VAUGHAN","140","U","VAUGHAN","27","5","1","54","1","2","0","74","7","0","0","171","429","Immaculate Conception Catholic School"
"097","VAUGHAN","141","U","VAUGHAN","11","1","1","40","0","0","0","64","0","0","0","117","324","Father Bressani High School"
"097","VAUGHAN","142","U","VAUGHAN","17","3","1","39","0","0","1","101","1","0","0","163","468","Father Bressani High School"
"097","VAUGHAN","143","U","VAUGHAN","23","6","1","59","1","2","1","105","0","0","0","198","469","Immaculate Conception Catholic School"
"097","VAUGHAN","144","U","VAUGHAN","31","2","2","51","0","0","0","169","3","0","0","258","533","Father Bressani High School"
"097","VAUGHAN","145","U","VAUGHAN","23","5","2","55","1","3","0","141","1","0","0","231","536","Chancellor Community Centre"
"097","VAUGHAN","146","U","VAUGHAN","19","3","2","46","0","3","0","112","5","2","0","192","423","Chancellor Community Centre"
"097","VAUGHAN","147","U","VAUGHAN","14","3","1","69","0","1","3","123","5","2","0","221","526","Immaculate Conception Catholic School"
"097","VAUGHAN","148","U","VAUGHAN","24","5","1","65","0","1","0","131","1","0","0","228","504","Immaculate Conception Catholic School"
"097","VAUGHAN","149","U","VAUGHAN","18","2","2","56","0","4","0","124","2","0","0","208","427","Immaculate Conception Catholic School"
"097","VAUGHAN","150","U","VAUGHAN","19","3","4","60","1","1","2","109","1","0","0","200","493","Father Bressani High School"
"097","VAUGHAN","151","U","VAUGHAN","26","3","1","54","3","0","1","109","0","0","0","197","488","Father Bressani High School"
"097","VAUGHAN","152","U","VAUGHAN","16","5","2","48","1","0","1","141","2","0","0","216","480","Chancellor Community Centre"
"097","VAUGHAN","153","U","VAUGHAN","19","5","6","61","0","0","0","141","0","0","0","232","474","Chancellor Community Centre"
"097","VAUGHAN","154","U","VAUGHAN","25","4","5","64","1","0","2","125","3","0","0","229","518","Chancellor Community Centre"
"097","VAUGHAN","155","U","VAUGHAN","17","3","2","55","0","2","1","147","3","1","0","231","532","Chancellor Community Centre"
"097","VAUGHAN","156","U","VAUGHAN","19","3","5","55","0","1","0","122","3","0","0","208","530","Chancellor Community Centre"
"097","VAUGHAN","157","U","VAUGHAN","18","7","1","68","1","0","0","118","1","0","0","214","477","Chancellor Community Centre"
"097","VAUGHAN","158","U","VAUGHAN","30","2","2","51","0","0","1","144","2","0","0","232","560","Chancellor Community Centre"
"097","VAUGHAN","159","U","VAUGHAN","14","1","2","48","1","0","0","94","2","0","0","162","424","Blue Willow Public School"
"097","VAUGHAN","160","U","VAUGHAN","12","3","1","30","0","0","0","75","0","0","0","121","373","Blue Willow Public School"
"097","VAUGHAN","161","U","VAUGHAN","25","0","3","39","0","2","3","54","0","0","0","126","398","Blue Willow Public School"
"097","VAUGHAN","162","U","VAUGHAN","25","7","3","32","0","4","0","82","1","0","0","154","396","Blue Willow Public School"
"097","VAUGHAN","163","U","VAUGHAN","20","1","1","38","0","1","1","58","2","0","0","122","422","Blue Willow Public School"
"097","VAUGHAN","164","U","VAUGHAN","17","3","4","23","1","2","0","41","2","0","0","93","356","Immaculate Conception Catholic School"
"097","VAUGHAN","165","U","VAUGHAN","14","2","2","39","1","0","0","64","1","0","0","123","409","Immaculate Conception Catholic School"
"097","VAUGHAN","166","U","VAUGHAN","18","4","0","35","1","0","0","55","0","0","0","113","360","St. Raphael the Archangel Catholic School"
"097","VAUGHAN","167","U","VAUGHAN","6","1","0","6","0","0","2","141","0","0","0","156","468","Discovery Public School"
"097","VAUGHAN","168","U","VAUGHAN","5","3","0","6","0","0","0","175","4","0","0","193","593","Discovery Public School"
"097","VAUGHAN","169","U","VAUGHAN","9","2","2","17","0","0","0","32","0","0","0","62","221","Discovery Public School"
"097","VAUGHAN","170","U","VAUGHAN","28","2","3","28","0","0","1","132","0","0","0","194","508","Discovery Public School"
"097","VAUGHAN","171","U","VAUGHAN","30","1","2","46","0","0","0","80","0","0","0","159","449","Discovery Public School"
"097","VAUGHAN","172","U","VAUGHAN","12","4","2","10","0","0","0","61","0","0","0","89","383","Discovery Public School"
"097","VAUGHAN","173","U","VAUGHAN","16","2","1","34","0","0","1","79","1","0","0","134","464","St. James Catholic School"
"097","VAUGHAN","174","U","VAUGHAN","27","4","4","20","0","1","0","89","3","0","0","148","394","Discovery Public School"
"097","VAUGHAN","175","U","VAUGHAN","31","0","3","36","0","0","0","62","1","2","0","135","412","St. James Catholic School"
"097","VAUGHAN","176","U","VAUGHAN","24","4","1","29","0","0","2","60","0","1","0","121","377","St. James Catholic School"
"097","VAUGHAN","177","U","VAUGHAN","17","1","2","26","1","0","0","91","0","0","0","138","480","St. James Catholic School"
"097","VAUGHAN","178","U","VAUGHAN","25","5","1","33","6","0","3","57","0","1","0","131","402","St. James Catholic School"
"097","VAUGHAN","179","U","VAUGHAN","33","3","0","38","1","0","3","79","1","0","0","158","469","St. James Catholic School"
"097","VAUGHAN","180","U","VAUGHAN","20","3","1","29","1","0","6","57","0","2","0","119","401","St. James Catholic School"
"097","VAUGHAN","181","U","VAUGHAN","11","2","3","38","0","1","1","31","1","0","0","88","256","Julliard Public School"
"097","VAUGHAN","182","U","VAUGHAN","14","8","0","29","0","0","0","52","1","0","0","104","370","Julliard Public School"
"097","VAUGHAN","183","U","VAUGHAN","21","9","2","28","0","1","0","80","0","0","0","141","385","Julliard Public School"
"097","VAUGHAN","184","U","VAUGHAN","26","4","0","32","0","0","1","63","0","0","0","126","382","Julliard Public School"
"097","VAUGHAN","185","U","VAUGHAN","12","6","0","60","2","1","0","95","1","0","0","177","454","Mackenzie Glen Public School"
"097","VAUGHAN","186","U","VAUGHAN","22","2","3","50","1","1","1","92","1","2","0","175","429","Mackenzie Glen Public School"
"097","VAUGHAN","187","U","VAUGHAN","29","0","2","36","1","0","1","83","0","0","0","152","423","Mackenzie Glen Public School"
"097","VAUGHAN","188","U","VAUGHAN","20","2","3","33","1","1","0","47","0","0","0","107","329","Mackenzie Glen Public School"
"097","VAUGHAN","189","U","VAUGHAN","22","3","2","46","0","0","1","82","0","0","0","156","402","Holy Jubilee Catholic School"
"097","VAUGHAN","190","U","VAUGHAN","24","5","5","42","0","0","0","84","0","0","0","160","380","Holy Jubilee Catholic School"
"097","VAUGHAN","191","U","VAUGHAN","35","4","3","38","1","1","2","87","2","0","0","173","438","Holy Jubilee Catholic School"
"097","VAUGHAN","192","U","VAUGHAN","34","0","3","47","0","0","1","85","3","0","0","173","453","Holy Jubilee Catholic School"
"097","VAUGHAN","193","U","VAUGHAN","28","7","2","26","0","0","1","67","3","0","0","134","406","Holy Jubilee Catholic School"
"097","VAUGHAN","194","U","VAUGHAN","15","3","4","39","1","3","1","69","4","0","0","139","383","St. Joan of Arc Catholic School"
"097","VAUGHAN","195","U","VAUGHAN","15","1","3","31","1","0","0","71","1","0","0","123","368","St. Joan of Arc Catholic School"
"097","VAUGHAN","196","U","VAUGHAN","32","6","1","36","1","0","0","59","1","0","0","136","482","St. Joan of Arc Catholic School"
"097","VAUGHAN","197","U","VAUGHAN","13","2","3","40","1","0","0","114","0","0","0","173","458","St. Joan of Arc Catholic School"
"097","VAUGHAN","198","U","VAUGHAN","10","3","5","41","0","0","0","115","0","0","0","174","426","St. Joan of Arc Catholic School"
"097","VAUGHAN","199","U","VAUGHAN","16","4","0","48","1","0","1","84","2","0","0","156","437","St. Joan of Arc Catholic School"
"097","VAUGHAN","200","U","VAUGHAN","23","1","4","51","1","1","2","101","1","0","0","185","461","Divine Mercy Catholic School"
"097","VAUGHAN","201","U","VAUGHAN","28","0","7","35","1","0","2","47","1","0","0","121","364","Divine Mercy Catholic School"
"097","VAUGHAN","202","U","VAUGHAN","25","3","6","48","1","1","2","68","1","0","0","155","388","Michael Cranny Public School"
"097","VAUGHAN","203","U","VAUGHAN","34","0","1","32","0","0","1","62","1","0","0","131","377","Michael Cranny Public School"
"097","VAUGHAN","204","U","VAUGHAN","29","2","3","42","1","0","1","78","0","0","0","156","410","Michael Cranny Public School"
"097","VAUGHAN","205","U","VAUGHAN","13","7","4","74","0","2","1","106","2","0","0","209","488","Michael Cranny Public School"
"097","VAUGHAN","206","U","VAUGHAN","12","4","2","38","1","3","0","126","1","0","0","187","433","St. Joan of Arc Catholic School"
"097","VAUGHAN","207","U","VAUGHAN","34","3","3","57","2","1","0","100","1","0","0","201","450","Maple Community Centre"
"097","VAUGHAN","208","U","VAUGHAN","16","1","2","57","1","0","0","117","2","0","0","196","449","Maple Community Centre"
"097","VAUGHAN","209","U","VAUGHAN","14","4","2","49","0","2","0","97","1","0","0","169","440","Maple Community Centre"
"097","VAUGHAN","210","U","VAUGHAN","24","2","1","46","0","2","0","115","2","0","0","192","519","Maple Community Centre"
"097","VAUGHAN","211","U","VAUGHAN","22","0","0","31","2","0","0","62","2","0","0","119","394","Le Petit Prince"
"097","VAUGHAN","212","U","VAUGHAN","27","7","4","44","2","0","2","56","6","0","1","149","451","Maple High School"
"097","VAUGHAN","213","U","VAUGHAN","20","7","0","73","2","0","1","107","1","2","0","213","458","Le Petit Prince"
"097","VAUGHAN","214","U","VAUGHAN","25","0","0","66","0","3","0","155","0","1","0","250","486","Le Petit Prince"
