"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BARRETT","BLAKE","CRONE","GOTS","NICHOLS","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"028","HALDIMAND--NORFOLK","116","U","PORT DOVER","113","5","44","2","46","0","0","0","210","488","Doverwood Public School"
"028","HALDIMAND--NORFOLK","117","U","PORT DOVER","114","1","23","3","33","0","0","0","174","394","Doverwood Public School"
"028","HALDIMAND--NORFOLK","118","U","PORT DOVER","118","3","63","0","30","0","2","0","216","427","Port Dover Lions Community Centre"
"028","HALDIMAND--NORFOLK","119","U","PORT DOVER","88","1","34","1","23","1","0","0","148","307","Port Dover Lions Community Centre"
"028","HALDIMAND--NORFOLK","120","U","PORT DOVER","145","5","53","0","44","0","0","0","247","429","Doverwood Public School"
"028","HALDIMAND--NORFOLK","121","U","PORT DOVER","102","4","23","0","21","0","0","0","150","299","Doverwood Public School"
"028","HALDIMAND--NORFOLK","122","U","TOWNSEND","108","5","15","1","38","0","0","0","167","336","Parkview Meadows Village"
"028","HALDIMAND--NORFOLK","123","U","WATERFORD","71","6","36","3","35","0","0","0","151","388","Royal Canadian Legion Branch 123"
"028","HALDIMAND--NORFOLK","124","U","WATERFORD","106","5","24","2","38","0","0","0","175","293","Boston Public School"
"028","HALDIMAND--NORFOLK","125","U","WATERFORD","92","9","18","1","30","1","0","0","151","293","Boston Public School"
"028","HALDIMAND--NORFOLK","126","U","HAGERSVILLE","159","3","20","5","46","2","0","0","235","371","Hagersville Arena - Almas Room"
"028","HALDIMAND--NORFOLK","127","U","HAGERSVILLE","70","2","23","1","28","0","1","0","125","294","Hagersville Arena - Almas Room"
"028","HALDIMAND--NORFOLK","128","U","TOWNSEND","82","0","18","2","35","0","0","0","137","279","Parkview Meadows Village"
"028","HALDIMAND--NORFOLK","129","U","TOWNSEND","117","1","26","2","19","0","0","0","165","305","Parkview Meadows Village"
"028","HALDIMAND--NORFOLK","130","U","JARVIS","119","0","22","1","41","0","0","0","183","338","Jarvis Lions Community Centre"
"028","HALDIMAND--NORFOLK","131","U","JARVIS","121","2","19","3","42","1","0","0","188","392","Jarvis Lions Community Centre"
"028","HALDIMAND--NORFOLK","132","U","JARVIS","106","3","11","0","22","0","0","0","142","282","Jarvis Lions Community Centre"
"028","HALDIMAND--NORFOLK","133","U","JARVIS","92","1","20","2","27","1","0","0","143","293","Jarvis Lions Community Centre"
"028","HALDIMAND--NORFOLK","134","U","SELKIRK","165","2","30","1","64","2","0","0","264","484","Selkirk Baptist Church"
"028","HALDIMAND--NORFOLK","135","U","FISHERVILLE","117","2","18","0","26","1","0","0","164","311","Fisherville Lions Community Centre"
"028","HALDIMAND--NORFOLK","136","U","JARVIS","151","3","19","0","33","1","0","0","207","335","Jarvis Lions Community Centre"
"028","HALDIMAND--NORFOLK","137","U","JARVIS","116","4","18","0","23","0","0","0","161","306","Jarvis Lions Community Centre"
"028","HALDIMAND--NORFOLK","138","U","HAGERSVILLE","126","8","31","1","51","1","0","0","218","485","Hagersville Arena - Almas Room"
"028","HALDIMAND--NORFOLK","139","U","HAGERSVILLE","53","4","23","0","32","0","0","0","112","276","Royal Canadian Legion Branch 164"
"028","HALDIMAND--NORFOLK","140","U","HAGERSVILLE","114","5","42","1","27","0","0","0","189","344","Royal Canadian Legion Branch 164"
"028","HALDIMAND--NORFOLK","141","U","HAGERSVILLE","44","0","5","0","22","1","0","0","72","219","Royal Canadian Legion Branch 164"
"028","HALDIMAND--NORFOLK","142","U","HAGERSVILLE","137","4","25","0","51","0","0","0","217","429","Royal Canadian Legion Branch 164"
"028","HALDIMAND--NORFOLK","143","U","HAGERSVILLE","111","2","34","1","35","1","0","0","184","351","Hagersville Arena - Almas Room"
"028","HALDIMAND--NORFOLK","144","U","FISHERVILLE","161","7","28","0","27","0","0","0","223","428","Fisherville Lions Community Centre"
"028","HALDIMAND--NORFOLK","145","U","SELKIRK","103","0","15","0","29","1","0","0","148","301","Selkirk Baptist Church"
"028","HALDIMAND--NORFOLK","146","U","SELKIRK","135","6","23","0","66","0","0","0","230","478","Selkirk Baptist Church"
"028","HALDIMAND--NORFOLK","147","U","FISHERVILLE","150","4","28","0","70","0","0","0","252","463","Fisherville Lions Community Centre"
"028","HALDIMAND--NORFOLK","148","U","FISHERVILLE","138","4","13","0","38","0","0","0","193","325","Fisherville Lions Community Centre"
"028","HALDIMAND--NORFOLK","149","U","FISHERVILLE","171","4","16","0","33","1","0","0","225","474","Fisherville Lions Community Centre"
"028","HALDIMAND--NORFOLK","150","U","CAYUGA","120","1","22","1","30","0","0","0","174","332","Cayuga Kinsmen Community Centre"
"028","HALDIMAND--NORFOLK","151","U","CALEDONIA","122","5","20","0","26","1","0","0","174","407","Notre Dame School"
"028","HALDIMAND--NORFOLK","152","U","CALEDONIA","108","0","44","2","38","0","1","0","193","408","Notre Dame School"
"028","HALDIMAND--NORFOLK","153","U","CALEDONIA","100","3","27","1","41","0","0","0","172","362","Notre Dame School"
"028","HALDIMAND--NORFOLK","154","U","CALEDONIA","92","1","29","3","35","0","0","0","160","439","Caledonia Old Arena"
"028","HALDIMAND--NORFOLK","155","U","CALEDONIA","82","4","25","2","38","4","0","0","155","385","Caledonia Old Arena"
"028","HALDIMAND--NORFOLK","156","U","CALEDONIA","128","7","33","0","59","3","0","0","230","448","Notre Dame School"
"028","HALDIMAND--NORFOLK","157","U","CALEDONIA","95","3","27","0","23","0","0","0","148","352","Notre Dame School"
"028","HALDIMAND--NORFOLK","158","U","CALEDONIA","104","4","16","1","45","0","0","0","170","357","Notre Dame School"
"028","HALDIMAND--NORFOLK","159","U","CALEDONIA","72","3","19","1","41","0","0","0","136","371","Caledonia Old Arena"
"028","HALDIMAND--NORFOLK","160","U","CALEDONIA","80","2","40","0","54","0","0","0","176","423","Caledonia Old Arena"
"028","HALDIMAND--NORFOLK","161","U","CALEDONIA","85","7","27","0","54","1","0","0","174","447","Caledonia Old Arena"
"028","HALDIMAND--NORFOLK","162","U","CALEDONIA","70","3","24","1","39","1","0","0","138","330","Haldimand County Caledonia Centre-Remax"
"028","HALDIMAND--NORFOLK","163","U","CALEDONIA","93","3","15","3","25","0","0","0","139","380","Haldimand County Caledonia Centre-Remax"
"028","HALDIMAND--NORFOLK","164","U","CALEDONIA","95","1","23","1","36","1","0","0","157","411","Haldimand County Caledonia Centre-Remax"
"028","HALDIMAND--NORFOLK","165","U","CALEDONIA","106","0","43","1","37","1","1","0","189","453","Haldimand County Caledonia Centre-Remax"
"028","HALDIMAND--NORFOLK","166","U","CALEDONIA","98","2","34","1","33","0","0","0","168","388","Haldimand County Caledonia Centre-Remax"
"028","HALDIMAND--NORFOLK","167","U","CALEDONIA","97","3","34","1","30","0","0","0","165","363","Haldimand County Caledonia Centre-Remax"
"028","HALDIMAND--NORFOLK","168","U","CALEDONIA","81","2","46","0","28","1","0","0","158","380","Caledonia Old Arena"
"028","HALDIMAND--NORFOLK","169","U","CALEDONIA","72","6","38","0","44","0","0","0","160","414","Caledonia Old Arena"
"028","HALDIMAND--NORFOLK","170","U","CALEDONIA","105","4","21","1","39","0","0","0","170","381","Caledonia Old Arena"
"028","HALDIMAND--NORFOLK","171","U","CALEDONIA","92","5","37","0","36","0","0","0","170","347","Caledonia Old Arena"
"028","HALDIMAND--NORFOLK","172","U","CALEDONIA","105","8","49","0","47","0","0","0","209","400","Haldimand County Caledonia Centre-Remax"
"028","HALDIMAND--NORFOLK","173","U","CALEDONIA","102","1","44","0","31","0","0","0","178","389","Haldimand County Caledonia Centre-Remax"
"028","HALDIMAND--NORFOLK","174","U","YORK","73","3","27","1","31","1","0","0","136","285","Seneca Central Public School"
"028","HALDIMAND--NORFOLK","175","U","YORK","120","10","35","4","41","0","0","0","210","436","Seneca Central Public School"
"028","HALDIMAND--NORFOLK","176","U","CAYUGA","70","3","14","0","22","0","0","1","110","279","Cayuga Kinsmen Community Centre"
"028","HALDIMAND--NORFOLK","177","U","CAYUGA","68","8","24","0","32","1","0","0","133","305","Cayuga Kinsmen Community Centre"
"028","HALDIMAND--NORFOLK","178","U","CAYUGA","85","9","21","1","41","0","0","0","157","369","Cayuga Kinsmen Community Centre"
"028","HALDIMAND--NORFOLK","179","U","CAYUGA","137","3","31","0","51","1","1","1","225","452","Cayuga Kinsmen Community Centre"
"028","HALDIMAND--NORFOLK","180","U","CAYUGA","69","2","18","2","27","1","0","0","119","264","Cayuga Kinsmen Community Centre"
"028","HALDIMAND--NORFOLK","181","U","CAYUGA","145","4","41","0","47","1","1","0","239","561","Cayuga Kinsmen Community Centre"
"028","HALDIMAND--NORFOLK","182","U","FISHERVILLE","144","2","31","2","32","1","0","0","212","444","Fisherville Lions Community Centre"
"028","HALDIMAND--NORFOLK","183","U","DUNNVILLE","126","4","26","0","29","0","0","0","185","366","South Cayuga Community Church"
"028","HALDIMAND--NORFOLK","184","U","DUNNVILLE","102","2","17","1","41","0","0","0","163","287","South Cayuga Community Church"
"028","HALDIMAND--NORFOLK","185","U","DUNNVILLE","187","4","28","3","49","0","1","0","272","555","South Cayuga Community Church"
"028","HALDIMAND--NORFOLK","186","U","DUNNVILLE","106","6","24","0","27","0","0","0","163","341","Grandview Lodge - Gym"
"028","HALDIMAND--NORFOLK","187","U","CANFIELD","100","5","31","0","37","0","1","0","174","409","Canborough Community Centre"
"028","HALDIMAND--NORFOLK","188","U","YORK","119","6","30","3","60","0","0","0","218","450","Seneca Central Public School"
"028","HALDIMAND--NORFOLK","189","U","CANFIELD","129","3","16","5","30","0","0","0","183","316","Canborough Community Centre"
"028","HALDIMAND--NORFOLK","190","U","CANFIELD","164","5","14","1","29","0","0","0","213","443","Canborough Community Centre"
"028","HALDIMAND--NORFOLK","191","U","CANFIELD","117","3","9","3","27","0","0","0","159","446","Canborough Community Centre"
"028","HALDIMAND--NORFOLK","192","U","DUNNVILLE","139","3","20","6","31","0","0","0","199","344","Dunnville Canadian Reformed Church"
"028","HALDIMAND--NORFOLK","193","U","DUNNVILLE","94","6","18","0","27","0","0","0","145","305","Dunnville Canadian Reformed Church"
"028","HALDIMAND--NORFOLK","194","U","DUNNVILLE","98","0","50","1","42","1","0","0","192","397","Fairview Avenue Public School"
"028","HALDIMAND--NORFOLK","195","U","DUNNVILLE","72","3","15","6","28","0","0","0","124","335","Grandview Lodge - Gym"
"028","HALDIMAND--NORFOLK","196","U","DUNNVILLE","50","5","29","1","25","0","0","0","110","303","Grandview Lodge - Gym"
"028","HALDIMAND--NORFOLK","197","U","DUNNVILLE","116","1","28","0","40","0","0","0","185","353","Fairview Avenue Public School"
"028","HALDIMAND--NORFOLK","198","U","DUNNVILLE","71","4","18","0","24","0","0","0","117","299","Grandview Lodge - Gym"
"028","HALDIMAND--NORFOLK","199","U","DUNNVILLE","88","2","24","3","50","0","0","0","167","512","Grandview Lodge - Gym"
"028","HALDIMAND--NORFOLK","200","U","DUNNVILLE","65","5","19","0","37","0","0","0","126","380","Dunnville Canadian Reformed Church"
"028","HALDIMAND--NORFOLK","201","U","DUNNVILLE","82","4","19","3","28","1","0","0","137","381","Grandview Lodge - Gym"
"028","HALDIMAND--NORFOLK","202","U","DUNNVILLE","59","1","14","1","30","1","0","0","106","275","Grandview Lodge - Gym"
"028","HALDIMAND--NORFOLK","203","U","DUNNVILLE","129","4","16","4","34","2","0","0","189","397","Fairview Avenue Public School"
"028","HALDIMAND--NORFOLK","204","U","DUNNVILLE","109","4","32","0","35","0","0","0","180","313","Fairview Avenue Public School"
"028","HALDIMAND--NORFOLK","205","U","DUNNVILLE","96","0","13","1","35","0","0","0","145","312","Dunnville Canadian Reformed Church"
"028","HALDIMAND--NORFOLK","206","U","DUNNVILLE","118","3","20","1","36","0","0","0","178","371","Dunnville Canadian Reformed Church"
"028","HALDIMAND--NORFOLK","207","U","DUNNVILLE","57","3","11","0","22","0","0","0","93","309","South Cayuga Community Church"
"028","HALDIMAND--NORFOLK","208","U","LOWBANKS","110","4","11","0","36","1","0","0","162","371","Lowbanks Community Centre"
"028","HALDIMAND--NORFOLK","209","U","LOWBANKS","102","0","21","0","16","0","0","0","139","318","Lowbanks Community Centre"
"028","HALDIMAND--NORFOLK","210","U","LOWBANKS","116","6","36","4","32","1","0","0","195","401","Lowbanks Community Centre"
"028","HALDIMAND--NORFOLK","211","U","LOWBANKS","121","2","27","1","43","1","0","0","195","380","Lowbanks Community Centre"
"028","HALDIMAND--NORFOLK","700","U","SIMCOE","14","2","11","0","4","0","0","0","31","75","Maple Lodge"
"028","HALDIMAND--NORFOLK","701","U","DELHI","29","1","11","0","7","1","1","0","50","127","Delrose Retirement Residence"
"028","HALDIMAND--NORFOLK","702","U","DELHI","..........................NO POLL HELD..........................","","","","","","","","","",""
"028","HALDIMAND--NORFOLK","703","U","SIMCOE",".......................COMBINED WITH POLL 704.......................","","","","","","","","","","Cedarwood Gardens"
"028","HALDIMAND--NORFOLK","704","U","SIMCOE","76","3","28","1","11","0","0","0","119","224","Cedarwood Village Long Term Care"
"028","HALDIMAND--NORFOLK","705","U","SIMCOE","31","1","6","0","6","0","0","0","44","182","Norview Lodge - Meeting Room"
"028","HALDIMAND--NORFOLK","706","U","SIMCOE","..........................NO POLL HELD..........................","","","","","","","","","",""
