"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","COVERDALE","GUNDERMAN SMITH","LANGTON","MATON","MCMEEKIN","MELANSON","SKELLY","WESTERHOFF","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","015","U","CARLISLE","2","0","1","0","58","1","59","12","0","0","0","133","333","Carlisle United Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","016","U","CARLISLE","10","0","2","5","83","0","53","12","0","0","0","165","339","Carlisle United Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","017","U","CARLISLE","4","0","0","2","97","0","71","17","0","0","0","191","427","Carlisle United Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","018","U","WATERDOWN","12","1","2","1","92","0","85","21","0","0","0","214","501","St. Thomas the Apostle Parish Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","019","U","WATERDOWN","4","0","2","0","65","0","55","19","0","0","0","145","331","St. Thomas the Apostle Parish Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","020","U","MILLGROVE","6","0","0","3","71","0","93","42","0","0","0","215","359","Millgrove Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","021","U","WATERDOWN","6","0","2","3","87","0","145","48","3","0","0","294","597","St. Thomas the Apostle Parish Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","022","U","WATERDOWN","5","1","1","2","93","0","115","32","2","1","0","252","467","St. Thomas the Apostle Parish Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","023","U","LYNDEN","7","1","2","3","63","0","103","22","2","0","0","203","373","Lynden Troy United Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","024","U","LYNDEN","3","0","3","3","53","1","116","20","0","0","0","199","344","Lynden Troy United Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","025","U","TROY","14","0","1","0","108","1","166","52","0","0","0","342","608","Beverly Central Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","026","U","TROY","3","0","1","0","62","0","85","24","0","0","0","175","347","Beverly Central Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","027","U","DUNDAS","4","0","1","0","52","0","61","28","2","0","0","148","328","Spencer Valley Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","028","U","DUNDAS","9","0","0","2","70","1","71","41","1","0","0","195","381","Spencer Valley Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","029","U","MILLGROVE","5","0","1","2","54","0","124","37","0","0","1","224","399","Millgrove Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","030","U","DUNDAS","2","3","3","0","53","1","130","40","2","0","0","234","459","Calvin Christian Reformed Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","031A","U","WATERDOWN","6","0","0","0","66","2","97","28","0","0","0","199","450","Allan A. Greenleaf Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","031B","U","WATERDOWN","6","0","1","1","77","0","89","31","0","0","0","205","441","Allan A. Greenleaf Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","032","U","WATERDOWN","10","0","1","1","65","0","87","22","0","0","0","186","389","St. Thomas the Apostle Parish Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","033","U","WATERDOWN","5","0","1","1","116","0","114","31","0","0","0","268","498","Allan A. Greenleaf Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","034","U","WATERDOWN","3","0","1","1","110","0","81","27","1","0","0","224","567","Allan A. Greenleaf Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","035","U","WATERDOWN","7","1","0","0","78","1","84","18","0","0","0","189","416","St. Thomas Catholic Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","036","U","WATERDOWN","2","0","0","1","55","0","59","17","0","0","0","134","365","St. Thomas Catholic Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","037","U","WATERDOWN","9","0","0","0","68","1","62","27","0","0","0","167","357","Allan A. Greenleaf Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","038","U","WATERDOWN","8","0","3","0","104","0","78","41","1","0","0","235","547","Allan A. Greenleaf Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","039","U","WATERDOWN","9","0","2","0","89","1","87","28","4","0","0","220","491","Allan A. Greenleaf Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","040","U","WATERDOWN","2","0","0","2","61","0","71","23","0","0","0","159","382","The Royal Canadian Legion"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","041","U","WATERDOWN","5","0","0","0","102","1","82","29","0","0","0","219","453","The Royal Canadian Legion"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","042","U","WATERDOWN","4","0","2","1","83","0","78","25","0","0","0","193","423","The Royal Canadian Legion"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","043","U","WATERDOWN","8","1","0","0","108","0","70","33","0","0","0","220","482","St. Thomas Catholic Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","044","U","WATERDOWN","11","1","1","1","72","0","75","53","2","0","0","216","526","Knox Presbyterian Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","045","U","WATERDOWN","9","1","1","4","64","2","78","34","0","0","0","193","460","The Royal Canadian Legion"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","046","U","WATERDOWN","10","2","2","0","79","1","51","32","0","0","0","177","470","Knox Presbyterian Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","047","U","WATERDOWN","10","1","3","2","63","0","47","30","3","0","0","159","395","St. Thomas Catholic Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","048","U","WATERDOWN","10","1","5","0","80","1","77","42","0","0","0","216","399","Knox Presbyterian Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","049","U","WATERDOWN","5","0","0","3","68","0","61","28","0","0","1","166","358","Knox Presbyterian Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","050","U","WATERDOWN","3","0","0","2","86","0","60","21","0","0","0","172","363","St. Thomas Catholic Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","051","U","WATERDOWN","7","0","0","3","101","0","103","42","0","0","0","256","570","Bethel Christian Reformed Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","052","U","WATERDOWN","11","0","0","2","64","0","81","21","0","0","1","180","429","Bethel Christian Reformed Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","053","U","WATERDOWN","4","0","3","0","77","0","65","41","0","0","1","191","444","Bethel Christian Reformed Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","054A","U","WATERDOWN","7","0","2","0","51","0","62","17","0","0","0","139","319","Bethel Christian Reformed Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","054B","U","WATERDOWN","4","0","4","0","57","0","76","13","0","0","0","154","334","Bethel Christian Reformed Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","055","U","WATERDOWN","8","1","6","0","88","0","97","35","0","2","0","237","567","Bethel Christian Reformed Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","056","U","LYNDEN","10","0","0","7","99","0","125","47","0","0","0","288","586","Lynden Troy United Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","057","U","COPETOWN","12","0","3","1","102","2","123","57","1","0","0","301","609","Copetown and District Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","058","U","COPETOWN","5","0","0","0","77","1","78","37","1","0","0","199","452","Copetown and District Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","059A","U","COPETOWN","3","1","0","1","55","0","36","30","0","0","0","126","310","Copetown and District Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","059B","U","COPETOWN","2","1","0","0","62","0","53","15","0","0","0","133","347","Copetown and District Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","060","U","DUNDAS","4","0","1","2","89","0","99","37","0","0","0","232","428","Spencer Valley Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","061","U","DUNDAS","3","1","0","2","65","0","57","25","0","0","0","153","312","Calvin Christian Reformed Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","062","U","DUNDAS","4","0","4","2","72","1","85","29","0","0","0","197","370","Calvin Christian Reformed Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","063","U","DUNDAS","14","0","0","2","64","1","47","30","0","0","0","158","296","Nigel Charlong Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","064","U","DUNDAS","9","0","0","0","107","0","77","23","1","0","0","217","369","Spencer Valley Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","065","U","DUNDAS","9","1","1","1","99","1","94","28","0","0","0","234","388","Spencer Valley Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","066","U","DUNDAS","5","1","0","2","117","1","102","38","1","1","0","268","520","Sir William Osler Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","067","U","DUNDAS","4","1","0","0","108","1","67","28","1","0","0","210","429","Sir William Osler Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","068","U","DUNDAS","2","4","0","1","114","1","72","40","0","0","0","234","508","Sir William Osler Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","069","U","DUNDAS","3","0","0","1","44","1","32","20","0","0","0","101","265","Sir William Osler Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","070","U","DUNDAS","2","0","0","3","64","0","62","12","0","0","0","143","323","Sir William Osler Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","071","U","DUNDAS","12","1","1","0","147","0","67","29","0","0","0","257","484","Sir William Osler Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","072","U","DUNDAS","3","0","1","4","105","0","56","28","0","0","0","197","438","St. Bernadette Catholic Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","073","U","DUNDAS","6","1","1","1","103","0","75","32","0","0","0","219","440","St. Bernadette Catholic Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","074","U","DUNDAS","10","0","0","0","104","2","77","47","0","0","0","240","473","Dundana Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","075","U","DUNDAS","1","0","0","0","114","0","62","49","1","0","0","227","435","Dundana Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","076","U","DUNDAS","5","0","0","0","113","0","65","21","0","0","0","204","410","Dundana Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","077","U","DUNDAS","7","0","3","0","104","0","56","27","0","0","0","197","380","Dundana Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","078","U","DUNDAS","2","0","1","0","80","0","36","49","0","0","0","168","338","Dundana Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","079","U","DUNDAS","6","1","0","0","83","0","31","31","0","0","0","152","345","St. Bernadette Catholic Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","080","U","DUNDAS","2","0","0","0","63","0","37","36","0","0","0","138","280","St. Bernadette Catholic Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","081A","U","DUNDAS","4","1","1","2","52","0","23","23","1","0","0","107","296","St. Bernadette Catholic Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","081B","U","DUNDAS","6","0","1","0","48","0","31","24","0","0","0","110","282","St. Bernadette Catholic Elementary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","082","U","DUNDAS","15","1","0","2","102","2","62","60","0","0","0","244","506","Dundas Lions Memorial Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","083","U","DUNDAS","8","0","2","1","82","1","42","55","0","0","0","191","381","Dundas Lions Memorial Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","084","U","DUNDAS","11","1","1","0","57","0","44","63","1","1","0","179","392","Dundas Lions Memorial Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","085","U","DUNDAS","4","1","0","4","108","1","25","35","1","0","1","180","391","Dundas Lions Memorial Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","086","U","DUNDAS","12","0","0","0","127","0","46","61","0","0","0","246","415","Parkside High School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","087","U","DUNDAS","9","0","2","0","114","0","51","33","0","0","0","209","378","Parkside High School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","088","U","DUNDAS","9","0","2","2","131","0","49","36","0","0","0","229","488","Parkside High School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","089","U","DUNDAS","6","0","1","1","80","1","51","62","0","0","0","202","628","Parkside High School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","090","U","DUNDAS","3","0","0","0","45","0","16","37","0","0","0","101","305","Dundas Lions Memorial Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","091","U","DUNDAS","12","0","0","1","105","0","65","39","0","0","0","222","505","Dundas Baptist Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","092","U","DUNDAS","4","0","2","0","61","0","27","35","0","0","0","129","399","Dundas Baptist Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","093","U","DUNDAS","11","0","0","3","116","0","77","53","0","0","0","260","461","Dundas Baptist Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","094","U","DUNDAS","11","0","1","0","126","0","73","41","0","1","0","253","503","Dundas Baptist Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","095","U","HAMILTON","9","2","1","1","55","0","54","38","1","0","0","161","412","St. Mary Catholic Secondary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","096","U","DUNDAS","9","0","1","2","107","1","55","50","0","0","0","225","432","Yorkview Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","097","U","DUNDAS","15","1","1","2","76","0","50","65","0","0","0","210","432","Yorkview Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","098","U","DUNDAS","9","0","1","0","62","1","56","51","0","0","0","180","556","Dundas Baptist Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","099","U","HAMILTON","2","0","3","0","52","1","38","30","0","1","0","127","381","Binkley United Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","100","U","HAMILTON","4","0","0","0","90","1","38","44","0","0","0","177","403","Binkley United Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","101","U","HAMILTON","9","0","0","0","65","0","42","46","1","0","0","163","358","Binkley United Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","102","U","HAMILTON","7","1","2","0","114","0","32","40","2","0","0","198","420","Binkley United Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","103","U","HAMILTON","12","1","0","2","76","0","37","39","0","0","0","167","426","St. Mary Catholic Secondary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","104","U","HAMILTON","13","1","1","0","67","1","35","51","0","1","0","170","462","St. Mary Catholic Secondary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","105","U","HAMILTON","5","0","2","0","74","0","45","40","0","0","0","166","363","St. Mary Catholic Secondary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","106","U","HAMILTON","4","0","0","5","83","1","53","46","0","0","1","193","347","St. Mary Catholic Secondary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","107","U","HAMILTON","6","0","0","1","74","0","28","52","2","1","0","164","397","Church of God"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","108","U","HAMILTON","4","0","1","1","68","0","55","42","0","0","0","171","420","Church of God"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","109","U","HAMILTON","5","1","1","2","50","0","32","30","0","1","0","122","310","Church of God"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","110","U","HAMILTON","5","1","1","1","83","0","30","56","0","0","0","177","421","Binkley United Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","111","U","HAMILTON","5","0","0","0","60","0","30","26","0","0","0","121","315","Church of God"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","112","U","HAMILTON","3","0","0","0","56","1","28","37","1","0","0","126","315","Church of God"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","113","U","HAMILTON","6","1","2","0","48","1","11","30","0","0","0","99","239","Dalewood Recreation Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","114","U","HAMILTON","7","0","2","1","137","0","61","28","0","1","0","237","458","Dalewood Recreation Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","115","U","HAMILTON","8","1","0","1","124","1","23","53","0","1","0","212","476","Dalewood Recreation Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","116","U","HAMILTON","11","1","3","0","93","1","33","42","0","0","0","184","406","Dalewood Recreation Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","117","U","HAMILTON","9","0","1","0","120","0","19","43","0","0","0","192","407","Dalewood Recreation Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","118","U","HAMILTON","8","0","1","0","94","0","22","43","0","0","0","168","340","Dalewood Recreation Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","119","U","HAMILTON","1","0","1","0","21","1","7","9","0","0","0","40","110","St. Cuthbert's Presbyterian Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","120","U","HAMILTON","2","0","0","0","56","0","24","44","2","0","0","128","269","St. Cuthbert's Presbyterian Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","121","U","HAMILTON","21","0","0","1","111","0","41","79","1","1","1","256","484","St. Cuthbert's Presbyterian Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","122","U","HAMILTON","11","0","0","0","116","1","36","71","0","0","1","236","420","St. Cuthbert's Presbyterian Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","123","U","HAMILTON","4","0","1","2","117","1","48","60","1","2","0","236","432","St. Cuthbert's Presbyterian Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","124","U","DUNDAS","6","0","1","0","59","0","67","29","0","0","0","162","329","Nigel Charlong Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","125","U","DUNDAS","5","0","0","0","106","1","54","23","0","0","0","189","444","Yorkview Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","126","U","DUNDAS","8","1","0","0","143","1","58","34","1","0","0","246","462","Yorkview Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","127","U","DUNDAS","8","0","3","0","64","1","60","59","0","0","0","195","369","Yorkview Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","128","U","LYNDEN","5","1","0","2","65","0","111","31","0","0","1","216","410","Lynden Troy United Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","129","U","ALBERTON","2","0","0","0","81","0","104","40","1","0","0","228","389","Ancaster Senior Achievement Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","130","U","COPETOWN","3","0","1","2","63","0","118","33","0","0","0","220","448","Copetown and District Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","131","U","ANCASTER","3","0","2","1","87","0","83","13","0","0","0","189","395","Ancaster High School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","132","U","COPETOWN","13","0","0","1","96","0","66","31","0","0","0","207","429","Copetown and District Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","133","U","ANCASTER","9","0","2","5","102","0","85","36","0","0","0","239","507","Ancaster Old Town Hall"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","134","U","ALBERTON","8","0","1","5","77","0","117","26","0","0","0","234","426","Ancaster Senior Achievement Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","135","U","ANCASTER","4","0","0","4","68","0","147","28","0","1","1","253","452","St. Paul's Presbyterian Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","136","U","ANCASTER","3","0","0","0","38","0","99","16","0","0","2","158","362","St. Paul's Presbyterian Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","137A","U","ANCASTER","7","0","1","1","67","1","33","22","0","0","0","132","311","Bishop Tonnos Catholic Secondary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","137B","U","ANCASTER","2","0","0","0","60","1","48","24","0","0","0","135","346","Bishop Tonnos Catholic Secondary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","138","U","ANCASTER","8","0","2","1","129","0","86","33","0","1","0","260","534","Ancaster High School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","139","U","ANCASTER","3","0","0","1","131","0","84","47","0","0","0","266","560","Ancaster High School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","140","U","ANCASTER","7","0","0","0","77","1","39","24","0","0","0","148","322","Ancaster High School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","141","U","ANCASTER","3","0","1","2","142","1","97","36","0","0","0","282","515","Ancaster High School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","142","U","ANCASTER","5","1","0","2","93","0","71","35","0","0","0","207","413","Morgan Firestone Arena and Rotary Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","143","U","ANCASTER","6","0","0","5","124","0","98","38","2","0","1","274","542","Ancaster Senior Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","144","U","ANCASTER","7","1","1","0","125","0","98","43","0","0","0","275","520","Ancaster Senior Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","145A","U","ANCASTER","3","2","1","0","58","1","52","18","0","1","0","136","309","Bishop Tonnos Catholic Secondary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","145B","U","ANCASTER","6","2","1","2","57","1","65","29","0","1","0","164","305","Bishop Tonnos Catholic Secondary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","146","U","ANCASTER","9","1","0","0","120","0","97","45","2","0","0","274","584","Bishop Tonnos Catholic Secondary School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","147","U","ANCASTER","4","0","1","1","114","0","75","57","0","0","0","252","496","Ancaster Senior Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","148","U","ANCASTER","3","0","0","1","128","0","104","51","0","1","0","288","526","Ancaster Senior Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","149","U","ANCASTER","1","0","1","1","81","1","83","35","0","0","0","203","320","Marshall Memorial United Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","150","U","ANCASTER","4","1","1","0","90","0","79","26","0","0","0","201","449","Ancaster High School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","151","U","ANCASTER","3","0","0","1","96","0","85","28","0","0","0","213","425","Morgan Firestone Arena and Rotary Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","152","U","ANCASTER","7","0","1","0","79","1","72","23","1","0","0","184","335","Morgan Firestone Arena and Rotary Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","153","U","ANCASTER","5","3","2","6","99","0","64","16","2","0","0","197","418","Morgan Firestone Arena and Rotary Centre"
