"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BENTLEY","BROWN","BUCHANAN","CHAHBAR","GUPTA","HODGES","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"045","LONDON WEST","039","U","LONDON","71","5","38","45","0","0","0","1","0","160","399","West London Alliance Church"
"045","LONDON WEST","040","U","LONDON","40","6","50","61","0","1","0","3","0","161","386","West London Alliance Church"
"045","LONDON WEST","041","U","LONDON","39","7","45","21","0","1","1","0","0","114","367","West London Alliance Church"
"045","LONDON WEST","042","U","LONDON","103","1","26","65","1","1","0","0","0","197","438","Oakridge Presbyterian Church"
"045","LONDON WEST","043","U","LONDON","115","3","25","33","0","1","0","0","0","177","393","Clara Brenton Public School"
"045","LONDON WEST","044","U","LONDON","100","2","27","44","0","2","0","1","0","176","385","Clara Brenton Public School"
"045","LONDON WEST","045","U","LONDON","128","3","24","58","0","1","0","0","0","214","395","Clara Brenton Public School"
"045","LONDON WEST","046","U","LONDON","30","2","30","21","0","0","1","0","0","84","262","Clara Brenton Public School"
"045","LONDON WEST","047","U","LONDON","106","1","33","49","1","0","0","0","0","190","364","Clara Brenton Public School"
"045","LONDON WEST","048","U","LONDON","124","4","32","74","0","1","0","0","0","235","415","Greek Canadian Community Centre"
"045","LONDON WEST","049","U","LONDON","85","3","22","62","0","0","0","0","0","172","373","Greek Canadian Community Centre"
"045","LONDON WEST","050","U","LONDON","71","3","10","85","0","0","0","0","1","170","356","Greek Canadian Community Centre"
"045","LONDON WEST","051","U","LONDON","84","7","16","89","0","4","0","0","1","201","410","Clara Brenton Public School"
"045","LONDON WEST","052","U","LONDON","62","5","17","116","0","1","0","0","2","203","335","Clara Brenton Public School"
"045","LONDON WEST","053","U","LONDON","78","1","16","64","0","0","0","0","0","159","299","St. Aidans Anglican Church"
"045","LONDON WEST","054","U","LONDON","74","5","25","40","0","0","1","2","0","147","320","Clara Brenton Public School"
"045","LONDON WEST","055","U","LONDON","114","7","40","63","0","2","2","2","0","230","392","John Dearness Public School"
"045","LONDON WEST","056","U","LONDON","103","8","35","69","0","0","0","0","0","215","393","St. Aidans Anglican Church"
"045","LONDON WEST","057","U","LONDON","36","3","13","23","0","1","0","0","0","76","197","St. Aidans Anglican Church"
"045","LONDON WEST","058","U","LONDON","108","4","10","84","0","0","0","1","0","207","432","John Dearness Public School"
"045","LONDON WEST","059","U","LONDON","88","5","19","119","0","0","0","0","0","231","442","John Dearness Public School"
"045","LONDON WEST","060","U","LONDON","111","6","10","95","1","0","0","0","1","224","439","John Dearness Public School"
"045","LONDON WEST","061","U","LONDON","99","6","20","67","0","0","0","2","0","194","379","Riverside United Church"
"045","LONDON WEST","062","U","LONDON","92","10","23","80","0","2","1","0","0","208","387","Riverside United Church"
"045","LONDON WEST","063","U","LONDON","107","5","33","46","0","3","1","2","0","197","403","Holy Family Parish"
"045","LONDON WEST","064","U","LONDON","81","0","17","60","0","0","0","0","0","158","301","Oakridge Presbyterian Church"
"045","LONDON WEST","065","U","LONDON","56","5","39","15","1","0","0","0","0","116","468","Oakridge Presbyterian Church"
"045","LONDON WEST","066","U","LONDON","88","2","42","61","1","0","0","1","0","195","399","Oakridge Presbyterian Church"
"045","LONDON WEST","067","U","LONDON","114","8","33","71","0","0","0","1","0","227","388","Holy Family Parish"
"045","LONDON WEST","068","U","LONDON","106","7","39","70","2","0","0","0","0","224","387","Holy Family Parish"
"045","LONDON WEST","069","U","LONDON","105","3","48","57","0","1","0","0","0","214","395","Oakridge Presbyterian Church"
"045","LONDON WEST","070","U","LONDON","100","5","43","76","0","2","0","0","2","228","423","Holy Family Parish"
"045","LONDON WEST","071","U","LONDON","83","4","35","62","0","0","1","0","0","185","337","Riverside United Church"
"045","LONDON WEST","072","U","LONDON","86","7","47","57","1","1","0","0","1","200","348","Riverside United Church"
"045","LONDON WEST","073","U","LONDON","89","2","41","82","0","1","1","0","0","216","413","Holy Family Parish"
"045","LONDON WEST","074","U","LONDON","83","6","36","69","0","1","0","0","0","195","435","Oakridge Presbyterian Church"
"045","LONDON WEST","075","U","LONDON","63","2","25","47","0","0","0","0","0","137","276","Riverside United Church"
"045","LONDON WEST","076","U","LONDON","36","0","20","22","0","2","0","0","0","80","338","Kinsmen Recreation Centre"
"045","LONDON WEST","077","U","LONDON","54","3","26","21","0","1","0","0","0","105","397","Oakridge Presbyterian Church"
"045","LONDON WEST","078","U","LONDON","83","3","61","42","0","0","0","0","0","189","506","Proudfoot Place"
"045","LONDON WEST","079","U","LONDON","58","1","20","16","0","2","1","0","0","98","325","London Christian Academy"
"045","LONDON WEST","080","U","LONDON","42","1","34","7","0","1","0","0","0","85","444","Kinsmen Recreation Centre"
"045","LONDON WEST","081","U","LONDON","121","8","52","31","0","0","0","0","0","212","481","London Christian Academy"
"045","LONDON WEST","082","U","LONDON","95","8","71","26","0","5","4","1","0","210","508","Oxford Adult and Seniors Apartments"
"045","LONDON WEST","083","U","LONDON","48","4","45","32","0","0","0","1","0","130","380","London Christian Academy"
"045","LONDON WEST","084","U","LONDON","81","8","52","34","0","3","0","0","0","178","437","London Christian Academy"
"045","LONDON WEST","085","U","LONDON","60","9","88","31","0","3","8","0","0","199","494","London Christian Academy"
"045","LONDON WEST","086","U","LONDON","59","6","70","24","1","6","0","0","0","166","447","London Christian Academy"
"045","LONDON WEST","087","U","LONDON","78","14","58","20","0","1","0","0","0","171","407","St. James Westminster Anglican Church"
"045","LONDON WEST","088","U","LONDON","98","7","56","20","0","1","0","0","0","182","405","Tecumseh Public School"
"045","LONDON WEST","089","U","LONDON","80","5","42","76","0","0","1","3","0","207","312","The Gartshore"
"045","LONDON WEST","090","U","LONDON","44","5","43","14","0","0","2","0","0","108","211","Trafalgar Terrace"
"045","LONDON WEST","091","U","LONDON","47","4","46","11","0","1","0","0","0","109","310","Tecumseh Public School"
"045","LONDON WEST","092","U","LONDON","130","3","31","17","0","1","0","0","0","182","317","Tecumseh Public School"
"045","LONDON WEST","093","U","LONDON","37","8","30","18","1","1","0","0","0","95","332","Tecumseh Public School"
"045","LONDON WEST","094","U","LONDON","37","7","39","15","0","2","0","0","0","100","239","Redeemer Lutheran Church"
"045","LONDON WEST","095","U","LONDON","40","4","53","19","0","3","0","0","0","119","290","Redeemer Lutheran Church"
"045","LONDON WEST","096","U","LONDON","58","6","42","24","0","1","1","0","0","132","267","St. Andrew Memorial Church"
"045","LONDON WEST","097","U","LONDON","72","5","44","29","0","0","0","1","0","151","283","Redeemer Lutheran Church"
"045","LONDON WEST","098","U","LONDON","116","5","29","19","0","2","0","0","0","171","331","Redeemer Lutheran Church"
"045","LONDON WEST","099","U","LONDON","65","3","34","23","0","2","0","0","0","127","257","Calvary United Church"
"045","LONDON WEST","100","U","LONDON","112","7","46","23","1","2","1","0","0","192","333","Calvary United Church"
"045","LONDON WEST","101","U","LONDON","100","4","30","23","0","0","1","0","1","159","291","Mountsfield Public School"
"045","LONDON WEST","102","U","LONDON","51","7","44","28","0","1","0","0","0","131","286","St. Andrew Memorial Church"
"045","LONDON WEST","103","U","LONDON","68","3","46","24","0","1","0","0","0","142","402","St. Andrew Memorial Church"
"045","LONDON WEST","104","U","LONDON","43","5","61","38","1","0","0","0","0","148","413","Roseland Ammenities Centre"
"045","LONDON WEST","105","U","LONDON","39","3","44","28","0","1","1","0","0","116","408","St. Andrew Memorial Church"
"045","LONDON WEST","106","U","LONDON","38","2","47","21","0","1","0","0","0","109","286","St. Andrew Memorial Church"
"045","LONDON WEST","107","U","LONDON","130","5","38","59","1","2","1","0","0","236","445","Mountsfield Public School"
"045","LONDON WEST","108","U","LONDON","84","6","47","25","1","0","0","0","1","164","377","Mountsfield Public School"
"045","LONDON WEST","109","U","LONDON","68","7","58","35","0","2","0","0","1","171","299","Calvary United Church"
"045","LONDON WEST","110","U","LONDON","108","6","37","39","0","4","0","0","1","195","340","Calvary United Church"
"045","LONDON WEST","111","U","LONDON","99","15","78","27","0","3","0","0","0","222","427","Elmwood Avenue Presbyterian Church"
"045","LONDON WEST","112","U","LONDON","57","3","45","15","0","1","1","0","0","122","244","Trafalgar Terrace"
"045","LONDON WEST","113","U","LONDON","99","8","68","45","0","4","0","0","1","225","451","St. James Westminster Anglican Church"
"045","LONDON WEST","114","U","LONDON","104","13","58","29","0","3","0","0","0","207","409","St. James Westminster Anglican Church"
"045","LONDON WEST","115","U","LONDON","78","9","56","29","0","0","0","0","0","172","367","Elmwood Avenue Presbyterian Church"
"045","LONDON WEST","116","U","LONDON","61","7","47","17","0","1","0","1","0","134","298","St. James Westminster Anglican Church"
"045","LONDON WEST","117","U","LONDON","67","5","58","20","0","0","0","1","1","152","386","Elmwood Avenue Presbyterian Church"
"045","LONDON WEST","118","U","LONDON","94","4","59","19","0","1","0","0","0","177","335","Elmwood Avenue Presbyterian Church"
"045","LONDON WEST","119","U","LONDON","67","5","45","32","0","1","0","0","1","151","301","Hillside Church"
"045","LONDON WEST","120","U","LONDON","102","5","43","20","0","3","1","0","0","174","361","Hillside Church"
"045","LONDON WEST","121","U","LONDON","95","4","65","18","0","1","0","1","0","184","412","Hillside Church"
"045","LONDON WEST","122","U","LONDON","78","8","62","31","0","2","0","0","0","181","373","Hillside Church"
"045","LONDON WEST","123","U","LONDON","146","4","35","56","0","0","0","1","0","242","447","Mountsfield Public School"
"045","LONDON WEST","124","U","LONDON","118","2","34","55","0","0","1","1","0","211","396","Mountsfield Public School"
"045","LONDON WEST","125","U","LONDON","88","3","46","46","0","0","1","1","0","185","480","Hillside Church"
"045","LONDON WEST","126","U","LONDON","70","5","52","27","0","5","0","0","0","159","414","St. James Westminster Anglican Church"
"045","LONDON WEST","127","U","LONDON","35","1","40","29","0","4","0","0","0","109","285","St. Michael and  All Angels Anglican Church"
"045","LONDON WEST","128","U","LONDON","92","9","81","37","0","3","0","0","0","222","492","St. James Westminster Anglican Church"
"045","LONDON WEST","129","U","LONDON","32","8","62","27","0","2","0","0","0","131","419","St. John the Divine Catholic Church"
"045","LONDON WEST","130","U","LONDON","32","3","50","18","0","0","0","0","0","103","345","St. John the Divine Catholic Church"
"045","LONDON WEST","131","U","LONDON","40","1","53","18","0","2","0","0","1","115","383","St. John the Divine Catholic Church"
"045","LONDON WEST","132","U","LONDON","61","2","46","20","0","1","0","1","0","131","356","Baseline Adult and Seniors Apartments"
"045","LONDON WEST","133","U","LONDON","50","5","40","27","0","1","0","0","0","123","263","Packwood Place"
"045","LONDON WEST","134","U","LONDON","99","5","48","59","0","0","1","0","1","213","422","St. John the Divine Catholic Church"
"045","LONDON WEST","135","U","LONDON","57","6","51","35","2","2","0","0","0","153","458","Baseline Adult and Seniors Apartments"
"045","LONDON WEST","136","U","LONDON","55","6","51","37","0","0","0","2","0","151","411","Lgt Family Church"
"045","LONDON WEST","137","U","LONDON","65","2","63","32","1","1","2","0","0","166","280","William Mercer Wilson Centre"
"045","LONDON WEST","138","U","LONDON","31","2","49","18","0","0","0","0","0","100","430","St. John the Divine Catholic Church"
"045","LONDON WEST","139","U","LONDON","73","7","45","45","0","1","0","0","0","171","347","St. John the Divine Catholic Church"
"045","LONDON WEST","140","U","LONDON","109","10","60","88","0","1","0","0","0","268","497","Mount Zion United Church"
"045","LONDON WEST","141","U","LONDON","46","6","29","29","0","0","0","1","0","111","318","Mount Zion United Church"
"045","LONDON WEST","142","U","LONDON","75","7","32","14","0","5","0","0","0","133","286","St. Michael and  All Angels Anglican Church"
"045","LONDON WEST","143","U","LONDON","77","4","58","44","0","1","0","0","0","184","334","St. Michael and  All Angels Anglican Church"
"045","LONDON WEST","144","U","LONDON","70","3","57","29","0","2","2","0","1","164","404","St. Michael and  All Angels Anglican Church"
"045","LONDON WEST","145","U","LONDON","51","10","36","25","0","1","0","0","0","123","361","Civic Garden Complex"
"045","LONDON WEST","146","U","LONDON","46","6","62","38","0","0","1","0","0","153","479","Berkshire Club"
"045","LONDON WEST","147","U","LONDON","48","2","39","34","0","3","0","0","0","126","388","Berkshire Club"
"045","LONDON WEST","148","U","LONDON","88","2","29","52","0","2","0","0","0","173","353","Berkshire Club"
"045","LONDON WEST","149","U","LONDON","92","5","65","54","1","2","0","0","0","219","455","Berkshire Club"
"045","LONDON WEST","150","U","LONDON","47","3","36","57","0","1","0","0","0","144","379","Berkshire Club"
"045","LONDON WEST","151","U","LONDON","52","2","29","46","1","1","2","0","0","133","419","Lgt Family Church"
"045","LONDON WEST","152","U","LONDON","103","3","20","88","0","1","3","0","0","218","414","Civic Garden Complex"
"045","LONDON WEST","153","U","LONDON","88","4","27","60","0","0","2","0","0","181","361","Civic Garden Complex"
"045","LONDON WEST","154","U","LONDON","85","2","17","83","0","1","0","0","0","188","422","Civic Garden Complex"
"045","LONDON WEST","155","U","LONDON","50","5","36","34","0","2","0","1","2","130","357","Andover Gardens"
"045","LONDON WEST","156","U","LONDON","103","7","73","59","0","2","1","3","1","249","559","St. Jude Catholic School"
"045","LONDON WEST","157","U","LONDON","78","5","48","53","0","1","0","0","0","185","434","St. Jude Catholic School"
"045","LONDON WEST","158","U","LONDON","82","0","28","46","0","2","0","0","0","158","337","Lgt Family Church"
"045","LONDON WEST","159","U","LONDON","53","3","66","22","0","0","0","0","0","144","471","The Church of the Londoners"
"045","LONDON WEST","160","U","LONDON","88","4","44","47","0","3","0","1","0","187","404","St. Jude Catholic School"
"045","LONDON WEST","161","U","LONDON","78","3","64","34","2","1","1","0","0","183","445","Windy Woods Co-Operative Homes"
"045","LONDON WEST","162","U","LONDON","61","3","29","25","0","1","2","0","0","121","346","Sir Isaac Brock Public School"
"045","LONDON WEST","163","U","LONDON","48","2","83","49","0","1","1","0","0","184","497","Sir Isaac Brock Public School"
"045","LONDON WEST","164","U","LONDON","104","6","56","49","1","2","2","0","0","220","431","Sir Isaac Brock Public School"
"045","LONDON WEST","165","U","LONDON","84","9","33","44","1","3","0","0","0","174","349","The Church of the Londoners"
"045","LONDON WEST","166","U","LONDON","101","4","51","54","0","2","0","1","0","213","400","The Church of the Londoners"
"045","LONDON WEST","167","U","LONDON","100","4","28","57","1","2","0","0","0","192","441","The Church of the Londoners"
"045","LONDON WEST","168","U","LONDON","94","0","18","44","0","1","0","0","0","157","349","Westview Baptist Church"
"045","LONDON WEST","169","U","LONDON","111","3","27","51","0","0","0","1","0","193","381","The Church of the Londoners"
"045","LONDON WEST","170","U","LONDON","100","3","33","63","0","0","2","1","0","202","403","W. Sherwood Fox Public School"
"045","LONDON WEST","171","U","LONDON","121","1","28","88","0","0","0","0","0","238","459","Lgt Family Church"
"045","LONDON WEST","172","U","LONDON","130","4","32","53","0","2","0","0","0","221","433","W. Sherwood Fox Public School"
"045","LONDON WEST","173","U","LONDON","154","5","62","75","0","5","0","0","0","301","572","W. Sherwood Fox Public School"
"045","LONDON WEST","174","U","LONDON","67","4","31","39","0","0","0","0","0","141","420","W. Sherwood Fox Public School"
"045","LONDON WEST","175","U","LONDON","27","0","24","15","0","2","0","0","0","68","341","Westmount Presbyterian Church"
"045","LONDON WEST","176","U","LONDON","28","1","20","19","0","0","1","1","0","70","326","W. Sherwood Fox Public School"
"045","LONDON WEST","177","U","LONDON","98","1","14","70","0","0","1","1","0","185","384","The Church of the Londoners"
"045","LONDON WEST","178","U","LONDON","91","2","46","87","0","2","0","0","0","228","409","Westview Baptist Church"
"045","LONDON WEST","179","U","LONDON","39","3","57","21","0","3","0","0","0","123","523","Westview Baptist Church"
"045","LONDON WEST","180","U","LONDON","65","2","38","19","0","0","0","0","0","124","435","Westview Baptist Church"
"045","LONDON WEST","181","U","LONDON","90","7","74","48","0","2","0","0","0","221","540","Westview Baptist Church"
"045","LONDON WEST","182","U","LONDON","91","1","40","60","0","6","0","0","0","198","439","Westmount Public School"
"045","LONDON WEST","183","U","LONDON","97","2","38","83","0","2","1","0","0","223","445","Westmount Public School"
"045","LONDON WEST","184","U","LONDON","35","7","44","22","0","2","1","0","0","111","323","Westmount Presbyterian Church"
"045","LONDON WEST","185","U","LONDON","79","1","36","62","2","1","2","0","0","183","373","Westmount Presbyterian Church"
"045","LONDON WEST","186","U","LONDON","92","0","40","54","0","0","1","0","0","187","361","Westmount Presbyterian Church"
"045","LONDON WEST","187","U","LONDON","92","3","24","73","1","1","0","0","0","194","428","Jean Vanier Catholic School"
"045","LONDON WEST","188","U","LONDON","84","3","26","71","0","2","0","0","0","186","436","Southwest Optimist Park"
"045","LONDON WEST","189","U","LONDON","118","5","30","53","0","0","1","0","0","207","458","Jean Vanier Catholic School"
"045","LONDON WEST","190","U","LONDON","88","2","36","52","0","0","0","0","0","178","485","Westmount Public School"
"045","LONDON WEST","191","U","LONDON","118","2","21","79","0","0","0","0","0","220","476","Jean Vanier Catholic School"
"045","LONDON WEST","192","U","LONDON","96","1","22","64","0","1","0","2","0","186","424","Southwest Optimist Park"
"045","LONDON WEST","193","U","LONDON","97","2","22","85","1","0","0","0","0","207","468","Westmount Public School"
"045","LONDON WEST","194","U","LONDON","54","1","21","51","0","1","0","0","0","128","272","Westmount Public School"
"045","LONDON WEST","195","U","LONDON","91","5","43","62","0","1","0","0","1","203","415","St. George Parish"
"045","LONDON WEST","196","U","LONDON","108","1","43","65","0","0","0","0","0","217","453","Byron Somerset Public School"
"045","LONDON WEST","197","U","LONDON","112","3","38","67","1","0","0","0","0","221","419","Byron Somerset Public School"
"045","LONDON WEST","198","U","LONDON","116","0","51","77","4","3","0","0","0","251","465","Byron Somerset Public School"
"045","LONDON WEST","199","U","LONDON","152","5","27","73","1","0","0","0","0","258","499","Byron Somerset Public School"
"045","LONDON WEST","200","U","LONDON","53","1","28","59","0","0","1","1","0","143","359","St. George Parish"
"045","LONDON WEST","201","U","LONDON","79","5","44","46","0","2","0","0","0","176","394","Byron United Church"
"045","LONDON WEST","202","U","LONDON","96","2","31","72","0","2","2","0","0","205","392","Byron United Church"
"045","LONDON WEST","203","U","LONDON","96","3","18","62","0","0","0","1","0","180","380","Byron United Church"
"045","LONDON WEST","204","U","LONDON","127","5","18","64","0","0","2","0","1","217","439","St. Theresa Catholic School"
"045","LONDON WEST","205","U","LONDON","117","3","37","61","0","1","1","2","0","222","437","St. Theresa Catholic School"
"045","LONDON WEST","206","U","LONDON","86","4","39","79","0","2","1","0","0","211","460","Byron United Church"
"045","LONDON WEST","207","U","LONDON","103","1","49","57","1","2","1","0","0","214","462","St. Theresa Catholic School"
"045","LONDON WEST","208","U","LONDON","107","6","39","67","1","0","0","2","0","222","360","St. Theresa Catholic School"
"045","LONDON WEST","209","U","LONDON","142","4","59","105","0","3","0","2","0","315","537","St. Theresa Catholic School"
"045","LONDON WEST","210","U","LONDON","114","1","41","61","1","0","0","0","0","218","531","Byron United Church"
"045","LONDON WEST","211","U","LONDON","122","5","8","98","0","4","0","0","0","237","443","Byron Community Church"
"045","LONDON WEST","212","U","LONDON","96","3","48","77","1","2","0","0","0","227","411","Byron Community Church"
"045","LONDON WEST","213","U","LONDON","95","9","52","76","0","1","2","1","0","236","393","Byron Optimist Recreation Centre"
"045","LONDON WEST","214","U","LONDON","87","4","37","53","0","2","2","0","0","185","403","Byron Optimist Recreation Centre"
"045","LONDON WEST","215","U","LONDON","84","3","48","47","0","1","0","0","0","183","343","St. George Parish"
"045","LONDON WEST","216","U","LONDON","53","3","41","49","0","0","0","0","0","146","332","Byron Memorial Library"
"045","LONDON WEST","217","U","LONDON","71","1","30","41","0","1","0","0","0","144","312","St. Annes Anglican Church"
"045","LONDON WEST","218","U","LONDON","87","2","48","65","0","2","0","0","1","205","362","St. Annes Anglican Church"
"045","LONDON WEST","219","U","LONDON","96","6","22","70","0","3","1","1","0","199","357","St. Annes Anglican Church"
"045","LONDON WEST","220","U","LONDON","72","3","14","57","1","0","0","0","0","147","282","St. George Parish"
"045","LONDON WEST","221","U","LONDON","124","5","17","81","0","0","1","0","0","228","473","St. Annes Anglican Church"
"045","LONDON WEST","222","U","LONDON","108","2","38","106","0","0","2","0","0","256","500","St. George Parish"
"045","LONDON WEST","223","U","LONDON","86","2","26","65","0","1","0","0","0","180","385","Byron Memorial Library"
"045","LONDON WEST","224","U","LONDON","120","2","23","181","0","0","1","0","0","327","489","Riverbend Golf Community"
"045","LONDON WEST","225","U","LONDON","89","2","27","70","0","0","0","0","0","188","432","Byron Memorial Library"
"045","LONDON WEST","226","U","LONDON","71","4","17","70","0","0","0","0","0","162","342","St. Annes Anglican Church"
"045","LONDON WEST","227","U","LONDON","116","3","22","104","0","0","0","0","0","245","494","St. Annes Anglican Church"
"045","LONDON WEST","400","U","LONDON","16","2","26","15","0","0","0","0","0","59","249","Kinsmen Recreation Centre"
"045","LONDON WEST","401","U","LONDON","26","2","18","8","0","0","0","0","1","55","260","Kinsmen Recreation Centre"
"045","LONDON WEST","402","U","LONDON","58","0","22","22","0","1","1","0","0","104","137","Riverside Retirement Residence"
"045","LONDON WEST","403","U","LONDON","17","3","31","14","0","0","0","0","0","65","282","Lgt Family Church"
"045","LONDON WEST","404","U","LONDON","58","0","11","46","0","1","0","0","0","116","223","Westcliff"
"045","LONDON WEST","405","U","LONDON","50","1","31","40","0","0","1","1","0","124","178","Five After Five Apartments"
"045","LONDON WEST","406","U","LONDON","56","3","32","56","0","1","0","0","0","148","221","The Riverview"
"045","LONDON WEST","407","U","LONDON","63","4","25","37","0","0","1","1","0","131","224","Civic Garden Complex"
"045","LONDON WEST","408","U","LONDON","16","0","19","15","0","1","1","0","0","52","172","Westmount Public School"
"045","LONDON WEST","409","U","LONDON","20","1","12","13","0","0","0","0","0","46","186","Westmount Public School"
"045","LONDON WEST","410","U","LONDON","26","6","13","15","1","0","0","0","0","61","207","Westview Baptist Church"
"045","LONDON WEST","411","U","LONDON","20","1","27","13","0","0","0","0","0","61","155","Windy Woods Co-Operative Homes"
"045","LONDON WEST","412","U","LONDON","48","5","54","15","0","0","0","1","0","123","227","Baseline Adult and Seniors Apartments"
"045","LONDON WEST","700","U","LONDON","26","1","12","23","0","1","1","0","0","64","168","Peoplecare Oakcrossing London"
"045","LONDON WEST","701","U","LONDON","119","6","77","91","4","2","2","2","0","303","655","Chelsey Park Retirement Community"
"045","LONDON WEST","702","U","LONDON",".......................COMBINED WITH POLL 701.......................","","","","","","","","","","","The Royalcliff Retirement Residence"
"045","LONDON WEST","703","U","LONDON",".......................COMBINED WITH POLL 706.......................","","","","","","","","","","","The Waverley Retirement Residence"
"045","LONDON WEST","704","U","LONDON","..........................NO POLL HELD..........................","","","","","","","","","","",""
"045","LONDON WEST","705","U","LONDON","..........................NO POLL HELD..........................","","","","","","","","","","",""
"045","LONDON WEST","706","U","LONDON","82","4","31","49","0","0","0","1","0","167","347","McCormick Home"
"045","LONDON WEST","707","U","LONDON","63","2","14","48","1","0","1","0","0","129","314","Longworth Retirement Community"
"045","LONDON WEST","708","U","LONDON","17","4","23","8","0","1","0","0","0","53","106","St. George Parish"
"045","LONDON WEST","ADV001","U","LONDON","1092","47","438","980","1","13","2","0","2","2575","0","Returning Office / Bureau du directeur du scrutin"
"045","LONDON WEST","ADV002","U","LONDON","367","14","153","231","3","3","13","0","1","785","0","Special Ballot Voting / Vote par bulletin spécial"
"045","LONDON WEST","ADV003","U","LONDON","52","1","23","43","0","0","0","0","0","119","0","Southwest Optimist Park"
