"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BALFOUR","DUNCAN","FARBER","GORMAN","HACKELBERG","SHURMAN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"089","THORNHILL","030","U","THORNHILL","2","1","38","0","10","75","0","0","0","126","381","North Thornhill Community Centre"
"089","THORNHILL","031","U","THORNHILL","0","1","69","0","12","85","0","0","0","167","423","Bakersfield Public School"
"089","THORNHILL","032","U","THORNHILL","2","4","65","0","8","88","0","2","0","169","443","Bakersfield Public School"
"089","THORNHILL","033","U","THORNHILL","1","2","65","2","12","100","1","0","0","183","443","Bakersfield Public School"
"089","THORNHILL","034","U","THORNHILL","0","1","56","0","6","57","1","0","0","121","391","Bakersfield Public School"
"089","THORNHILL","035","U","THORNHILL","0","4","42","1","9","57","0","0","0","113","315","Bakersfield Public School"
"089","THORNHILL","036","U","THORNHILL","2","1","41","0","21","72","0","0","0","137","356","Bakersfield Public School"
"089","THORNHILL","037","U","VAUGHAN","3","0","54","0","14","44","0","0","0","115","508","Wilshire Elementary School"
"089","THORNHILL","038","U","THORNHILL","1","3","75","1","17","103","1","0","0","201","464","Westmount Collegiate Institute"
"089","THORNHILL","039","U","THORNHILL","1","2","59","0","2","114","0","0","0","178","467","Westmount Collegiate Institute"
"089","THORNHILL","040","U","VAUGHAN","2","3","101","1","9","141","1","0","0","258","486","Ventura Park Public School"
"089","THORNHILL","041","U","VAUGHAN","1","3","78","0","17","96","1","0","0","196","452","Wilshire Elementary School"
"089","THORNHILL","042","U","VAUGHAN","2","3","87","0","13","82","0","0","0","187","438","Wilshire Elementary School"
"089","THORNHILL","043","U","VAUGHAN","0","1","62","0","8","168","0","0","0","239","499","Ventura Park Public School"
"089","THORNHILL","044","U","THORNHILL","0","1","59","0","7","106","3","0","0","176","425","Westmount Collegiate Institute"
"089","THORNHILL","045","U","VAUGHAN","1","4","80","0","6","124","0","0","0","215","493","Wilshire Elementary School"
"089","THORNHILL","046","U","VAUGHAN","0","1","51","0","7","137","0","0","0","196","513","Ventura Park Public School"
"089","THORNHILL","047","U","VAUGHAN","0","0","45","0","1","116","1","0","0","163","440","Ventura Park Public School"
"089","THORNHILL","048","U","THORNHILL","0","3","41","0","8","101","0","0","0","153","387","Westmount Collegiate Institute"
"089","THORNHILL","049","U","VAUGHAN","1","1","50","1","8","79","2","0","0","142","403","Wilshire Elementary School"
"089","THORNHILL","050","U","VAUGHAN","3","0","78","1","15","38","3","0","0","138","412","Our Lady of the Rosary Elementary School"
"089","THORNHILL","051","U","VAUGHAN","8","2","83","0","29","63","1","0","0","186","420","Our Lady of the Rosary Elementary School"
"089","THORNHILL","052","U","VAUGHAN","6","5","104","0","27","61","2","0","0","205","454","Our Lady of the Rosary Elementary School"
"089","THORNHILL","053","U","VAUGHAN","5","2","63","0","18","35","1","0","0","124","483","Our Lady of the Rosary Elementary School"
"089","THORNHILL","054","U","VAUGHAN","1","4","116","1","21","54","2","0","0","199","452","Our Lady of the Rosary Elementary School"
"089","THORNHILL","055","U","THORNHILL","2","5","61","2","19","29","0","1","0","119","319","Glen Shields Public School"
"089","THORNHILL","056","U","THORNHILL","3","2","58","0","19","34","1","0","0","117","301","Glen Shields Public School"
"089","THORNHILL","057","U","VAUGHAN","3","7","74","1","17","59","0","1","0","162","405","Our Lady of the Rosary Elementary School"
"089","THORNHILL","058","U","THORNHILL","5","2","53","1","20","35","2","0","0","118","295","Glen Shields Public School"
"089","THORNHILL","059","U","THORNHILL","2","3","96","1","38","41","1","0","0","182","443","Glen Shields Public School"
"089","THORNHILL","060","U","THORNHILL","8","3","81","0","27","28","1","0","0","148","397","Glen Shields Public School"
"089","THORNHILL","061","U","THORNHILL","2","2","81","1","35","43","0","0","0","164","397","Glen Shields Public School"
"089","THORNHILL","062","U","THORNHILL","9","2","77","0","35","62","3","0","3","191","441","St. Joseph the Worker"
"089","THORNHILL","063","U","THORNHILL","1","0","89","0","17","75","0","1","0","183","461","St. Joseph the Worker"
"089","THORNHILL","064","U","VAUGHAN","3","3","51","0","5","94","0","0","0","156","372","Brownridge Public School"
"089","THORNHILL","065","U","THORNHILL","6","1","108","0","27","45","0","0","0","187","446","St. Joseph the Worker"
"089","THORNHILL","066","U","THORNHILL","0","1","89","1","23","64","3","0","0","181","451","St. Joseph the Worker"
"089","THORNHILL","067","U","VAUGHAN","2","7","103","2","12","101","0","0","0","227","497","Brownridge Public School"
"089","THORNHILL","068","U","THORNHILL","1","1","66","0","26","56","0","0","0","150","355","St. Joseph the Worker"
"089","THORNHILL","069","U","VAUGHAN","0","3","54","2","18","27","0","0","1","105","375","Vaughan Secondary School"
"089","THORNHILL","070","U","THORNHILL","6","1","64","0","20","52","1","0","0","144","352","St. Joseph the Worker"
"089","THORNHILL","071","U","THORNHILL","3","4","40","0","24","36","0","0","0","107","327","Dufferin Clark Community Centre"
"089","THORNHILL","072","U","VAUGHAN","1","3","41","1","20","61","0","0","0","127","360","Vaughan Secondary School"
"089","THORNHILL","073","U","VAUGHAN","1","1","71","0","11","47","1","0","0","132","360","Vaughan Secondary School"
"089","THORNHILL","074","U","VAUGHAN","6","3","50","0","10","110","0","0","0","179","459","Vaughan Secondary School"
"089","THORNHILL","075","U","THORNHILL","2","4","66","0","16","62","0","0","0","150","406","Dufferin Clark Community Centre"
"089","THORNHILL","076","U","THORNHILL","5","8","80","0","23","47","0","0","0","163","460","Dufferin Clark Community Centre"
"089","THORNHILL","077","U","THORNHILL","1","3","62","0","9","38","1","1","0","115","361","Dufferin Clark Community Centre"
"089","THORNHILL","078","U","VAUGHAN","4","0","63","1","29","72","0","0","0","169","380","Louis-Honore Frechette Public School"
"089","THORNHILL","079","U","VAUGHAN","4","1","71","0","9","53","0","0","0","138","344","Louis-Honore Frechette Public School"
"089","THORNHILL","080","U","VAUGHAN","4","4","79","0","20","60","1","0","0","168","485","Louis-Honore Frechette Public School"
"089","THORNHILL","081","U","VAUGHAN","1","3","63","0","14","91","0","0","0","172","428","Brownridge Public School"
"089","THORNHILL","082","U","VAUGHAN","5","0","63","0","13","110","0","0","0","191","534","Brownridge Public School"
"089","THORNHILL","083","U","VAUGHAN","2","6","96","0","7","118","0","0","0","229","530","Vaughan Secondary School"
"089","THORNHILL","084","U","VAUGHAN","3","1","35","0","13","76","0","0","0","128","283","Westminster Public School"
"089","THORNHILL","085","U","VAUGHAN","1","1","81","0","14","125","0","0","0","222","490","Westminster Public School"
"089","THORNHILL","086","U","VAUGHAN","0","2","79","0","9","116","0","0","0","206","466","Westminster Public School"
"089","THORNHILL","087","U","VAUGHAN","1","2","37","0","10","78","0","0","0","128","270","Westminster Public School"
"089","THORNHILL","088","U","VAUGHAN","2","1","86","1","17","95","0","0","0","202","453","Westminster Public School"
"089","THORNHILL","089","U","VAUGHAN","1","9","46","0","19","95","0","1","2","173","436","Westminster Public School"
"089","THORNHILL","090","U","VAUGHAN","2","5","66","0","17","67","0","0","0","157","381","Louis-Honore Frechette Public School"
"089","THORNHILL","091","U","VAUGHAN","5","4","65","1","24","83","1","0","0","183","412","Louis-Honore Frechette Public School"
"089","THORNHILL","092","U","VAUGHAN","5","3","33","0","11","43","0","0","0","95","334","Westminster Public School"
"089","THORNHILL","093","U","VAUGHAN","2","2","76","0","14","87","2","0","0","183","426","Louis-Honore Frechette Public School"
"089","THORNHILL","094","U","VAUGHAN","0","2","23","2","17","51","0","0","0","95","261","Louis-Honore Frechette Public School"
"089","THORNHILL","095","U","VAUGHAN","2","1","32","0","6","101","2","0","0","144","397","Rosedale Heights Public School"
"089","THORNHILL","096","U","VAUGHAN","0","2","41","0","9","56","1","0","0","109","351","Rosedale Heights Public School"
"089","THORNHILL","097","U","VAUGHAN","0","0","46","0","7","111","0","0","0","164","455","Rosedale Heights Public School"
"089","THORNHILL","098","U","VAUGHAN","0","0","65","2","4","165","1","0","0","237","459","Rosedale Heights Public School"
"089","THORNHILL","099","U","VAUGHAN","0","1","25","1","4","103","0","0","0","134","307","Rosedale Heights Public School"
"089","THORNHILL","100","U","VAUGHAN","4","0","66","0","8","52","0","0","0","130","373","Rosedale Heights Public School"
"089","THORNHILL","101","U","VAUGHAN","2","1","72","0","11","102","0","0","0","188","466","Rosedale Heights Public School"
"089","THORNHILL","102","U","VAUGHAN","1","1","32","1","5","99","1","0","0","140","446","Rosedale Heights Public School"
"089","THORNHILL","103","U","VAUGHAN","1","1","60","1","12","69","1","0","0","145","382","Rosedale Heights Public School"
"089","THORNHILL","104","U","VAUGHAN","1","6","87","0","11","118","0","0","0","223","492","Rosedale Heights Public School"
"089","THORNHILL","105","U","VAUGHAN","2","0","56","0","11","183","1","1","0","254","518","Rosedale Heights Public School"
"089","THORNHILL","106","U","VAUGHAN","1","2","59","0","13","61","1","0","0","137","499","Thornhill Public School"
"089","THORNHILL","107","U","VAUGHAN","0","1","33","1","3","126","0","0","0","164","481","Thornhill Public School"
"089","THORNHILL","108","U","VAUGHAN","2","1","57","0","5","138","0","0","0","203","512","Thornhill Public School"
"089","THORNHILL","109","U","VAUGHAN","0","0","30","0","9","110","0","0","0","149","427","Thornhill Public School"
"089","THORNHILL","110","U","VAUGHAN","0","2","45","0","4","92","0","2","0","145","381","Thornhill Public School"
"089","THORNHILL","111","U","VAUGHAN","1","1","59","1","3","128","0","0","0","193","517","Thornhill Public School"
"089","THORNHILL","112","U","VAUGHAN","0","1","21","0","8","111","0","0","0","141","363","Garnet A Williams Community Centre"
"089","THORNHILL","113","U","VAUGHAN","0","0","86","0","10","74","0","0","1","171","379","Garnet A Williams Community Centre"
"089","THORNHILL","114","U","VAUGHAN","1","4","66","0","12","76","2","0","0","161","470","Garnet A Williams Community Centre"
"089","THORNHILL","115","U","VAUGHAN","2","0","52","1","4","68","1","0","0","128","329","Yorkhill Elementary School"
"089","THORNHILL","116","U","VAUGHAN","1","2","43","2","14","47","0","0","0","109","363","Yorkhill Elementary School"
"089","THORNHILL","117","U","VAUGHAN","0","2","52","0","6","118","0","0","0","178","467","Garnet A Williams Community Centre"
"089","THORNHILL","118","U","THORNHILL","1","0","28","2","7","131","0","0","0","169","439","Blessed Scalabrini Catholic School"
"089","THORNHILL","119","U","THORNHILL","1","2","54","0","8","159","0","0","0","224","491","Blessed Scalabrini Catholic School"
"089","THORNHILL","120","U","VAUGHAN","0","4","57","1","5","171","2","0","0","240","535","Yorkhill Elementary School"
"089","THORNHILL","121","U","VAUGHAN","1","4","66","0","15","115","1","1","0","203","477","Yorkhill Elementary School"
"089","THORNHILL","122","U","VAUGHAN","4","4","82","0","17","61","1","0","0","169","437","Yorkhill Elementary School"
"089","THORNHILL","123","U","THORNHILL","0","1","30","0","14","89","0","0","0","134","429","Blessed Scalabrini Catholic School"
"089","THORNHILL","124","U","THORNHILL","0","1","35","0","5","135","0","0","0","176","452","Blessed Scalabrini Catholic School"
"089","THORNHILL","125","U","THORNHILL","2","2","68","0","13","119","0","0","0","204","494","Blessed Scalabrini Catholic School"
"089","THORNHILL","126","U","VAUGHAN","1","2","59","0","17","68","1","0","0","148","598","Westminster Public School"
"089","THORNHILL","127","U","THORNHILL","8","4","79","1","14","83","2","0","0","191","491","Blessed Scalabrini Catholic School"
"089","THORNHILL","128","U","THORNHILL","7","2","77","0","15","39","1","2","0","143","439","Blessed Scalabrini Catholic School"
"089","THORNHILL","129","U","THORNHILL","6","3","84","4","19","70","0","1","0","187","523","Blessed Scalabrini Catholic School"
"089","THORNHILL","130","U","MARKHAM","2","4","76","0","22","74","0","0","0","178","395","Baythorn Public School"
"089","THORNHILL","131","U","MARKHAM","1","4","64","0","23","51","1","0","1","145","425","Baythorn Public School"
"089","THORNHILL","132","U","MARKHAM","1","1","87","0","26","63","0","0","0","178","446","Baythorn Public School"
"089","THORNHILL","133","U","THORNHILL","4","8","84","2","18","84","1","0","0","201","414","Woodland Public School"
"089","THORNHILL","134","U","THORNHILL","2","6","93","0","23","55","0","0","0","179","425","Woodland Public School"
"089","THORNHILL","135","U","THORNHILL","1","7","91","0","13","66","0","0","0","178","454","Woodland Public School"
"089","THORNHILL","136","U","THORNHILL","0","3","87","0","14","79","0","0","0","183","382","Woodland Public School"
"089","THORNHILL","137","U","THORNHILL","1","5","93","0","4","100","1","0","0","204","457","E. J. Sand Public School"
"089","THORNHILL","138","U","THORNHILL","0","2","53","1","30","42","2","0","1","131","319","Thornhill Secondary School"
"089","THORNHILL","139","U","THORNHILL","1","3","92","0","9","81","0","0","0","186","398","E. J. Sand Public School"
"089","THORNHILL","140","U","THORNHILL","3","5","82","1","24","88","0","0","0","203","478","E. J. Sand Public School"
"089","THORNHILL","141","U","THORNHILL","1","2","63","0","10","34","0","0","0","110","388","Glynnwood Retirement"
"089","THORNHILL","142","U","THORNHILL","5","4","28","1","15","14","0","0","0","67","275","Thornhill Secondary School"
"089","THORNHILL","143","U","THORNHILL","4","5","27","1","14","11","1","0","0","63","241","Thornhill Secondary School"
"089","THORNHILL","144","U","THORNHILL","3","3","76","3","8","51","3","0","0","147","374","Thornhill Secondary School"
"089","THORNHILL","145","U","THORNHILL","4","1","46","0","28","36","2","0","0","117","408","Thornhill Secondary School"
"089","THORNHILL","146","U","THORNHILL","0","3","20","0","8","28","0","0","0","59","221","E. J. Sand Public School"
"089","THORNHILL","147","U","THORNHILL","2","3","47","1","17","51","0","0","0","121","361","Henderson Public School"
"089","THORNHILL","148","U","THORNHILL","2","5","68","0","17","34","0","0","0","126","311","Henderson Public School"
"089","THORNHILL","149","U","THORNHILL","0","4","27","1","22","25","0","0","0","79","300","Henderson Public School"
"089","THORNHILL","150","U","THORNHILL","1","4","62","1","9","38","0","0","0","115","371","Henderson Public School"
"089","THORNHILL","151","U","THORNHILL","2","7","109","0","13","72","0","0","1","204","456","Henderson Public School"
"089","THORNHILL","152","U","THORNHILL","7","12","90","1","13","68","0","0","0","191","439","Henderson Public School"
"089","THORNHILL","153","U","THORNHILL","1","0","23","0","2","58","0","0","0","84","281","Henderson Public School"
"089","THORNHILL","154","U","THORNHILL","1","8","69","0","16","45","0","0","0","139","389","Stornoway Crescent Public School"
"089","THORNHILL","155","U","THORNHILL","5","5","105","1","30","97","1","0","2","246","437","Stornoway Crescent Public School"
"089","THORNHILL","156","U","THORNHILL","1","4","64","0","19","60","4","0","0","152","380","Stornoway Crescent Public School"
"089","THORNHILL","157","U","THORNHILL","1","4","55","0","26","56","2","0","0","144","393","Stornoway Crescent Public School"
"089","THORNHILL","158","U","MARKHAM","2","3","33","0","16","28","0","6","0","88","522","St. Robert Catholic High School"
"089","THORNHILL","159","U","MARKHAM","1","2","11","0","6","17","0","0","0","37","262","St. Robert Catholic High School"
"089","THORNHILL","160","U","MARKHAM","0","0","28","1","5","34","0","0","0","68","352","St. Robert Catholic High School"
"089","THORNHILL","161","U","THORNHILL","2","1","33","0","9","33","0","0","0","78","328","Thornlea Secondary School"
"089","THORNHILL","162","U","THORNHILL","2","4","70","2","13","67","0","0","0","158","452","Thornlea Secondary School"
"089","THORNHILL","163","U","THORNHILL","2","5","58","1","11","54","1","0","0","132","347","Thornlea Secondary School"
"089","THORNHILL","164","U","THORNHILL","0","2","66","0","22","53","1","0","1","145","349","Thornlea Secondary School"
"089","THORNHILL","165","U","THORNHILL","0","4","80","1","24","79","1","0","0","189","468","Thornlea Secondary School"
"089","THORNHILL","166","U","THORNHILL","1","6","87","0","10","46","0","0","0","150","435","Thornlea Secondary School"
"089","THORNHILL","167","U","THORNHILL","1","4","74","0","10","71","0","0","0","160","408","Thornlea Secondary School"
"089","THORNHILL","168","U","THORNHILL","0","0","61","0","4","59","1","0","0","125","302","Thornlea Secondary School"
"089","THORNHILL","169","U","THORNHILL","5","3","48","0","6","54","0","0","0","116","302","Thornlea Secondary School"
"089","THORNHILL","170","U","THORNHILL","0","6","60","1","9","58","0","0","0","134","366","Thornlea Secondary School"
"089","THORNHILL","171","U","THORNHILL","1","2","85","0","11","62","0","0","0","161","487","Thornlea Secondary School"
"089","THORNHILL","172","U","THORNHILL","0","0","42","2","7","57","0","1","0","109","339","Thornlea Secondary School"
"089","THORNHILL","173","U","THORNHILL","1","1","47","0","7","40","0","0","0","96","336","Thornlea Secondary School"
"089","THORNHILL","174","U","THORNHILL","1","4","73","2","21","50","0","1","0","152","607","St. Rene Goupil School"
"089","THORNHILL","175","U","THORNHILL","2","2","42","2","19","40","0","0","0","107","449","St. Rene Goupil School"
"089","THORNHILL","176","U","THORNHILL","0","3","33","0","25","38","1","0","0","100","393","St. Rene Goupil School"
"089","THORNHILL","177","U","THORNHILL","2","4","72","0","13","73","0","0","0","164","373","Bayview Glen Public School"
"089","THORNHILL","178","U","THORNHILL","4","2","22","0","7","76","0","0","0","111","319","Bayview Glen Public School"
"089","THORNHILL","179","U","THORNHILL","0","2","49","0","3","79","0","0","0","133","354","Bayview Glen Public School"
"089","THORNHILL","180","U","THORNHILL","3","10","92","0","20","92","0","0","0","217","472","Bayview Glen Public School"
"089","THORNHILL","181","U","THORNHILL","3","2","72","1","29","50","1","0","0","158","452","St. Rene Goupil School"
"089","THORNHILL","182","U","THORNHILL","1","3","86","1","25","65","0","0","0","181","406","St. Rene Goupil School"
"089","THORNHILL","183","U","THORNHILL","1","8","87","0","7","77","0","2","0","182","452","St. Rene Goupil School"
"089","THORNHILL","184","U","THORNHILL","2","3","77","0","9","53","0","0","0","144","479","Bayview Glen Public School"
"089","THORNHILL","185","U","THORNHILL","2","7","49","1","21","65","1","0","0","146","479","St. Rene Goupil School"
"089","THORNHILL","186","U","THORNHILL","1","3","56","1","15","75","0","2","0","153","509","St. Rene Goupil School"
"089","THORNHILL","187","U","THORNHILL","1","0","46","0","8","56","0","0","0","111","350","Bayview Glen Public School"
"089","THORNHILL","188","U","MARKHAM","2","6","76","1","13","41","0","1","0","140","418","St. Robert Catholic High School"
"089","THORNHILL","189","U","MARKHAM","3","2","79","0","5","77","1","0","1","168","430","St. Robert Catholic High School"
"089","THORNHILL","190","U","MARKHAM","2","0","84","0","10","43","0","0","0","139","356","St. Robert Catholic High School"
"089","THORNHILL","191","U","MARKHAM","0","2","61","0","8","39","0","0","0","110","282","St. Robert Catholic High School"
"089","THORNHILL","192","U","MARKHAM","3","2","53","1","17","45","0","0","0","121","346","St. Robert Catholic High School"
"089","THORNHILL","193","U","MARKHAM","3","4","36","0","7","53","0","0","0","103","293","St. Robert Catholic High School"
"089","THORNHILL","194","U","MARKHAM","1","2","38","0","8","46","0","0","0","95","378","St. Robert Catholic High School"
"089","THORNHILL","195","U","MARKHAM","0","2","50","2","12","58","0","0","0","124","321","St. Robert Catholic High School"
"089","THORNHILL","196","U","THORNHILL","1","1","44","2","8","54","0","1","0","111","274","German Mills Public School"
"089","THORNHILL","197","U","THORNHILL","0","3","71","0","10","45","1","0","0","130","321","German Mills Public School"
"089","THORNHILL","198","U","MARKHAM","0","4","78","0","26","59","0","0","0","167","490","St. Robert Catholic High School"
"089","THORNHILL","199","U","THORNHILL","0","2","99","2","31","78","1","0","0","213","433","German Mills Public School"
"089","THORNHILL","200","U","THORNHILL","1","4","104","2","5","70","1","0","0","187","343","German Mills Public School"
"089","THORNHILL","201","U","THORNHILL","5","4","92","0","28","71","0","1","0","201","473","German Mills Public School"
"089","THORNHILL","202","U","THORNHILL","4","3","103","0","25","64","1","0","0","200","402","German Mills Public School"
"089","THORNHILL","203","U","THORNHILL","0","6","87","0","24","82","0","0","0","199","431","German Mills Public School"
"089","THORNHILL","204","U","THORNHILL","3","3","71","1","17","49","0","0","0","144","373","German Mills Public School"
"089","THORNHILL","205","U","THORNHILL","0","1","66","1","19","64","0","0","0","151","443","German Mills Public School"
"089","THORNHILL","400","U","THORNHILL","2","1","24","0","7","27","0","0","0","61","216","Westmount Collegiate Institute"
"089","THORNHILL","401","U","THORNHILL","0","1","25","0","9","22","1","0","0","58","212","Westmount Collegiate Institute"
"089","THORNHILL","402","U","THORNHILL","2","4","28","0","11","93","3","0","0","141","384","50 Disera Drive"
"089","THORNHILL","403","U","THORNHILL","5","6","68","0","26","96","0","1","0","202","520","North Park"
"089","THORNHILL","404","U","THORNHILL","3","2","36","0","2","25","1","0","0","69","152","Residences of Beauclair"
"089","THORNHILL","405","U","THORNHILL","0","1","78","1","12","84","0","0","1","177","272","Royal Promenade 1 YRCC769"
"089","THORNHILL","406","U","THORNHILL","3","1","60","2","5","103","0","0","0","174","301","Royal Promenade 2 YRCC834"
"089","THORNHILL","407","U","THORNHILL","3","3","50","1","8","49","2","0","0","116","240","100 Promenade Circle"
"089","THORNHILL","408","U","THORNHILL","1","3","40","0","10","45","1","0","0","100","203","100 Promenade Circle"
"089","THORNHILL","409","U","THORNHILL","2","1","57","0","9","93","1","0","0","163","290","Promenade Towers 3"
"089","THORNHILL","410","U","THORNHILL","1","0","43","1","7","99","1","0","0","152","282","Promenade Towers 2"
"089","THORNHILL","411","U","THORNHILL","1","3","65","1","7","88","0","0","0","165","279","Promenade Towers 1"
"089","THORNHILL","412","U","THORNHILL","2","2","96","1","21","104","1","0","0","227","376","Forest Hill North"
"089","THORNHILL","413","U","THORNHILL","3","4","22","0","24","19","0","0","0","72","156","Chateau Parc"
"089","THORNHILL","414","U","THORNHILL","3","1","38","0","18","35","3","0","0","98","216","Chateau Parc"
"089","THORNHILL","415","U","THORNHILL","0","5","45","0","10","43","1","0","0","104","226","Chateau Ridge"
"089","THORNHILL","416","U","THORNHILL","2","3","32","1","8","50","2","0","0","98","211","Plaza Del Sol"
"089","THORNHILL","417","U","THORNHILL","5","3","86","1","15","101","2","1","0","214","345","Townsgate 1"
"089","THORNHILL","418","U","THORNHILL","6","3","90","4","9","83","1","1","0","197","351","11 Townsgate Condominium, YRCC #865"
"089","THORNHILL","419","U","THORNHILL","2","1","48","1","9","48","0","0","0","109","248","Park Terrace II"
"089","THORNHILL","420","U","THORNHILL","6","1","33","0","6","28","0","0","0","74","193","Eiffel Towers"
"089","THORNHILL","421","U","THORNHILL","3","1","20","1","4","27","0","0","0","56","147","Classique at Eiffel Towers"
"089","THORNHILL","422","U","THORNHILL","0","1","21","0","7","32","0","1","0","62","183","Edgewater"
"089","THORNHILL","423","U","THORNHILL","3","2","27","0","10","44","1","0","0","87","166","Park Terrace I"
"089","THORNHILL","424","U","VAUGHAN","0","2","11","1","3","51","1","0","0","69","188","Garnet A Williams Community Centre"
"089","THORNHILL","425","U","VAUGHAN","1","2","70","0","12","164","0","0","0","249","428","The Conservatory"
"089","THORNHILL","426","U","VAUGHAN","0","1","10","0","3","12","0","0","0","26","170","Yorkhill Elementary School"
"089","THORNHILL","427","U","THORNHILL","0","0","69","0","7","93","0","1","0","170","351","The Skyrise YRCC818"
"089","THORNHILL","428","U","THORNHILL","2","2","86","0","8","104","1","1","0","204","360","The Skyrise YRCC818"
"089","THORNHILL","429","U","VAUGHAN","2","3","67","0","17","57","1","0","0","147","332","The Palladium YRCC710"
"089","THORNHILL","430","U","THORNHILL","0","5","94","0","18","73","0","1","1","192","297","Gazebo of Thornhill"
"089","THORNHILL","431","U","MARKHAM","0","1","19","0","9","19","0","0","0","48","138","Baythorn Public School"
"089","THORNHILL","432","U","MARKHAM","2","0","19","0","11","27","1","0","0","60","197","Baythorn Public School"
"089","THORNHILL","433","U","THORNHILL","3","2","50","1","18","30","0","0","0","104","204","1 Royal Orchard Boulevard, YCC97"
"089","THORNHILL","434","U","THORNHILL","3","1","45","1","17","38","0","0","0","105","203","The Orchard Club"
"089","THORNHILL","435","U","THORNHILL","1","1","37","0","17","44","1","0","0","101","197","The Orchard Club"
"089","THORNHILL","436","U","THORNHILL","1","3","43","0","6","24","0","0","0","77","196","The Orchard Club"
"089","THORNHILL","437","U","THORNHILL","1","1","66","0","7","37","0","0","0","112","202","The Thornhill Summit, YCC226"
"089","THORNHILL","438","U","THORNHILL","1","2","39","1","23","61","0","0","0","127","369","Thornhill Secondary School"
"089","THORNHILL","439","U","THORNHILL","0","1","22","0","14","10","0","0","0","47","160","Thornhill Secondary School"
"089","THORNHILL","440","U","THORNHILL","3","0","13","1","6","23","1","0","0","47","163","Thornhill Secondary School"
"089","THORNHILL","441","U","THORNHILL","1","2","19","0","6","20","0","0","0","48","149","Thornhill Secondary School"
