"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BANKOLE","DETTWEILER","LEONE","MALETTE","MCGARRY","ROSS","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"012","CAMBRIDGE","120","U","CAMBRIDGE","46","1","46","5","19","2","1","0","0","120","340","Calvary Pentecostal Church"
"012","CAMBRIDGE","121","U","CAMBRIDGE","23","9","31","2","32","5","0","0","0","102","351","Calvary Pentecostal Church"
"012","CAMBRIDGE","122","U","CAMBRIDGE","64","5","27","5","71","2","2","2","0","178","377","Highland Homes Co-Op (Unit 75)"
"012","CAMBRIDGE","123","U","CAMBRIDGE","32","7","37","1","31","0","2","0","0","110","341","Highland Homes Co-Op (Unit 75)"
"012","CAMBRIDGE","124","U","CAMBRIDGE","41","1","27","3","27","1","0","0","1","101","407","Slovak Villa"
"012","CAMBRIDGE","125","U","CAMBRIDGE","23","4","52","1","29","1","0","0","0","110","278","Centre Communautaire Francophone Cambridge"
"012","CAMBRIDGE","126","U","CAMBRIDGE","14","2","31","0","20","0","0","0","0","67","263","Centre Communautaire Francophone Cambridge"
"012","CAMBRIDGE","127","U","CAMBRIDGE","44","4","30","4","37","1","2","0","0","122","370","St. Anne's Elementary School"
"012","CAMBRIDGE","128","U","CAMBRIDGE","59","6","47","4","53","4","0","0","0","173","468","St. Anne's Elementary School"
"012","CAMBRIDGE","129","U","CAMBRIDGE","40","2","16","4","23","1","0","0","0","86","314","Cambridge City Hall (Bowman Room)"
"012","CAMBRIDGE","130","U","CAMBRIDGE","46","2","37","8","46","0","0","0","0","139","522","Lions Community Hall"
"012","CAMBRIDGE","131","U","CAMBRIDGE","24","0","26","1","21","0","0","0","0","72","273","Lions Community Hall"
"012","CAMBRIDGE","132","U","CAMBRIDGE","39","2","32","8","51","4","0","1","1","138","484","Cambridge City Hall (Bowman Room)"
"012","CAMBRIDGE","133","U","CAMBRIDGE","51","0","60","5","39","2","0","0","0","157","405","Central Public School"
"012","CAMBRIDGE","134","U","CAMBRIDGE","56","5","62","8","90","5","1","0","0","227","474","Lincoln Avenue Public School"
"012","CAMBRIDGE","135","U","CAMBRIDGE","56","4","58","3","53","2","0","0","0","176","454","Lincoln Avenue Public School"
"012","CAMBRIDGE","136","U","CAMBRIDGE","45","2","61","5","30","1","0","0","0","144","353","Lincoln Avenue Public School"
"012","CAMBRIDGE","137","U","CAMBRIDGE","33","2","38","4","36","1","1","2","0","117","400","St. Anne's Elementary School"
"012","CAMBRIDGE","138","U","CAMBRIDGE","29","4","102","2","42","1","1","0","0","181","378","Clyde and Scott Women's Institute Hall"
"012","CAMBRIDGE","139","U","CAMBRIDGE","27","3","162","5","51","1","0","0","0","249","544","Clyde and Scott Women's Institute Hall"
"012","CAMBRIDGE","140","U","CAMBRIDGE","17","3","26","1","36","0","0","0","0","83","366","Luisitania Villas"
"012","CAMBRIDGE","141","U","CAMBRIDGE","30","1","40","5","52","1","1","0","0","130","375","St. Ambrose Elementary School"
"012","CAMBRIDGE","142","U","CAMBRIDGE","45","2","71","1","39","1","1","1","0","161","385","St. Ambrose Elementary School"
"012","CAMBRIDGE","143","U","CAMBRIDGE","51","5","57","6","60","2","0","0","0","181","465","Central Public School"
"012","CAMBRIDGE","144","U","CAMBRIDGE","49","1","36","2","34","0","0","0","0","122","301","Robert Kerr Manor"
"012","CAMBRIDGE","145","U","CAMBRIDGE","56","3","49","8","40","1","0","0","0","157","365","Robert Kerr Manor"
"012","CAMBRIDGE","146","U","CAMBRIDGE","50","6","32","7","32","1","1","0","0","129","399","Central Public School"
"012","CAMBRIDGE","147","U","CAMBRIDGE","67","6","70","10","64","0","0","0","0","217","517","Kathleen Elliott Court"
"012","CAMBRIDGE","148","U","CAMBRIDGE","37","6","45","3","45","2","0","0","2","140","366","Glenview Park Secondary School"
"012","CAMBRIDGE","149","U","CAMBRIDGE","52","1","36","2","23","1","1","1","0","117","330","Glenview Park Secondary School"
"012","CAMBRIDGE","150","U","CAMBRIDGE","28","1","41","0","36","1","0","0","0","107","316","Stewart Avenue Public School"
"012","CAMBRIDGE","151","U","CAMBRIDGE","34","0","34","2","37","0","0","0","0","107","358","Stewart Avenue Public School"
"012","CAMBRIDGE","152","U","CAMBRIDGE","34","3","54","3","31","0","1","0","0","126","388","Arthur White Manor"
"012","CAMBRIDGE","153","U","CAMBRIDGE","48","3","36","7","37","0","2","0","0","133","414","Arthur White Manor"
"012","CAMBRIDGE","154","U","CAMBRIDGE","33","2","40","4","47","1","1","0","1","129","380","St. Ambrose Elementary School"
"012","CAMBRIDGE","155","U","CAMBRIDGE","31","1","15","2","16","0","0","0","0","65","206","Luisitania Villas"
"012","CAMBRIDGE","156","U","CAMBRIDGE","38","3","31","2","45","1","2","0","0","122","357","Thorne View Housing Co-Operative"
"012","CAMBRIDGE","157","U","CAMBRIDGE","24","4","59","5","67","1","1","1","0","162","433","Forward Baptist Church"
"012","CAMBRIDGE","158","U","CAMBRIDGE","36","8","54","4","86","1","1","0","0","190","488","Forward Baptist Church"
"012","CAMBRIDGE","159","U","CAMBRIDGE","40","3","42","3","47","0","1","2","0","138","401","Forward Baptist Church"
"012","CAMBRIDGE","160","U","CAMBRIDGE","29","2","36","1","48","1","2","0","0","119","390","Monseignor Doyle Catholic Secondary School"
"012","CAMBRIDGE","161","U","CAMBRIDGE","36","7","80","7","48","1","0","0","0","179","459","Monseignor Doyle Catholic Secondary School"
"012","CAMBRIDGE","162","U","CAMBRIDGE","37","2","16","1","27","0","1","0","0","84","385","Glenview Park Secondary School"
"012","CAMBRIDGE","163","U","CAMBRIDGE","41","3","91","2","55","0","1","0","0","193","467","Monseignor Doyle Catholic Secondary School"
"012","CAMBRIDGE","164","U","CAMBRIDGE","35","5","73","5","50","5","3","1","0","177","378","Glenview Park Secondary School"
"012","CAMBRIDGE","165","U","CAMBRIDGE","40","2","37","5","43","2","0","0","0","129","389","Monseignor Doyle Catholic Secondary School"
"012","CAMBRIDGE","166","U","CAMBRIDGE","34","3","56","2","33","0","0","0","0","128","387","Monseignor Doyle Catholic Secondary School"
"012","CAMBRIDGE","167","U","CAMBRIDGE","41","1","64","2","56","1","0","0","0","165","469","Monseignor Doyle Catholic Secondary School"
"012","CAMBRIDGE","168","U","CAMBRIDGE","38","3","59","3","36","0","0","0","0","139","357","Monseignor Doyle Catholic Secondary School"
"012","CAMBRIDGE","169","U","CAMBRIDGE","44","2","59","7","62","2","0","0","0","176","432","Forward Baptist Church"
"012","CAMBRIDGE","170","U","CAMBRIDGE","40","2","65","0","69","1","1","1","0","179","553","Forward Baptist Church"
"012","CAMBRIDGE","171","U","CAMBRIDGE","39","2","55","5","48","1","0","0","0","150","358","Holy Spirit Catholic Elementary School"
"012","CAMBRIDGE","172","U","CAMBRIDGE","46","0","64","1","48","0","1","0","0","160","403","Holy Spirit Catholic Elementary School"
"012","CAMBRIDGE","173","U","CAMBRIDGE","33","1","84","7","57","1","2","1","0","186","407","Holy Spirit Catholic Elementary School"
"012","CAMBRIDGE","174","U","CAMBRIDGE","41","2","56","6","73","0","0","0","0","178","509","Holy Spirit Catholic Elementary School"
"012","CAMBRIDGE","175","U","CAMBRIDGE","42","4","120","3","70","1","3","0","0","243","508","Holy Spirit Catholic Elementary School"
"012","CAMBRIDGE","176","U","CAMBRIDGE","26","0","67","5","32","0","0","0","0","130","301","Monseignor Doyle Catholic Secondary School"
"012","CAMBRIDGE","177","U","CAMBRIDGE","25","3","98","4","59","1","0","1","0","191","362","Blair Outdoor Education Centre"
"012","CAMBRIDGE","178","U","CAMBRIDGE","30","0","86","5","73","0","0","0","2","196","394","St. Augustine Elementary School"
"012","CAMBRIDGE","179","U","CAMBRIDGE","37","1","87","1","66","2","0","1","0","195","407","St. Augustine Elementary School"
"012","CAMBRIDGE","180","U","CAMBRIDGE","43","2","82","6","58","0","0","0","0","191","397","Blair Road Public School"
"012","CAMBRIDGE","181","U","CAMBRIDGE","59","5","96","2","52","0","1","0","0","215","440","Blair Road Public School"
"012","CAMBRIDGE","182","U","CAMBRIDGE","45","2","72","4","92","0","0","0","0","215","493","St. Augustine Elementary School"
"012","CAMBRIDGE","183","U","CAMBRIDGE","43","2","79","4","70","2","0","0","0","200","461","St. Augustine Elementary School"
"012","CAMBRIDGE","184","U","CAMBRIDGE","33","1","59","10","77","2","0","0","0","182","399","Trinity Anglican Church"
"012","CAMBRIDGE","185","U","CAMBRIDGE","21","1","57","4","62","2","0","0","1","148","326","St. John's on the Hill United Church"
"012","CAMBRIDGE","186","U","CAMBRIDGE","33","1","76","3","89","0","0","0","0","202","427","Southwood Secondary School"
"012","CAMBRIDGE","187","U","CAMBRIDGE","50","0","71","4","69","0","0","1","0","195","414","Southwood Secondary School"
"012","CAMBRIDGE","188","U","CAMBRIDGE","75","4","74","4","63","2","0","0","0","222","458","9 Westgate Court"
"012","CAMBRIDGE","189","U","CAMBRIDGE","30","2","65","12","76","0","0","1","0","186","362","9 Westgate Court"
"012","CAMBRIDGE","190","U","CAMBRIDGE","55","2","56","10","102","1","0","0","0","226","469","Trinity Anglican Church"
"012","CAMBRIDGE","191","U","CAMBRIDGE","36","1","35","10","105","0","0","0","0","187","389","Knox's Galt Presbyterian Church"
"012","CAMBRIDGE","192","U","CAMBRIDGE","26","1","21","10","55","2","0","0","0","115","392","Knox's Galt Presbyterian Church"
"012","CAMBRIDGE","193","U","CAMBRIDGE","66","4","37","1","26","1","1","0","1","137","349","St. Andrews Public School"
"012","CAMBRIDGE","194","U","CAMBRIDGE","40","1","45","8","23","1","0","2","0","120","363","St. Gregory's Church Parish Hall"
"012","CAMBRIDGE","195","U","CAMBRIDGE","25","2","17","6","31","0","0","0","0","81","387","St. John's on the Hill United Church"
"012","CAMBRIDGE","196","U","CAMBRIDGE","61","1","47","3","37","1","0","0","0","150","354","Southwood Secondary School"
"012","CAMBRIDGE","197","U","CAMBRIDGE","37","2","82","4","97","2","0","0","0","224","429","Southwood Secondary School"
"012","CAMBRIDGE","198","U","CAMBRIDGE","31","1","97","10","107","1","0","0","0","247","476","Southwood Secondary School"
"012","CAMBRIDGE","199","U","CAMBRIDGE","41","2","82","1","40","1","0","0","1","168","412","Southwood Secondary School"
"012","CAMBRIDGE","200","U","CAMBRIDGE","56","3","53","6","54","1","0","0","0","173","389","Southwood Secondary School"
"012","CAMBRIDGE","201","U","CAMBRIDGE","26","1","23","6","18","1","0","0","0","75","307","St. Gregory's Church Parish Hall"
"012","CAMBRIDGE","202","U","CAMBRIDGE","60","1","77","4","49","3","0","0","0","194","474","St. Gregory's Church Parish Hall"
"012","CAMBRIDGE","203","U","CAMBRIDGE","62","0","44","1","29","2","0","0","0","138","428","St. Andrews Public School"
"012","CAMBRIDGE","204","U","CAMBRIDGE","36","2","45","3","42","1","1","0","0","130","339","St. Andrews Public School"
"012","CAMBRIDGE","205","U","CAMBRIDGE","53","1","40","5","36","6","2","0","0","143","286","Gertrude Burgar Court"
"012","CAMBRIDGE","206","U","CAMBRIDGE","36","3","38","8","36","2","0","0","0","123","344","St. Andrews Public School"
"012","CAMBRIDGE","207","U","CAMBRIDGE","37","4","69","8","75","1","0","1","0","195","423","St. Andrews Public School"
"012","CAMBRIDGE","208","U","CAMBRIDGE","58","2","61","1","76","0","0","0","0","198","371","Tait Street Public School"
"012","CAMBRIDGE","209","U","CAMBRIDGE","37","4","48","3","63","0","0","0","0","155","400","Tait Street Public School"
"012","CAMBRIDGE","210","U","CAMBRIDGE","42","3","68","6","88","0","1","0","0","208","456","Tait Street Public School"
"012","CAMBRIDGE","211","U","CAMBRIDGE","22","1","78","9","48","0","0","0","0","158","322","Tait Street Public School"
"012","CAMBRIDGE","212","U","CAMBRIDGE","21","3","69","2","61","1","0","0","0","157","321","North Dumfries Township Hall"
"012","CAMBRIDGE","213","U","CAMBRIDGE","16","0","94","3","39","0","0","0","0","152","294","North Dumfries Township Hall"
"012","CAMBRIDGE","214","U","CAMBRIDGE","31","0","75","5","52","0","0","0","0","163","348","Southwood Secondary School"
"012","CAMBRIDGE","215","U","AYR","35","7","99","3","68","1","0","0","0","213","400","Roseville United Brethern Church"
"012","CAMBRIDGE","216","U","AYR","24","2","87","6","60","1","1","0","0","181","369","Ayr Fire Hall"
"012","CAMBRIDGE","217","U","AYR","29","3","90","5","77","0","0","0","1","205","426","St. Brigid Catholic Elementary School"
"012","CAMBRIDGE","218","U","AYR","43","2","105","5","92","1","0","0","0","248","421","St. Brigid Catholic Elementary School"
"012","CAMBRIDGE","219","U","AYR","28","5","71","4","80","1","1","0","0","190","359","Knox United Church"
"012","CAMBRIDGE","220","U","AYR","36","3","53","3","63","0","0","0","1","159","331","Knox United Church"
