"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DELIS","DICKSON","MCCARTHY","TOMAN","WISEMAN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"001","AJAX--PICKERING","040","U","AJAX","0","94","67","3","28","0","0","0","192","443","Eagle Ridge Public School"
"001","AJAX--PICKERING","041","U","AJAX","3","79","64","2","20","0","0","0","168","433","Pickering High School"
"001","AJAX--PICKERING","042","U","AJAX","1","106","60","4","23","1","0","0","195","415","Eagle Ridge Public School"
"001","AJAX--PICKERING","043","U","AJAX","3","76","47","1","29","1","1","0","158","459","Eagle Ridge Public School"
"001","AJAX--PICKERING","044","U","AJAX","1","118","75","2","23","0","0","0","219","543","Eagle Ridge Public School"
"001","AJAX--PICKERING","045","U","AJAX","1","90","61","2","31","1","0","0","186","546","Vimy Ridge Public School"
"001","AJAX--PICKERING","046","U","AJAX","0","89","79","1","24","1","0","0","194","564","St. Patrick Catholic School"
"001","AJAX--PICKERING","047","U","AJAX","2","107","65","4","32","1","0","0","211","530","St. Patrick Catholic School"
"001","AJAX--PICKERING","048","U","AJAX","1","71","43","2","22","0","0","0","139","341","St. Patrick Catholic School"
"001","AJAX--PICKERING","049","U","AJAX","1","89","53","1","32","0","0","0","176","481","St. Patrick Catholic School"
"001","AJAX--PICKERING","050","U","AJAX","2","109","78","3","20","1","0","0","213","516","St. Patrick Catholic School"
"001","AJAX--PICKERING","051","U","AJAX","5","83","48","2","29","0","0","0","167","427","St. Patrick Catholic School"
"001","AJAX--PICKERING","052","U","AJAX","6","71","69","0","30","1","0","0","177","339","Lincoln Alexander Public School"
"001","AJAX--PICKERING","053","U","AJAX","2","85","70","3","26","0","0","0","186","488","Lincoln Alexander Public School"
"001","AJAX--PICKERING","054","U","AJAX","2","88","87","4","12","0","0","0","193","458","Lincoln Alexander Public School"
"001","AJAX--PICKERING","055","U","AJAX","4","92","70","4","19","2","0","0","191","494","St. Patrick Catholic School"
"001","AJAX--PICKERING","056","U","AJAX","1","100","74","3","16","1","0","0","195","415","Lincoln Alexander Public School"
"001","AJAX--PICKERING","057","U","AJAX","5","77","68","2","40","0","0","0","192","500","McLean Community Centre"
"001","AJAX--PICKERING","058","U","AJAX","0","81","69","4","10","0","0","0","164","483","McLean Community Centre"
"001","AJAX--PICKERING","059","U","AJAX","1","62","63","5","30","0","0","0","161","465","McLean Community Centre"
"001","AJAX--PICKERING","060","U","AJAX","4","50","77","5","43","1","0","0","180","447","McLean Community Centre"
"001","AJAX--PICKERING","061","U","AJAX","1","83","51","2","20","0","0","0","157","397","McLean Community Centre"
"001","AJAX--PICKERING","062","U","AJAX","1","77","64","7","40","0","0","0","189","518","McLean Community Centre"
"001","AJAX--PICKERING","063","U","AJAX","2","83","64","1","33","1","0","0","184","492","Lester B. Pearson Public School"
"001","AJAX--PICKERING","064","U","AJAX","1","59","68","0","23","0","0","0","151","427","Lester B. Pearson Public School"
"001","AJAX--PICKERING","065","U","AJAX","1","57","45","1","14","0","0","0","118","302","Lester B. Pearson Public School"
"001","AJAX--PICKERING","066","U","AJAX","0","75","69","4","32","1","0","0","181","424","Lester B. Pearson Public School"
"001","AJAX--PICKERING","067","U","AJAX","1","108","63","8","31","0","0","0","211","464","Lester B. Pearson Public School"
"001","AJAX--PICKERING","068","U","AJAX","1","73","64","0","11","3","0","0","152","428","Lester B. Pearson Public School"
"001","AJAX--PICKERING","069","U","AJAX","1","79","59","4","32","0","1","0","176","445","Lester B. Pearson Public School"
"001","AJAX--PICKERING","070","U","AJAX","4","93","41","2","33","0","1","0","174","432","Vimy Ridge Public School"
"001","AJAX--PICKERING","071","U","AJAX","2","53","28","1","13","0","0","0","97","332","Vimy Ridge Public School"
"001","AJAX--PICKERING","072","U","AJAX","2","91","64","1","22","0","0","1","181","458","Vimy Ridge Public School"
"001","AJAX--PICKERING","073","U","AJAX","0","106","63","3","32","1","3","0","208","579","Vimy Ridge Public School"
"001","AJAX--PICKERING","074A","U","AJAX","1","89","35","2","18","0","0","0","145","341","Vimy Ridge Public School"
"001","AJAX--PICKERING","074B","U","AJAX","3","47","27","0","16","0","0","0","93","321","Vimy Ridge Public School"
"001","AJAX--PICKERING","075","U","AJAX","2","98","60","1","36","1","1","0","199","596","Vimy Ridge Public School"
"001","AJAX--PICKERING","076","U","AJAX","2","110","62","2","30","0","0","0","206","641","Notre Dame Catholic Secondary School"
"001","AJAX--PICKERING","077","U","AJAX","1","96","63","0","28","1","0","0","189","536","Notre Dame Catholic Secondary School"
"001","AJAX--PICKERING","078","U","AJAX","0","135","53","0","18","0","0","0","206","600","Notre Dame Catholic Secondary School"
"001","AJAX--PICKERING","079","U","AJAX","0","104","45","2","12","0","0","0","163","448","Notre Dame Catholic Secondary School"
"001","AJAX--PICKERING","080","U","AJAX","3","60","64","1","10","0","0","0","138","440","Notre Dame Catholic Secondary School"
"001","AJAX--PICKERING","081","U","AJAX","1","86","59","1","16","0","0","0","163","425","Notre Dame Catholic Secondary School"
"001","AJAX--PICKERING","082","U","AJAX","1","60","34","1","15","0","0","0","111","366","Notre Dame Catholic Secondary School"
"001","AJAX--PICKERING","083","U","AJAX","2","86","46","3","21","2","0","0","160","394","J. Clarke Richardson Collegiate"
"001","AJAX--PICKERING","084","U","AJAX","1","98","77","6","16","0","0","0","198","451","Dr. Roberta Bondar Public School"
"001","AJAX--PICKERING","085","U","AJAX","1","85","35","3","27","2","0","0","153","426","Dr. Roberta Bondar Public School"
"001","AJAX--PICKERING","086","U","AJAX","1","55","33","2","22","0","0","0","113","401","Dr. Roberta Bondar Public School"
"001","AJAX--PICKERING","087","U","AJAX","0","49","43","1","15","0","0","0","108","398","Dr. Roberta Bondar Public School"
"001","AJAX--PICKERING","088","U","AJAX","0","77","66","2","37","0","0","0","182","434","Dr. Roberta Bondar Public School"
"001","AJAX--PICKERING","089","U","AJAX","1","54","59","3","21","2","0","1","141","464","Applecroft Public School"
"001","AJAX--PICKERING","090","U","AJAX","0","67","45","3","24","1","0","0","140","409","McLean Community Centre"
"001","AJAX--PICKERING","091","U","AJAX","1","76","66","4","20","2","0","0","169","372","Applecroft Public School"
"001","AJAX--PICKERING","092","U","AJAX","1","92","55","3","16","2","0","0","169","450","Applecroft Public School"
"001","AJAX--PICKERING","093","U","AJAX","1","65","61","3","24","1","0","0","155","450","Applecroft Public School"
"001","AJAX--PICKERING","094","U","AJAX","0","56","52","3","14","1","0","0","126","489","Applecroft Public School"
"001","AJAX--PICKERING","095","U","AJAX","2","99","37","2","32","2","0","0","174","593","Applecroft Public School"
"001","AJAX--PICKERING","096","U","AJAX","2","91","67","1","14","0","0","0","175","498","J. Clarke Richardson Collegiate"
"001","AJAX--PICKERING","097","U","AJAX","0","47","37","1","13","1","0","0","99","378","J. Clarke Richardson Collegiate"
"001","AJAX--PICKERING","098","U","AJAX","3","83","65","1","26","0","0","0","178","528","Notre Dame Catholic Secondary School"
"001","AJAX--PICKERING","099","U","AJAX","0","71","23","3","21","1","0","0","119","415","Notre Dame Catholic Secondary School"
"001","AJAX--PICKERING","100","U","AJAX","0","91","25","2","25","1","0","0","144","458","J. Clarke Richardson Collegiate"
"001","AJAX--PICKERING","101","U","AJAX","1","69","64","1","16","0","0","0","151","449","J. Clarke Richardson Collegiate"
"001","AJAX--PICKERING","102","U","AJAX","1","81","30","0","23","0","0","0","135","399","J. Clarke Richardson Collegiate"
"001","AJAX--PICKERING","103A","U","AJAX","0","59","41","1","9","0","0","0","110","351","J. Clarke Richardson Collegiate"
"001","AJAX--PICKERING","103B","U","AJAX","1","70","26","1","17","1","0","0","116","362","J. Clarke Richardson Collegiate"
"001","AJAX--PICKERING","104A","U","AJAX","0","67","28","2","21","0","0","0","118","338","J. Clarke Richardson Collegiate"
"001","AJAX--PICKERING","104B","U","AJAX","0","50","27","2","37","0","0","0","116","351","J. Clarke Richardson Collegiate"
"001","AJAX--PICKERING","105","U","AJAX","2","66","45","3","20","1","0","0","137","524","J. Clarke Richardson Collegiate"
"001","AJAX--PICKERING","106","U","AJAX","0","87","64","4","20","0","0","0","175","513","Romeo Dallaire Public School"
"001","AJAX--PICKERING","107","U","AJAX","0","85","48","2","14","1","0","0","150","439","Romeo Dallaire Public School"
"001","AJAX--PICKERING","108","U","AJAX","2","81","46","4","26","1","1","0","161","395","Romeo Dallaire Public School"
"001","AJAX--PICKERING","109","U","AJAX","2","70","31","1","18","0","0","0","122","337","Romeo Dallaire Public School"
"001","AJAX--PICKERING","110","U","AJAX","1","109","71","2","25","0","0","0","208","588","Romeo Dallaire Public School"
"001","AJAX--PICKERING","111","U","AJAX","1","118","57","0","38","0","0","0","214","548","Romeo Dallaire Public School"
"001","AJAX--PICKERING","112","U","AJAX","0","99","40","1","21","1","0","0","162","450","Romeo Dallaire Public School"
"001","AJAX--PICKERING","113","U","AJAX","1","55","39","4","23","0","0","0","122","404","Romeo Dallaire Public School"
"001","AJAX--PICKERING","114","U","AJAX","2","81","35","2","18","1","0","0","139","503","Romeo Dallaire Public School"
"001","AJAX--PICKERING","115","U","AJAX","2","81","47","0","20","0","0","0","150","528","Romeo Dallaire Public School"
"001","AJAX--PICKERING","116A","U","AJAX","1","56","30","2","17","0","0","0","106","414","Romeo Dallaire Public School"
"001","AJAX--PICKERING","116B","U","AJAX","0","36","27","1","26","3","0","0","93","381","Romeo Dallaire Public School"
"001","AJAX--PICKERING","117","U","AJAX","2","93","42","1","28","1","0","0","167","571","Romeo Dallaire Public School"
"001","AJAX--PICKERING","118","U","PICKERING","3","45","30","4","29","0","0","0","111","444","Pickering Recreation Complex"
"001","AJAX--PICKERING","119","U","PICKERING","2","53","19","1","14","0","0","0","89","269","Pickering Recreation Complex"
"001","AJAX--PICKERING","120","U","PICKERING","3","106","74","6","29","0","0","2","220","594","Pickering Recreation Complex"
"001","AJAX--PICKERING","121","U","PICKERING","0","84","56","5","36","0","0","0","181","537","Pickering Recreation Complex"
"001","AJAX--PICKERING","122","U","PICKERING","2","46","42","4","18","1","0","0","113","439","Pickering Recreation Complex"
"001","AJAX--PICKERING","123","U","PICKERING","2","81","32","3","26","1","0","0","145","432","Pickering Recreation Complex"
"001","AJAX--PICKERING","124","U","PICKERING","5","70","64","2","23","0","0","0","164","472","Pickering Recreation Complex"
"001","AJAX--PICKERING","125","U","PICKERING","0","44","32","3","21","0","0","0","100","398","Pickering Recreation Complex"
"001","AJAX--PICKERING","126","U","PICKERING","2","45","32","2","14","1","1","0","97","423","Pickering Recreation Complex"
"001","AJAX--PICKERING","127","U","PICKERING","0","58","16","4","20","1","0","0","99","404","Pickering Recreation Complex"
"001","AJAX--PICKERING","128","U","AJAX","1","43","21","5","20","0","0","0","90","330","Forest Brook Community Church"
"001","AJAX--PICKERING","129","U","AJAX","0","97","60","4","15","0","1","1","178","428","Forest Brook Community Church"
"001","AJAX--PICKERING","130","U","AJAX","0","74","66","3","22","0","1","0","166","371","Forest Brook Community Church"
"001","AJAX--PICKERING","131","U","AJAX","1","59","60","6","16","0","0","0","142","349","Forest Brook Community Church"
"001","AJAX--PICKERING","132","U","AJAX","0","72","64","5","30","1","0","0","172","453","Forest Brook Community Church"
"001","AJAX--PICKERING","133","U","AJAX","1","94","90","9","26","0","0","0","220","445","Roland Michener Public School"
"001","AJAX--PICKERING","134","U","AJAX","0","91","43","1","19","1","0","1","156","365","Roland Michener Public School"
"001","AJAX--PICKERING","135","U","AJAX","2","67","42","1","21","0","0","1","134","402","Roland Michener Public School"
"001","AJAX--PICKERING","136","U","AJAX","0","85","65","3","44","1","0","0","198","486","Roland Michener Public School"
"001","AJAX--PICKERING","137","U","AJAX","3","94","40","0","29","0","0","0","166","445","Lord Elgin Public School"
"001","AJAX--PICKERING","138","U","AJAX","2","57","59","1","41","0","0","0","160","436","Lord Elgin Public School"
"001","AJAX--PICKERING","139","U","AJAX","0","65","49","0","23","1","0","0","138","425","Lord Elgin Public School"
"001","AJAX--PICKERING","140","U","AJAX","0","70","53","1","42","0","0","1","167","416","Lord Elgin Public School"
"001","AJAX--PICKERING","141","U","AJAX","1","68","55","2","23","0","0","2","151","389","Lord Elgin Public School"
"001","AJAX--PICKERING","142","U","AJAX","0","68","61","4","25","0","0","2","160","379","Lord Elgin Public School"
"001","AJAX--PICKERING","143","U","AJAX","1","82","52","6","28","0","0","0","169","444","Lord Elgin Public School"
"001","AJAX--PICKERING","144","U","AJAX","1","67","62","8","36","2","1","0","177","472","Lord Elgin Public School"
"001","AJAX--PICKERING","145","U","AJAX","0","54","45","5","24","0","0","0","128","398","Cadarackque Public School"
"001","AJAX--PICKERING","146","U","AJAX","1","95","69","6","35","2","0","0","208","464","Cadarackque Public School"
"001","AJAX--PICKERING","147","U","AJAX","1","67","60","5","32","0","0","0","165","418","Cadarackque Public School"
"001","AJAX--PICKERING","148","U","AJAX","1","94","69","7","47","1","0","0","219","478","Cadarackque Public School"
"001","AJAX--PICKERING","149A","U","AJAX","0","62","19","7","32","0","0","0","120","439","Carruthers Marsh Community Hall"
"001","AJAX--PICKERING","149B","U","AJAX","2","69","36","5","27","0","0","0","139","453","Carruthers Marsh Community Hall"
"001","AJAX--PICKERING","150","U","AJAX","2","94","101","6","20","0","0","0","223","440","Carruthers Marsh Community Hall"
"001","AJAX--PICKERING","151","U","AJAX","1","105","44","3","23","1","0","0","177","387","Carruthers Marsh Community Hall"
"001","AJAX--PICKERING","152","U","AJAX","0","109","51","3","15","0","0","2","180","382","Carruthers Marsh Community Hall"
"001","AJAX--PICKERING","153","U","AJAX","4","112","88","4","32","1","0","0","241","420","Carruthers Marsh Community Hall"
"001","AJAX--PICKERING","154","U","AJAX","1","101","66","3","27","0","0","0","198","400","Carruthers Marsh Community Hall"
"001","AJAX--PICKERING","155","U","AJAX","2","104","44","1","14","0","0","0","165","370","Carruthers Marsh Community Hall"
"001","AJAX--PICKERING","156","U","AJAX","2","67","82","4","19","0","0","0","174","379","Carruthers Creek Public School"
"001","AJAX--PICKERING","157","U","AJAX","1","70","59","3","21","0","0","0","154","373","Carruthers Creek Public School"
"001","AJAX--PICKERING","158","U","AJAX","1","64","42","7","39","2","1","0","156","418","Carruthers Creek Public School"
"001","AJAX--PICKERING","159","U","AJAX","1","94","62","5","28","0","0","0","190","480","Carruthers Creek Public School"
"001","AJAX--PICKERING","160","U","AJAX","1","69","74","6","21","0","0","0","171","366","Carruthers Creek Public School"
"001","AJAX--PICKERING","161","U","AJAX","0","93","64","6","27","0","0","0","190","417","Carruthers Creek Public School"
"001","AJAX--PICKERING","162","U","AJAX","2","103","49","7","22","1","0","0","184","461","Carruthers Creek Public School"
"001","AJAX--PICKERING","163","U","AJAX","0","55","38","2","24","0","0","0","119","383","Carruthers Creek Public School"
"001","AJAX--PICKERING","164","U","AJAX","0","63","49","3","19","0","0","0","134","369","St. Bernadette Catholic School"
"001","AJAX--PICKERING","165","U","AJAX","0","47","45","4","27","1","0","0","124","364","St. Andrew's Community Centre"
"001","AJAX--PICKERING","166","U","AJAX","1","98","69","2","20","1","1","1","193","451","St. Andrew's Community Centre"
"001","AJAX--PICKERING","167","U","AJAX","1","93","65","7","35","1","0","0","202","465","St. Andrew's Community Centre"
"001","AJAX--PICKERING","168","U","AJAX","2","61","49","3","42","2","0","0","159","432","St. Andrew's Community Centre"
"001","AJAX--PICKERING","169","U","AJAX","0","63","49","6","28","0","0","0","146","293","St. Andrew's Community Centre"
"001","AJAX--PICKERING","170","U","AJAX","0","56","50","8","25","0","1","0","140","438","St. Bernadette Catholic School"
"001","AJAX--PICKERING","171","U","AJAX","0","49","50","2","23","0","0","0","124","380","St. Bernadette Catholic School"
"001","AJAX--PICKERING","172","U","AJAX","1","68","44","6","27","0","0","0","146","410","St. Bernadette Catholic School"
"001","AJAX--PICKERING","173","U","AJAX","0","50","30","0","8","0","0","0","88","202","Southwood Park Public School"
"001","AJAX--PICKERING","174","U","AJAX","0","53","67","6","26","0","0","0","152","403","Southwood Park Public School"
"001","AJAX--PICKERING","175","U","AJAX","0","116","91","2","33","0","0","0","242","494","Southwood Park Public School"
"001","AJAX--PICKERING","176","U","AJAX","1","84","75","4","38","0","1","0","203","477","Southwood Park Public School"
"001","AJAX--PICKERING","177","U","AJAX","0","104","80","5","29","0","0","0","218","471","Southwood Park Public School"
"001","AJAX--PICKERING","178","U","AJAX","1","93","70","2","25","0","3","0","194","424","Southwood Park Public School"
"001","AJAX--PICKERING","179","U","AJAX","0","106","81","8","33","0","0","0","228","456","Southwood Park Public School"
"001","AJAX--PICKERING","180","U","AJAX","0","79","101","7","25","2","0","0","214","433","Southwood Park Public School"
"001","AJAX--PICKERING","181","U","AJAX","0","68","71","5","57","0","0","0","201","529","St. James Catholic School"
"001","AJAX--PICKERING","182","U","AJAX","1","85","65","3","41","1","0","0","196","416","St. James Catholic School"
"001","AJAX--PICKERING","183","U","AJAX","2","111","88","6","18","0","0","0","225","405","Duffin's Bay Public School"
"001","AJAX--PICKERING","184","U","AJAX","0","145","106","6","50","0","0","1","308","655","St. James Catholic School"
"001","AJAX--PICKERING","185","U","AJAX","0","116","94","7","31","1","0","0","249","462","St. James Catholic School"
"001","AJAX--PICKERING","186","U","AJAX","2","71","71","5","24","0","0","0","173","436","Duffin's Bay Public School"
"001","AJAX--PICKERING","187","U","AJAX","2","60","50","4","43","0","1","0","160","382","Duffin's Bay Public School"
"001","AJAX--PICKERING","188","U","AJAX","1","89","75","8","30","0","0","0","203","566","St. James Catholic School"
"001","AJAX--PICKERING","189","U","AJAX","1","76","60","4","18","0","0","0","159","419","Lakeside Public School"
"001","AJAX--PICKERING","190","U","AJAX","1","95","68","6","27","0","0","0","197","472","Lakeside Public School"
"001","AJAX--PICKERING","191","U","AJAX","1","67","83","6","24","1","0","0","182","416","Duffin's Bay Public School"
"001","AJAX--PICKERING","192","U","AJAX","2","95","91","6","24","0","0","0","218","417","Duffin's Bay Public School"
"001","AJAX--PICKERING","193","U","AJAX","0","107","104","3","33","1","0","0","248","453","Lakeside Public School"
"001","AJAX--PICKERING","194","U","AJAX","0","124","101","7","26","1","0","0","259","480","Lakeside Public School"
"001","AJAX--PICKERING","195","U","AJAX","1","109","92","5","22","0","1","0","230","419","Lakeside Public School"
"001","AJAX--PICKERING","196","U","AJAX","0","97","78","4","23","1","0","0","203","396","Lakeside Public School"
"001","AJAX--PICKERING","197","U","AJAX","1","65","63","4","21","1","0","1","156","416","Lakeside Public School"
"001","AJAX--PICKERING","198","U","AJAX","0","61","44","1","18","0","0","0","124","748","Forest Brook Community Church"
"001","AJAX--PICKERING","400","U","AJAX","3","56","28","2","25","1","1","0","116","194","Top of Westney"
"001","AJAX--PICKERING","401","U","PICKERING","2","22","26","2","16","0","0","0","68","144","1625 Pickering Parkway"
"001","AJAX--PICKERING","402","U","AJAX","0","56","45","1","23","2","0","1","128","175","Village Gardens"
"001","AJAX--PICKERING","403","U","AJAX","3","98","52","6","27","0","0","0","186","304","66 Falby Court"
"001","AJAX--PICKERING","404","U","AJAX","2","97","77","6","26","1","0","0","209","290","44 Falby Court"
"001","AJAX--PICKERING","405","U","AJAX","1","59","47","3","26","1","0","0","137","265","33 Falby Court"
"001","AJAX--PICKERING","406","U","AJAX","0","66","36","2","27","0","0","0","131","304","55 Falby Court"
"001","AJAX--PICKERING","407","U","AJAX","2","80","47","5","39","2","0","0","175","329","77 Falby Court"
"001","AJAX--PICKERING","700","U","PICKERING","0","17","17","2","8","0","0","0","44","109","Unity Village"
"001","AJAX--PICKERING","701","U","AJAX","0","13","5","1","4","0","0","0","23","88","Windbourne Park Long Term"
"001","AJAX--PICKERING","702","U","PICKERING","3","22","17","0","5","1","1","0","49","314","Village Retirement Centre"
"001","AJAX--PICKERING","703","U","PICKERING","2","44","31","0","11","1","0","0","89","163","Chartwell Senior Housing"
"001","AJAX--PICKERING","704","U","PICKERING","4","19","6","3","7","0","0","0","39","73","The Parkway Retirement Home"
"001","AJAX--PICKERING","705","U","AJAX","1","17","12","0","5","0","0","0","35","141","Ballycliffe Lodge"
"001","AJAX--PICKERING","706","U","AJAX","2","33","20","0","11","1","0","0","67","89","Ashley Manor"
"001","AJAX--PICKERING","707","U","AJAX","0","2","2","1","1","0","0","0","6","6","Rouge Valley Health"
"001","AJAX--PICKERING","708","U","AJAX","1","41","20","0","9","1","0","0","72","122","Harwood Manor Senior Building"
"001","AJAX--PICKERING","709","U","AJAX","2","23","30","0","11","0","1","0","67","85","Westwood Manor"
"001","AJAX--PICKERING","ADV001","U","AJAX","11","712","659","17","173","1","2","0","1575","0","Returning Office / Bureau du directeur du scrutin"
"001","AJAX--PICKERING","ADV002","U","AJAX","3","216","184","11","58","3","1","0","476","0","Special Ballot Voting / Vote par bulletin spécial"
"001","AJAX--PICKERING","ADV003","U","AJAX","2","158","183","3","54","0","0","0","400","0","Faithway Baptist College of Canada"
"001","AJAX--PICKERING","ADV004","U","AJAX","8","1131","877","32","235","4","0","0","2287","0","McLean Community Centre"
"001","AJAX--PICKERING","ADV005","U","PICKERING","8","529","416","24","146","3","1","0","1127","0","Pickering Recreation Complex"
"TOTALS:","","","","","299","19606","14718","843","5952","117","34","21","41590","92745",""
