"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CAUCHI","DE JONG","FIGUEROA","GHIWOT","JAGG","MARTINS","RUSSELL","SCHEIN","THOMPSON","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"015","DAVENPORT","015","U","TORONTO","1","3","0","0","0","91","14","64","0","0","0","0","173","445","Stella Maris Catholic School"
"015","DAVENPORT","016","U","TORONTO","0","4","1","0","1","121","29","79","0","0","0","0","235","639","Stella Maris Catholic School"
"015","DAVENPORT","017","U","TORONTO","0","2","0","0","0","59","9","46","1","0","0","0","117","350","St. Clare Catholic School"
"015","DAVENPORT","018","U","TORONTO","0","2","0","0","1","58","11","48","0","1","0","0","121","308","Rawlinson Community School"
"015","DAVENPORT","019","U","TORONTO","0","2","2","0","0","55","20","52","0","2","0","0","133","309","Rawlinson Community School"
"015","DAVENPORT","020","U","TORONTO","0","4","1","0","5","73","13","56","0","0","0","0","152","347","Oakwood Collegiate Institute"
"015","DAVENPORT","021","U","TORONTO","0","7","0","0","0","58","9","75","0","1","0","0","150","339","Oakwood Collegiate Institute"
"015","DAVENPORT","022","U","TORONTO","1","6","1","0","2","71","10","55","0","0","0","0","146","369","Oakwood Collegiate Institute"
"015","DAVENPORT","023","U","TORONTO","1","4","0","0","2","79","18","60","0","0","1","0","165","364","Rawlinson Community School"
"015","DAVENPORT","024","U","TORONTO","0","3","3","0","0","80","13","53","0","0","0","0","152","319","Rawlinson Community School"
"015","DAVENPORT","025","U","TORONTO","1","5","0","0","3","63","24","35","0","1","0","0","132","319","St. Clare Catholic School"
"015","DAVENPORT","026","U","TORONTO","1","1","1","1","2","86","20","49","0","3","0","0","164","395","Stella Maris Catholic School"
"015","DAVENPORT","027","U","TORONTO","0","3","0","1","2","82","12","77","0","0","0","0","177","399","J. J. Piccininni Community Centre"
"015","DAVENPORT","028","U","TORONTO","1","4","0","1","2","132","29","62","0","0","0","0","231","613","St. Nicholas of Bari Catholic School"
"015","DAVENPORT","029","U","TORONTO","1","1","0","0","0","60","9","40","0","1","1","0","113","329","Carlton Village Public School"
"015","DAVENPORT","030","U","TORONTO","3","5","0","0","1","85","18","96","1","0","0","0","209","614","General Mercer Public School"
"015","DAVENPORT","031","U","TORONTO","3","3","2","0","1","117","19","76","1","0","2","0","224","637","General Mercer Public School"
"015","DAVENPORT","032","U","TORONTO","2","4","4","0","1","82","16","72","0","2","0","0","183","439","General Mercer Public School"
"015","DAVENPORT","033","U","TORONTO","1","3","1","0","0","33","5","60","0","0","1","0","104","357","Carlton Village Public School"
"015","DAVENPORT","034","U","TORONTO","1","4","0","0","1","73","10","56","1","0","0","0","146","427","Carlton Village Public School"
"015","DAVENPORT","035","U","TORONTO","0","3","0","0","0","74","8","34","1","2","0","0","122","317","J. J. Piccininni Community Centre"
"015","DAVENPORT","036","U","TORONTO","1","3","0","1","0","85","21","52","0","1","0","0","164","351","J. J. Piccininni Community Centre"
"015","DAVENPORT","037","U","TORONTO","0","1","1","0","0","71","12","38","0","0","0","0","123","314","J. J. Piccininni Community Centre"
"015","DAVENPORT","038","U","TORONTO","0","5","4","0","0","72","11","68","1","1","0","0","162","423","Stella Maris Catholic School"
"015","DAVENPORT","039","U","TORONTO","1","2","1","1","2","113","22","86","1","3","0","1","233","586","St. Clare Catholic School"
"015","DAVENPORT","040","U","TORONTO","0","3","1","0","0","65","6","66","0","0","0","0","141","299","St. Clare Catholic School"
"015","DAVENPORT","041","U","TORONTO","0","2","1","0","1","59","15","61","0","0","0","0","139","330","Rawlinson Community School"
"015","DAVENPORT","042","U","TORONTO","0","0","0","0","0","51","6","55","0","1","0","0","113","312","Rawlinson Community School"
"015","DAVENPORT","043","U","TORONTO","0","8","0","0","4","66","16","104","0","0","0","0","198","457","Oakwood Collegiate Institute"
"015","DAVENPORT","044","U","TORONTO","1","12","1","0","0","85","16","112","1","0","0","0","228","554","Oakwood Collegiate Institute"
"015","DAVENPORT","045","U","TORONTO","1","0","0","0","1","77","7","124","0","3","0","0","213","463","Regal Road Public School"
"015","DAVENPORT","046","U","TORONTO","0","4","0","0","1","53","17","68","0","0","1","0","144","304","Regal Road Public School"
"015","DAVENPORT","047","U","TORONTO","1","0","1","0","2","83","26","94","1","0","0","0","208","499","Regal Road Public School"
"015","DAVENPORT","048","U","TORON TO","1","3","0","0","0","85","3","71","0","0","0","0","163","434","Loretto College Catholic School"
"015","DAVENPORT","049","U","TORON TO","3","4","1","0","2","86","13","60","0","1","5","0","175","388","Loretto College Catholic School"
"015","DAVENPORT","050","U","TORONTO","0","3","0","1","0","77","13","67","0","1","0","0","162","442","J. J. Piccininni Community Centre"
"015","DAVENPORT","051","U","TORONTO","1","2","2","0","0","102","9","61","2","2","0","0","181","452","J. J. Piccininni Community Centre"
"015","DAVENPORT","052","U","TORONTO","1","5","1","0","1","103","21","99","2","0","0","1","234","605","Davenport Perth Neighbourhood Centre"
"015","DAVENPORT","053","U","TORONTO","0","4","3","0","0","92","24","88","0","0","0","0","211","539","Carlton Village Public School"
"015","DAVENPORT","054","U","TORONTO","0","2","4","0","4","114","24","105","1","2","0","0","256","627","Carlton Village Public School"
"015","DAVENPORT","055","U","TORONTO","0","5","1","0","1","63","17","111","0","0","0","0","198","527","Carlton Village Public School"
"015","DAVENPORT","056","U","TORON TO","0","1","1","0","3","125","28","122","3","0","0","0","283","567","Loretto College Catholic School"
"015","DAVENPORT","057","U","TORONTO","1","7","3","0","0","57","19","84","0","0","0","0","171","291","Regal Road Public School"
"015","DAVENPORT","058","U","TORONTO","1","5","0","0","0","73","5","98","0","0","0","0","182","465","Regal Road Public School"
"015","DAVENPORT","059","U","TORONTO","0","3","0","1","1","54","7","84","0","3","0","0","153","401","St. Mary of the Angels Catholic School"
"015","DAVENPORT","060","U","TORONTO","0","2","0","0","2","111","19","112","0","0","1","2","249","664","St. Mary of the Angels Catholic School"
"015","DAVENPORT","061","U","TORONTO","1","5","0","0","3","127","15","120","0","2","1","0","274","573","St. Mary of the Angels Catholic School"
"015","DAVENPORT","062","U","TORONTO","1","2","0","0","0","76","6","61","1","1","1","0","149","335","St. Mary of the Angels Catholic School"
"015","DAVENPORT","063","U","TORONTO","0","2","0","0","0","58","18","41","0","0","0","0","119","308","St. Mary of the Angels Catholic School"
"015","DAVENPORT","064","U","TORONTO","0","1","2","0","2","68","8","62","0","0","2","0","145","374","Regal Road Public School"
"015","DAVENPORT","065","U","TORONTO","0","3","0","0","2","83","21","62","0","1","0","0","172","552","Wallace Emerson Community Centre"
"015","DAVENPORT","066","U","TORONTO","0","5","0","0","0","107","20","152","0","1","0","0","285","882","Davenport Perth Neighbourhood Centre"
"015","DAVENPORT","067","U","TORONTO","0","4","1","0","2","65","7","48","0","0","0","0","127","298","Davenport Perth Neighbourhood Centre"
"015","DAVENPORT","068","U","TORONTO","0","5","0","2","4","102","23","92","0","0","1","0","229","580","Davenport Perth Neighbourhood Centre"
"015","DAVENPORT","069","U","TORONTO","0","6","1","0","6","75","22","86","1","0","0","0","197","447","St. Rita Catholic School"
"015","DAVENPORT","070","U","TORONTO","0","9","0","0","2","84","21","163","2","1","0","0","282","624","St. Luigi Catholic School"
"015","DAVENPORT","071","U","TORONTO","1","5","1","0","3","83","10","88","0","0","0","0","191","487","St. Rita Catholic School"
"015","DAVENPORT","072","U","TORONTO","0","7","0","0","3","88","19","112","1","0","1","0","231","704","Wallace Emerson Community Centre"
"015","DAVENPORT","073","U","TORONTO","0","1","2","0","2","74","7","57","0","0","0","0","143","343","Dovercourt Junior Public School"
"015","DAVENPORT","074","U","TORONTO","1","8","2","0","3","94","15","119","0","0","0","0","242","469","Dovercourt Junior Public School"
"015","DAVENPORT","075","U","TORONTO","0","7","0","0","1","71","17","74","0","4","0","0","174","388","Dovercourt Junior Public School"
"015","DAVENPORT","076","U","TORONTO","0","12","0","0","1","39","8","56","1","0","1","0","118","350","Dovercourt Junior Public School"
"015","DAVENPORT","077","U","TORONTO","0","4","1","0","0","67","10","86","0","0","2","0","170","431","Dovercourt Junior Public School"
"015","DAVENPORT","078","U","TORONTO","3","8","3","0","0","81","15","93","0","2","1","0","206","474","Dovercourt Boys and Girls Club"
"015","DAVENPORT","079","U","TORONTO","0","11","1","1","0","76","13","116","0","1","0","0","219","448","Dovercourt Boys and Girls Club"
"015","DAVENPORT","080","U","TORONTO","0","9","4","0","0","61","13","79","0","2","0","0","168","377","Dovercourt Boys and Girls Club"
"015","DAVENPORT","081","U","TORONTO","0","3","1","0","2","61","17","116","0","0","0","0","200","384","Dovercourt Boys and Girls Club"
"015","DAVENPORT","082","U","TORONTO","1","6","0","0","0","62","15","105","1","0","0","0","190","328","St. Anthony Catholic School"
"015","DAVENPORT","083","U","TORONTO","0","8","0","0","3","98","25","120","3","2","0","1","260","600","St. Anthony Catholic School"
"015","DAVENPORT","084","U","TORONTO","0","2","1","0","1","59","9","39","1","4","3","0","119","327","Wallace Emerson Community Centre"
"015","DAVENPORT","085","U","TORONTO","1","4","0","0","2","69","7","47","0","0","0","0","130","319","Wallace Emerson Community Centre"
"015","DAVENPORT","086","U","TORONTO","1","14","1","0","0","113","24","93","1","0","3","0","250","625","Wallace Emerson Community Centre"
"015","DAVENPORT","087","U","TORONTO","0","8","0","0","1","111","24","102","0","1","0","0","247","683","Christie Ossington Neighbourhood Centre"
"015","DAVENPORT","088","U","TORONTO","3","2","1","0","0","75","12","77","0","1","0","0","171","392","St. Luigi Catholic School"
"015","DAVENPORT","089","U","TORONTO","1","4","0","0","1","77","16","124","0","1","0","0","224","445","St. Luigi Catholic School"
"015","DAVENPORT","090","U","TORONTO","1","6","3","1","1","159","10","200","2","1","0","0","384","750","Perth Ave Cooperative"
"015","DAVENPORT","091","U","TORONTO","1","14","2","0","0","118","24","113","0","1","0","0","273","605","Perth Ave Cooperative"
"015","DAVENPORT","092","U","TORONTO","0","7","0","0","1","64","25","118","2","0","1","1","219","498","Perth Ave Cooperative"
"015","DAVENPORT","093","U","TORONTO","2","10","2","0","3","78","11","122","1","1","0","0","230","661","St. Sebastian Elementary School"
"015","DAVENPORT","094","U","TORONTO","0","8","2","1","2","53","7","56","2","2","0","1","134","368","St. Sebastian Elementary School"
"015","DAVENPORT","095","U","TORONTO","0","8","0","0","2","63","5","94","0","0","0","0","172","363","St. Sebastian Elementary School"
"015","DAVENPORT","096","U","TORONTO","0","10","0","0","0","53","13","80","0","1","0","0","157","388","St. Sebastian Elementary School"
"015","DAVENPORT","097","U","TORONTO","0","7","1","0","3","77","19","83","1","0","0","0","191","430","St. Sebastian Elementary School"
"015","DAVENPORT","098","U","TORONTO","3","12","0","0","4","60","15","79","1","1","0","0","175","444","St. Sebastian Elementary School"
"015","DAVENPORT","099","U","TORONTO","0","1","0","0","2","56","11","68","1","0","0","0","139","310","St. Anthony Catholic School"
"015","DAVENPORT","100","U","TORONTO","1","4","0","0","3","51","12","76","1","0","0","2","150","341","St. Anthony Catholic School"
"015","DAVENPORT","101","U","TORONTO","0","11","2","0","0","79","13","117","1","1","0","0","224","511","Salvation Army Bloor Central Corps"
"015","DAVENPORT","102","U","TORONTO","0","8","2","1","2","70","11","114","1","2","0","0","211","409","Salvation Army Bloor Central Corps"
"015","DAVENPORT","103","U","TORONTO","0","14","1","0","0","55","11","95","1","1","0","0","178","516","Brock Junior Public School"
"015","DAVENPORT","104","U","TORONTO","1","5","1","0","1","44","8","60","0","0","0","0","120","344","Brock Junior Public School"
"015","DAVENPORT","105","U","TORONTO","2","15","1","0","4","77","16","109","0","1","0","1","226","617","Brock Junior Public School"
"015","DAVENPORT","106","U","TORONTO","2","5","0","0","3","58","13","79","0","0","0","0","160","381","Bill McMurray Residences"
"015","DAVENPORT","107","U","TORONTO","1","9","0","1","6","116","18","118","0","1","0","0","270","725","Brock Junior Public School"
"015","DAVENPORT","108","U","TORONTO","0","10","0","0","2","131","17","133","0","1","1","0","295","727","Brock Junior Public School"
"015","DAVENPORT","109","U","TORONTO","0","8","3","0","3","131","14","116","0","0","0","0","275","654","St. Helen Catholic School"
"015","DAVENPORT","110","U","TORONTO","0","4","0","0","3","46","14","77","1","4","0","0","149","344","St. Helen Catholic School"
"015","DAVENPORT","111","U","TORONTO","0","6","2","0","8","84","8","100","0","1","0","0","209","489","St. Helen Catholic School"
"015","DAVENPORT","112","U","TORONTO","0","11","1","1","2","83","11","124","0","2","0","1","236","522","St. Mary's Catholic School"
"015","DAVENPORT","113","U","TORONTO","0","11","2","0","2","108","8","132","1","0","0","1","265","531","St. Mary's Catholic School"
"015","DAVENPORT","114","U","TORONTO","0","8","0","0","0","101","6","159","1","1","0","0","276","499","Portugese Speaking Presbyterian Church"
"015","DAVENPORT","115","U","TORONTO","0","3","0","0","0","87","6","138","0","0","0","0","234","433","Portugese Speaking Presbyterian Church"
"015","DAVENPORT","116","U","TORONTO","0","5","1","0","0","12","63","126","0","1","0","0","208","483","Portugese Speaking Presbyterian Church"
"015","DAVENPORT","117","U","TORONTO","1","7","1","0","2","63","10","136","0","0","0","0","220","550","Portugese Speaking Presbyterian Church"
"015","DAVENPORT","118","U","TORONTO","0","1","0","0","2","62","12","121","0","0","1","0","199","510","Ossington Old Orchard Public School"
"015","DAVENPORT","119","U","TORONTO","0","6","0","0","0","71","19","121","0","0","0","0","217","494","Ossington Old Orchard Public School"
"015","DAVENPORT","120","U","TORONTO","1","4","1","0","1","58","11","92","1","0","0","0","169","382","St. Mary's Catholic School"
"015","DAVENPORT","121","U","TORONTO","0","8","1","0","0","87","14","142","0","0","0","0","252","558","St. Mary's Catholic School"
"015","DAVENPORT","122","U","TORONTO","0","6","0","1","5","102","14","130","1","0","0","0","259","604","Shirley Street Public School"
"015","DAVENPORT","123","U","TORONTO","1","9","0","0","4","96","19","128","0","0","0","0","257","731","Bill McMurray Residences"
"015","DAVENPORT","124","U","TORONTO","1","9","1","0","0","43","10","62","0","2","0","0","128","425","Mary McCormick Recreation Centre"
"015","DAVENPORT","125","U","TORONTO","0","4","2","0","2","99","7","106","1","1","0","0","222","600","Mary McCormick Recreation Centre"
"015","DAVENPORT","126","U","TORONTO","0","6","1","0","1","88","12","114","1","2","0","0","225","504","St. Christopher House"
"015","DAVENPORT","127","U","TORONTO","0","8","1","0","1","75","10","116","0","1","0","1","213","495","Ossington Old Orchard Public School"
"015","DAVENPORT","128","U","TORONTO","1","5","2","1","4","96","13","118","0","1","0","0","241","617","St. Christopher House"
"015","DAVENPORT","129","U","TORONTO","0","8","3","0","0","49","10","69","0","0","0","0","139","361","St. Christopher House"
"015","DAVENPORT","130","U","TORONTO","0","3","0","0","0","82","9","73","0","0","0","0","167","389","Alexander Muir/Gladstone Ave Jr & Sr Public School"
"015","DAVENPORT","131","U","TORONTO","1","2","1","0","0","79","16","77","0","0","0","0","176","387","Alexander Muir/Gladstone Ave Jr & Sr Public School"
"015","DAVENPORT","132","U","TORONTO","1","2","1","0","3","43","8","69","0","0","0","0","127","325","Mary McCormick Recreation Centre"
"015","DAVENPORT","133","U","TORONTO","1","5","3","0","0","75","9","82","1","2","0","0","178","456","Shirley Street Public School"
"015","DAVENPORT","134","U","TORONTO","1","8","0","0","2","41","6","71","0","1","0","0","130","341","Shirley Street Public School"
"015","DAVENPORT","135","U","TORONTO","0","5","2","0","1","52","5","81","2","0","0","0","148","333","Shirley Street Public School"
"015","DAVENPORT","136","U","TORONTO","0","3","1","1","2","29","5","107","0","1","0","0","149","308","Shirley Street Public School"
"015","DAVENPORT","137","U","TORONTO","0","3","1","0","1","78","10","54","0","0","0","0","147","378","Shirley Street Public School"
"015","DAVENPORT","138","U","TORONTO","0","5","1","0","2","48","8","55","0","1","0","0","120","323","Alexander Muir/Gladstone Ave Jr & Sr Public School"
"015","DAVENPORT","139","U","TORONTO","1","6","0","1","1","77","6","60","0","0","0","0","152","341","Alexander Muir/Gladstone Ave Jr & Sr Public School"
"015","DAVENPORT","140","U","TORONTO","0","11","0","0","0","84","9","79","0","1","0","0","184","446","Alexander Muir/Gladstone Ave Jr & Sr Public School"
"015","DAVENPORT","141","U","TORONTO","0","9","0","0","0","96","20","76","1","2","0","0","204","479","Alexander Muir/Gladstone Ave Jr & Sr Public School"
"015","DAVENPORT","142","U","TORONTO","0","6","1","0","2","103","17","154","0","2","0","0","285","640","Alexander Muir/Gladstone Ave Jr & Sr Public School"
"015","DAVENPORT","400","U","TORONTO","0","0","0","0","5","35","15","46","0","1","0","0","102","205","Oakclair Apartments"
"015","DAVENPORT","401","U","TORONTO","1","2","3","0","6","72","12","87","1","5","0","0","189","447","61 Pelham Park Gardens"
"015","DAVENPORT","402","U","TORONTO","2","5","1","4","3","50","16","51","1","2","0","0","135","358","730 St. Clarens Avenue Apartments"
"015","DAVENPORT","403","U","TORONTO","0","3","0","1","0","35","11","34","0","0","0","0","84","298","1011 Lansdowne Avenue"
"015","DAVENPORT","404","U","TORONTO","0","3","0","0","0","28","2","38","0","0","0","0","71","234","Standard Lofts 1401 Dupont"
"015","DAVENPORT","405","U","TORONTO","2","6","5","2","3","84","19","68","2","0","5","0","196","367","Rankin Street Apartments"
"015","DAVENPORT","406","U","TORONTO","0","6","1","0","1","62","6","71","1","1","0","0","149","345","357 Rusholme Road"
"015","DAVENPORT","407","U","TORONTO","0","11","5","0","0","85","10","74","0","0","0","0","185","464","323 Rusholme Road"
"015","DAVENPORT","408","U","TORONTO","0","3","3","0","2","51","11","75","0","0","0","0","145","281","730 Dovercourt Road"
"015","DAVENPORT","409","U","TORONTO","1","0","0","0","1","32","4","39","3","2","0","0","82","167","Villa Las Flores Non-Profit Housing"
"015","DAVENPORT","410","U","TORONTO","2","2","2","1","2","74","5","14","2","2","4","0","110","179","Terra Nova Senior Citizens Building"
"015","DAVENPORT","700","U","TORONTO","0","0","1","0","0","10","11","17","1","0","0","0","40","99","New Horizons Tower"
"015","DAVENPORT","701","U","TORONTO","1","2","1","2","0","18","7","6","2","1","0","0","40","97","Bill McMurray Residences"
"015","DAVENPORT","702","U","TORONTO","0","0","0","0","0","6","4","5","0","0","0","0","15","75","Fairview Nursing Home"
"015","DAVENPORT","ADV001","U","TORONTO","1","16","7","1","4","229","60","419","2","0","0","0","739","0","Returning Office / Bureau du directeur du scrutin"
"015","DAVENPORT","ADV002","U","TORONTO","1","9","1","0","1","151","31","222","2","0","0","0","418","0","Special Ballot Voting / Vote par bulletin spécial"
"015","DAVENPORT","ADV003","U","TORONTO","5","26","2","1","10","332","73","518","3","0","0","0","970","0","Wallace Emerson Community Centre"
"015","DAVENPORT","ADV004","U","TORONTO","1","9","4","1","1","213","54","156","0","0","0","0","439","0","J. J. Piccininni Community Centre"
"015","DAVENPORT","ADV005","U","TORONTO","1","16","1","0","3","167","31","319","1","0","0","0","539","0","Mary McCormick Recreation Centre"
"TOTALS:","","","","","96","855","163","33","250","12953","2480","14367","82","118","47","13","31457","68998",""
