"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AHMED","FOGEL","GRANT","MARCHESE","OCRAN-CAESAR","THOMSON","URSOMARZO","YEN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"096","TRINITY--SPADINA","028","U","TORONTO","1","0","25","129","0","135","0","25","0","2","0","317","627","Walmer Road Baptist Church"
"096","TRINITY--SPADINA","029","U","TORONTO","0","1","13","109","0","64","0","12","0","0","0","199","522","Native Canadian Centre"
"096","TRINITY--SPADINA","030","U","TORONTO","0","1","12","85","0","57","0","10","0","0","0","165","480","Native Canadian Centre"
"096","TRINITY--SPADINA","031","U","TORONTO","0","0","8","99","1","110","0","30","1","2","0","251","561","Friends' House"
"096","TRINITY--SPADINA","032","U","TORONTO","0","0","10","58","0","65","1","12","0","0","0","146","385","Friends' House"
"096","TRINITY--SPADINA","033","U","TORONTO","0","0","11","50","0","46","1","9","0","0","0","117","366","Friends' House"
"096","TRINITY--SPADINA","034","U","TORONTO","0","1","7","57","0","72","0","7","0","0","1","145","478","Church of the Messiah"
"096","TRINITY--SPADINA","035","U","TORONTO","1","0","10","79","0","82","0","25","0","0","1","198","538","Church of the Messiah"
"096","TRINITY--SPADINA","036","U","TORONTO","0","0","7","67","0","76","0","13","0","0","0","163","425","Church of the Messiah"
"096","TRINITY--SPADINA","037","U","TORONTO","1","0","11","62","0","125","0","42","0","1","0","242","534","Church of the Messiah"
"096","TRINITY--SPADINA","038","U","TORONTO","1","1","2","66","0","54","0","10","0","1","0","135","418","Church of the Messiah"
"096","TRINITY--SPADINA","039","U","TORONTO","0","0","6","51","0","127","0","37","0","0","0","221","529","Church of the Messiah"
"096","TRINITY--SPADINA","040","U","TORONTO","0","1","9","33","0","105","1","45","0","1","1","196","437","Friends' House"
"096","TRINITY--SPADINA","041","U","TORONTO","0","1","9","73","1","82","0","30","0","0","0","196","440","Friends' House"
"096","TRINITY--SPADINA","042","U","TORONTO","0","0","6","55","0","149","1","67","0","1","0","279","504","Ontario Institue For Studies In Education"
"096","TRINITY--SPADINA","043","U","TORONTO","0","1","9","117","3","56","1","15","2","0","0","204","498","The Bickford Centre"
"096","TRINITY--SPADINA","044","U","TORONTO","2","0","7","100","0","42","0","7","1","0","1","160","389","The Bickford Centre"
"096","TRINITY--SPADINA","045","U","TORONTO","1","0","7","78","0","38","0","21","0","0","0","145","362","The Bickford Centre"
"096","TRINITY--SPADINA","046","U","TORONTO","0","1","20","104","0","62","0","9","0","0","1","197","386","The Bickford Centre"
"096","TRINITY--SPADINA","047","U","TORONTO","2","0","10","134","1","58","1","12","0","1","0","219","515","The Bickford Centre"
"096","TRINITY--SPADINA","048","U","TORONTO","0","0","10","100","2","58","0","14","0","0","0","184","491","The Bickford Centre"
"096","TRINITY--SPADINA","049","U","TORONTO","1","1","9","67","2","36","0","7","0","0","0","123","300","The Bickford Centre"
"096","TRINITY--SPADINA","050","U","TORONTO","0","0","18","102","0","55","1","6","1","0","0","183","479","The Bickford Centre"
"096","TRINITY--SPADINA","051","U","TORONTO","0","0","11","91","0","66","1","13","0","1","0","183","562","The Bickford Centre"
"096","TRINITY--SPADINA","052","U","TORONTO","2","0","13","74","0","86","0","12","1","0","0","188","474","College Street United Church"
"096","TRINITY--SPADINA","053","U","TORONTO","2","0","7","66","0","34","1","11","0","0","1","122","370","College Street United Church"
"096","TRINITY--SPADINA","054","U","TORONTO","0","0","20","83","0","53","1","14","0","0","0","171","371","College Street United Church"
"096","TRINITY--SPADINA","055","U","TORONTO","0","0","26","95","0","92","0","19","0","1","0","233","551","College Street United Church"
"096","TRINITY--SPADINA","056","U","TORONTO","0","3","15","96","2","64","0","5","1","0","0","186","498","College Street United Church"
"096","TRINITY--SPADINA","057","U","TORONTO","0","0","8","92","1","63","1","10","0","0","0","175","403","College Street United Church"
"096","TRINITY--SPADINA","058","U","TORONTO","0","1","11","107","1","75","0","27","2","0","0","224","564","Montrose Junior Public School"
"096","TRINITY--SPADINA","059","U","TORONTO","0","1","2","82","0","59","0","6","0","0","0","150","382","Montrose Junior Public School"
"096","TRINITY--SPADINA","060","U","TORONTO","1","2","5","150","0","84","1","11","1","0","0","255","508","Montrose Junior Public School"
"096","TRINITY--SPADINA","061","U","TORONTO","1","1","7","116","0","70","0","9","0","0","0","204","465","Montrose Junior Public School"
"096","TRINITY--SPADINA","062","U","TORONTO","0","0","5","129","0","53","0","18","0","0","0","205","578","Montrose Junior Public School"
"096","TRINITY--SPADINA","063","U","TORONTO","1","0","5","154","0","66","0","23","3","0","0","252","549","St. Luke Catholic School"
"096","TRINITY--SPADINA","064","U","TORONTO","2","0","6","115","0","84","0","16","1","0","0","224","527","St. Luke Catholic School"
"096","TRINITY--SPADINA","065","U","TORONTO","1","0","14","90","3","64","2","15","0","0","0","189","467","St. Luke Catholic School"
"096","TRINITY--SPADINA","066","U","TORONTO","0","0","14","88","0","50","3","7","0","0","0","162","487","St. Luke Catholic School"
"096","TRINITY--SPADINA","067","U","TORONTO","0","0","3","77","1","60","0","7","0","1","0","149","423","St. Luke Catholic School"
"096","TRINITY--SPADINA","068","U","TORONTO","0","0","11","80","0","46","0","14","0","0","0","151","412","Charles G. Fraser Junior Public School"
"096","TRINITY--SPADINA","069","U","TORONTO","1","1","6","106","0","58","1","3","1","0","0","177","460","Charles G. Fraser Junior Public School"
"096","TRINITY--SPADINA","070","U","TORONTO","1","1","13","110","1","75","0","15","0","2","0","218","551","Charles G. Fraser Junior Public School"
"096","TRINITY--SPADINA","071","U","TORONTO","0","0","11","90","0","86","0","16","0","0","0","203","526","Charles G. Fraser Junior Public School"
"096","TRINITY--SPADINA","072","U","TORONTO","1","1","8","89","0","72","2","20","0","0","0","193","533","Charles G. Fraser Junior Public School"
"096","TRINITY--SPADINA","073","U","TORONTO","0","2","11","92","0","40","1","14","1","1","0","162","515","Ryerson Public School"
"096","TRINITY--SPADINA","074","U","TORONTO","0","1","6","101","2","44","1","29","1","0","0","185","527","Kensington Manor"
"096","TRINITY--SPADINA","075","U","TORONTO","0","1","8","89","0","55","0","8","1","0","0","162","424","King Edward Public School"
"096","TRINITY--SPADINA","076","U","TORONTO","0","0","31","92","1","70","0","18","1","0","0","213","514","King Edward Public School"
"096","TRINITY--SPADINA","077","U","TORONTO","0","0","14","59","0","35","1","5","0","0","0","114","319","Miles Nadal Jewish Community Centre"
"096","TRINITY--SPADINA","078","U","TORONTO","0","0","12","54","0","45","0","6","0","1","0","118","314","Miles Nadal Jewish Community Centre"
"096","TRINITY--SPADINA","079","U","TORONTO","0","0","16","52","0","36","0","11","1","0","0","116","311","Miles Nadal Jewish Community Centre"
"096","TRINITY--SPADINA","080","U","TORONTO","1","1","23","96","0","65","0","15","0","2","0","203","503","King Edward Public School"
"096","TRINITY--SPADINA","081","U","TORONTO","1","1","31","78","0","53","0","15","1","0","0","180","488","King Edward Public School"
"096","TRINITY--SPADINA","082","U","TORONTO","0","0","45","75","0","56","0","12","1","0","0","189","513","King Edward Public School"
"096","TRINITY--SPADINA","083","U","TORONTO","1","0","15","102","1","59","1","9","0","0","0","188","524","Kensington Manor"
"096","TRINITY--SPADINA","084","U","TORONTO","0","0","11","83","0","27","0","11","1","0","0","133","461","Ryerson Public School"
"096","TRINITY--SPADINA","085","U","TORONTO","1","1","9","110","1","51","0","7","1","1","0","182","496","Kensington Manor"
"096","TRINITY--SPADINA","086","U","TORONTO","0","0","15","83","0","54","0","15","0","0","0","167","586","Beverley Junior Public School"
"096","TRINITY--SPADINA","087","U","TORONTO","3","0","11","78","1","78","0","21","0","0","0","192","553","Beverley Junior Public School"
"096","TRINITY--SPADINA","088","U","TORONTO","0","3","13","94","0","71","1","12","0","1","0","195","488","Beverley Junior Public School"
"096","TRINITY--SPADINA","089","U","TORONTO","0","0","38","62","1","52","1","10","2","0","0","166","503","St. Vladimir Institute"
"096","TRINITY--SPADINA","090","U","TORONTO","0","0","26","106","1","92","1","17","1","0","0","244","556","Miles Nadal Jewish Community Centre"
"096","TRINITY--SPADINA","091","U","TORONTO","0","0","19","70","0","51","0","20","0","0","0","160","469","University of Toronto - Hart House"
"096","TRINITY--SPADINA","092","U","TORONTO","0","1","14","61","0","89","0","15","0","0","0","180","457","University of Toronto - Hart House"
"096","TRINITY--SPADINA","093","U","TORONTO","0","0","4","89","0","51","0","23","1","0","0","168","357","University of Toronto - Hart House"
"096","TRINITY--SPADINA","094","U","TORONTO","0","0","6","90","1","76","0","13","0","0","0","186","579","Housing Connections"
"096","TRINITY--SPADINA","095","U","TORONTO","2","0","6","82","0","40","1","12","1","0","0","144","480","Beverley Junior Public School"
"096","TRINITY--SPADINA","096","U","TORONTO","0","0","5","83","0","84","0","16","0","0","0","188","474","Senhor Santo Cristo Catholic School"
"096","TRINITY--SPADINA","097","U","TORONTO","1","1","10","112","0","66","2","20","0","0","0","212","490","Senhor Santo Cristo Catholic School"
"096","TRINITY--SPADINA","098","U","TORONTO","0","0","11","108","1","73","0","14","1","0","0","208","439","Senhor Santo Cristo Catholic School"
"096","TRINITY--SPADINA","099","U","TORONTO","0","1","9","71","0","52","0","11","0","0","0","144","418","Trinity Community Recreation Centre"
"096","TRINITY--SPADINA","100","U","TORONTO","2","1","15","81","0","76","1","25","2","0","0","203","530","Senhor Santo Cristo Catholic School"
"096","TRINITY--SPADINA","101","U","TORONTO","1","1","5","93","0","71","1","11","2","1","0","186","434","Trinity Community Recreation Centre"
"096","TRINITY--SPADINA","102","U","TORONTO","0","0","10","96","0","56","0","3","2","0","0","167","421","Trinity Community Recreation Centre"
"096","TRINITY--SPADINA","103","U","TORONTO","0","3","10","120","0","73","0","11","2","1","1","221","515","Charles G. Fraser Junior Public School"
"096","TRINITY--SPADINA","104","U","TORONTO","1","0","10","113","0","62","3","16","0","0","0","205","522","Charles G. Fraser Junior Public School"
"096","TRINITY--SPADINA","105","U","TORONTO","0","1","13","111","0","68","0","21","0","0","0","214","525","Charles G. Fraser Junior Public School"
"096","TRINITY--SPADINA","106","U","TORONTO","1","0","6","87","0","56","0","8","0","0","0","158","411","Charles G. Fraser Junior Public School"
"096","TRINITY--SPADINA","107","U","TORONTO","0","0","12","92","2","69","2","13","0","1","0","191","502","Charles G. Fraser Junior Public School"
"096","TRINITY--SPADINA","108","U","TORONTO","0","0","8","91","0","56","1","8","0","0","0","164","517","Charles G. Fraser Junior Public School"
"096","TRINITY--SPADINA","109","U","TORONTO","0","0","8","98","0","93","1","17","0","0","0","217","533","Ryerson Public School"
"096","TRINITY--SPADINA","110","U","TORONTO","0","1","7","114","0","55","0","17","1","1","0","196","527","Ryerson Public School"
"096","TRINITY--SPADINA","111","U","TORONTO","1","0","4","100","1","69","0","5","0","2","0","182","527","Ryerson Public School"
"096","TRINITY--SPADINA","112A","U","TORONTO","2","0","2","43","1","41","0","10","0","0","0","99","360","Ryerson Public School"
"096","TRINITY--SPADINA","112B","U","TORONTO","0","0","0","47","0","23","0","6","0","0","0","76","288","Ryerson Public School"
"096","TRINITY--SPADINA","113","U","TORONTO","1","0","9","69","1","52","2","30","0","1","0","165","517","University Settlement"
"096","TRINITY--SPADINA","114","U","TORONTO","0","0","7","90","0","80","0","14","1","1","0","193","520","University Settlement"
"096","TRINITY--SPADINA","115","U","TORONTO","0","0","5","48","2","57","0","19","0","0","0","131","438","University Settlement"
"096","TRINITY--SPADINA","116","U","TORONTO","0","0","4","22","0","19","0","3","0","0","0","48","128","University Settlement"
"096","TRINITY--SPADINA","117","U","TORONTO","0","0","8","67","0","63","1","19","0","2","1","161","474","Chestnut Residence"
"096","TRINITY--SPADINA","118","U","TORONTO","0","1","5","35","1","30","1","6","0","0","0","79","376","Chestnut Residence"
"096","TRINITY--SPADINA","119","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"096","TRINITY--SPADINA","120A","U","TORONTO","0","0","1","34","0","28","0","21","0","0","0","84","343","Metro Hall"
"096","TRINITY--SPADINA","120B","U","TORONTO","0","1","0","29","0","52","0","21","0","0","0","103","380","Metro Hall"
"096","TRINITY--SPADINA","121","U","TORONTO","1","0","7","50","1","103","0","33","0","0","0","195","596","Metro Hall"
"096","TRINITY--SPADINA","122","U","TORONTO","0","1","2","48","0","58","0","19","1","0","0","129","468","St. Mary Catholic School"
"096","TRINITY--SPADINA","123","U","TORONTO","2","0","13","73","0","64","0","12","0","0","0","164","539","St. Mary Catholic School"
"096","TRINITY--SPADINA","124A","U","TORONTO","0","0","4","40","0","56","0","11","0","0","0","111","409","St. Mary Catholic School"
"096","TRINITY--SPADINA","124B","U","TORONTO","0","0","3","36","0","48","0","12","0","0","0","99","374","St. Mary Catholic School"
"096","TRINITY--SPADINA","125","U","TORONTO","0","0","1","36","0","50","0","11","0","0","0","98","319","St. Mary Catholic School"
"096","TRINITY--SPADINA","126","U","TORONTO","0","0","1","52","0","59","0","17","0","0","0","129","445","Metro Hall"
"096","TRINITY--SPADINA","127","U","TORONTO","1","0","7","59","0","48","0","17","0","0","0","132","324","St. Mary Catholic School"
"096","TRINITY--SPADINA","128","U","TORONTO","2","1","5","74","0","44","0","11","2","0","0","139","351","St. Mary Catholic School"
"096","TRINITY--SPADINA","129","U","TORONTO","1","1","11","55","0","51","0","3","0","0","0","122","291","Niagara Street Public School"
"096","TRINITY--SPADINA","130","U","TORONTO","1","0","8","55","1","79","0","18","0","0","0","162","393","St. Mary Catholic School"
"096","TRINITY--SPADINA","131A","U","TORONTO","1","0","2","30","0","54","0","12","0","0","0","99","323","St. Mary Catholic School"
"096","TRINITY--SPADINA","131B","U","TORONTO","0","1","4","50","0","42","1","13","0","0","0","111","357","St. Mary Catholic School"
"096","TRINITY--SPADINA","132","U","TORONTO","0","2","5","79","0","69","0","12","0","0","0","167","518","Mun Licensing and Standards"
"096","TRINITY--SPADINA","133","U","TORONTO","2","0","4","58","0","85","0","14","1","0","0","164","401","Niagara Street Public School"
"096","TRINITY--SPADINA","134","U","TORONTO","0","0","6","58","0","43","0","6","0","0","0","113","301","Niagara Street Public School"
"096","TRINITY--SPADINA","135","U","TORONTO","0","0","5","61","0","36","0","8","1","0","0","111","366","Trinity Community Recreation Centre"
"096","TRINITY--SPADINA","136","U","TORONTO","0","0","16","45","0","95","0","19","0","0","0","175","527","Trinity Community Recreation Centre"
"096","TRINITY--SPADINA","137","U","TORONTO","0","0","2","36","0","68","0","9","0","0","0","115","328","Mun Licensing and Standards"
"096","TRINITY--SPADINA","138","U","TORONTO","0","0","6","58","0","72","0","25","0","0","0","161","539","Mun Licensing and Standards"
"096","TRINITY--SPADINA","139","U","TORONTO","0","0","9","37","0","61","1","13","0","0","0","121","350","Trinity Community Recreation Centre"
"096","TRINITY--SPADINA","140","U","TORONTO","0","0","3","55","0","55","0","17","0","0","0","130","346","Senhor Santo Cristo Catholic School"
"096","TRINITY--SPADINA","141","U","TORONTO","0","0","8","82","0","108","2","13","0","1","0","214","556","King's Gardens"
"096","TRINITY--SPADINA","142A","U","TORONTO","1","0","7","61","0","65","0","36","0","0","0","170","412","Toy Factory Lofts"
"096","TRINITY--SPADINA","142B","U","TORONTO","0","0","4","56","0","80","0","25","0","0","0","165","437","Toy Factory Lofts"
"096","TRINITY--SPADINA","143A","U","TORONTO","1","1","9","70","0","95","2","41","0","0","0","219","569","Harbourfront Community Centre"
"096","TRINITY--SPADINA","143B","U","TORONTO","0","0","9","61","0","97","1","28","0","0","1","197","530","Harbourfront Community Centre"
"096","TRINITY--SPADINA","143C","U","TORONTO","1","1","7","67","0","80","2","28","1","1","0","188","568","Harbourfront Community Centre"
"096","TRINITY--SPADINA","144","U","TORONTO","0","0","1","23","0","53","0","24","1","1","0","103","330","Harbourfront Community Centre"
"096","TRINITY--SPADINA","145","U","TORONTO","0","0","16","226","0","40","0","10","0","2","0","294","578","The Rectory Cafe"
"096","TRINITY--SPADINA","400","U","TORONTO","0","2","9","55","0","39","0","3","0","1","0","109","276","Native Canadian Centre"
"096","TRINITY--SPADINA","401","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"096","TRINITY--SPADINA","402","U","TORONTO","0","0","13","41","0","52","0","9","0","0","0","115","254","Native Canadian Centre"
"096","TRINITY--SPADINA","403","U","TORONTO","0","3","3","52","0","45","0","9","0","0","0","112","325","Walmer Road Baptist Church"
"096","TRINITY--SPADINA","404","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"096","TRINITY--SPADINA","405","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"096","TRINITY--SPADINA","406","U","TORONTO",".......................COMBINED WITH POLL 409.......................","","","","","","","","","","","","","Friends' House"
"096","TRINITY--SPADINA","407","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"096","TRINITY--SPADINA","408","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"096","TRINITY--SPADINA","409","U","TORONTO","0","2","10","63","0","82","0","18","0","0","0","175","394","Ontario Institue For Studies In Education"
"096","TRINITY--SPADINA","410","U","TORONTO","0","0","2","21","0","20","0","2","0","0","0","45","116","Ontario Institue For Studies In Education"
"096","TRINITY--SPADINA","411","U","TORONTO","0","1","2","22","0","52","0","12","0","0","0","89","211","Ontario Institue For Studies In Education"
"096","TRINITY--SPADINA","412","U","TORONTO","0","0","2","19","0","28","0","15","0","0","0","64","154","Ontario Institue For Studies In Education"
"096","TRINITY--SPADINA","413","U","TORONTO","0","0","1","5","0","35","0","33","0","0","0","74","171","Ontario Institue For Studies In Education"
"096","TRINITY--SPADINA","414","U","TORONTO","2","0","2","65","0","37","2","7","2","0","1","118","190","Leonardo Court"
"096","TRINITY--SPADINA","415","U","TORONTO","3","2","9","80","1","50","0","21","0","0","0","166","348","Senator David Croll Apartments"
"096","TRINITY--SPADINA","416","U","TORONTO","0","1","0","24","0","24","0","2","0","0","0","51","138","Miles Nadal Jewish Community Centre"
"096","TRINITY--SPADINA","417","U","TORONTO","0","2","14","37","0","32","0","6","0","0","0","91","302","Miles Nadal Jewish Community Centre"
"096","TRINITY--SPADINA","418","U","TORONTO","1","0","4","93","1","54","0","15","6","0","0","174","294","Kensington Manor"
"096","TRINITY--SPADINA","419","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"096","TRINITY--SPADINA","420","U","TORONTO","0","0","1","30","0","13","0","4","0","1","0","49","126","Beverley Junior Public School"
"096","TRINITY--SPADINA","421","U","TORONTO","0","0","3","9","0","14","0","4","0","0","0","30","184","Housing Connections"
"096","TRINITY--SPADINA","422","U","TORONTO","0","0","3","29","0","29","0","7","1","0","0","69","231","Housing Connections"
"096","TRINITY--SPADINA","423","U","TORONTO","0","0","7","45","0","85","0","40","1","0","0","178","388","One Park Lane"
"096","TRINITY--SPADINA","424","U","TORONTO","0","0","3","35","0","31","0","21","1","0","0","91","205","One Park Lane"
"096","TRINITY--SPADINA","425","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"096","TRINITY--SPADINA","426","U","TORONTO","0","0","9","59","1","107","1","44","0","0","0","221","526","Horizon On Bay"
"096","TRINITY--SPADINA","427","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"096","TRINITY--SPADINA","428","U","TORONTO","0","0","3","32","0","63","0","22","1","0","0","121","318","MTCC933"
"096","TRINITY--SPADINA","429","U","TORONTO","1","0","5","35","1","48","2","13","0","0","0","105","263","Lucliff Apartments"
"096","TRINITY--SPADINA","430","U","TORONTO","0","0","3","20","0","46","0","10","0","0","0","79","180","The Liberties"
"096","TRINITY--SPADINA","431","U","TORONTO","1","0","1","66","0","70","0","33","0","0","0","171","480","The Liberties"
"096","TRINITY--SPADINA","432","U","TORONTO","0","1","3","29","0","43","0","12","1","0","0","89","210","Conservatory Tower"
"096","TRINITY--SPADINA","433","U","TORONTO","1","0","3","20","1","56","1","15","0","0","0","97","269","The Penrose"
"096","TRINITY--SPADINA","434A","U","TORONTO","0","0","7","25","0","93","0","19","0","0","0","144","396","The Residences of College Park"
"096","TRINITY--SPADINA","434B","U","TORONTO","0","0","2","41","0","88","3","20","0","0","0","154","480","The Residences of College Park"
"096","TRINITY--SPADINA","435","U","TORONTO","0","0","1","26","1","45","0","18","0","0","0","91","210","College Park Suites"
"096","TRINITY--SPADINA","436","U","TORONTO","0","1","2","78","1","21","3","20","2","2","0","130","247","Alexandra Park Apartments"
"096","TRINITY--SPADINA","437","U","TORONTO","0","1","3","28","2","26","0","1","1","0","0","62","178","Ryerson Public School"
"096","TRINITY--SPADINA","438","U","TORONTO","0","0","1","23","0","18","0","5","0","0","0","47","230","Ryerson Public School"
"096","TRINITY--SPADINA","439","U","TORONTO","1","0","0","51","3","35","1","24","1","3","0","119","215","Beverley Manor"
"096","TRINITY--SPADINA","440","U","TORONTO","0","0","4","48","0","55","0","5","1","0","0","113","345","Beverley Manor"
"096","TRINITY--SPADINA","441","U","TORONTO","1","0","4","40","0","25","0","9","0","0","0","79","219","Beverley Manor"
"096","TRINITY--SPADINA","442","U","TORONTO","0","0","6","33","1","28","0","6","0","0","0","74","280","Beverley Manor"
"096","TRINITY--SPADINA","443","U","TORONTO","0","0","3","16","0","19","0","4","0","0","0","42","145","University Settlement"
"096","TRINITY--SPADINA","444","U","TORONTO","0","0","3","19","0","32","0","11","0","0","0","65","185","University Settlement"
"096","TRINITY--SPADINA","445","U","TORONTO","0","1","3","16","0","21","2","1","0","2","0","46","130","University Settlement"
"096","TRINITY--SPADINA","446","U","TORONTO","0","0","2","30","0","19","0","11","1","0","0","63","181","University Settlement"
"096","TRINITY--SPADINA","447","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"096","TRINITY--SPADINA","448","U","TORONTO","0","0","0","10","0","27","0","8","0","0","0","45","167","University Settlement"
"096","TRINITY--SPADINA","449","U","TORONTO","3","1","0","23","0","17","0","5","0","0","0","49","140","University Settlement"
"096","TRINITY--SPADINA","450","U","TORONTO","0","0","1","25","0","24","0","6","0","0","0","56","152","Chestnut Residence"
"096","TRINITY--SPADINA","451","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"096","TRINITY--SPADINA","452","U","TORONTO","0","1","2","28","0","60","0","31","0","0","0","122","304","University Plaza"
"096","TRINITY--SPADINA","453","U","TORONTO","0","0","3","30","0","49","0","12","1","1","0","96","288","Metro Hall"
"096","TRINITY--SPADINA","454","U","TORONTO","0","0","1","19","0","55","0","10","0","0","0","85","248","St. Mary Catholic School"
"096","TRINITY--SPADINA","455","U","TORONTO","0","0","2","26","0","59","1","54","0","1","0","143","323","Empire Plaza Condo"
"096","TRINITY--SPADINA","456","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"096","TRINITY--SPADINA","457","U","TORONTO","1","0","2","49","1","77","1","27","0","0","0","158","317","Icon I & II"
"096","TRINITY--SPADINA","458","U","TORONTO","0","0","1","30","0","49","2","37","0","0","0","119","270","Icon I & II"
"096","TRINITY--SPADINA","459","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"096","TRINITY--SPADINA","460","U","TORONTO","0","0","3","40","0","57","0","26","0","0","0","126","253","Portland Park Village"
"096","TRINITY--SPADINA","461","U","TORONTO","1","1","10","50","0","93","1","30","1","0","0","187","457","Apex City Place"
"096","TRINITY--SPADINA","462","U","TORONTO","0","0","6","34","0","57","1","16","0","0","0","114","324","Apex City Place"
"096","TRINITY--SPADINA","463","U","TORONTO","1","0","5","36","0","51","1","22","0","3","0","119","324","Apex City Place"
"096","TRINITY--SPADINA","464","U","TORONTO","0","0","3","36","0","58","0","41","0","0","0","138","406","Apex City Place"
"096","TRINITY--SPADINA","465","U","TORONTO","2","0","6","54","0","98","1","49","0","0","0","210","527","Optima City Place"
"096","TRINITY--SPADINA","466","U","TORONTO","0","0","4","22","0","50","0","16","0","0","0","92","277","Harbour View Estates"
