"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","EISEN","HARDEMAN","HILDERLEY","STEWART-MOTT","VANDERHOEVEN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"067","OXFORD","058","U","WOODSTOCK","37","66","68","4","7","1","0","0","183","471","Emunah Ministries"
"067","OXFORD","059","U","WOODSTOCK","24","68","89","11","0","1","0","0","193","493","Central Public School"
"067","OXFORD","060","U","WOODSTOCK","31","109","82","7","0","0","0","2","231","574","Royal Canadian Legion Branch 55"
"067","OXFORD","061","U","WOODSTOCK","43","131","85","12","1","1","0","0","273","548","Caw Local 636"
"067","OXFORD","062","U","WOODSTOCK","27","48","34","5","0","0","0","0","114","521","Central Public School"
"067","OXFORD","063","U","WOODSTOCK","34","109","43","9","1","0","0","0","196","442","Oxford Auditorium"
"067","OXFORD","064","U","WOODSTOCK","24","96","62","6","0","0","0","0","188","504","Oxford Auditorium"
"067","OXFORD","065","U","WOODSTOCK","29","113","57","7","1","0","0","0","207","457","Oxford Auditorium"
"067","OXFORD","066","U","WOODSTOCK","33","113","53","3","2","0","0","0","204","523","Oxford Auditorium"
"067","OXFORD","067","U","WOODSTOCK","47","111","63","3","1","0","0","0","225","449","St. David's United Church"
"067","OXFORD","068","U","WOODSTOCK","26","85","31","9","2","0","1","0","154","344","Emmanuel Reformed Church"
"067","OXFORD","069","U","WOODSTOCK","33","66","31","2","3","0","1","0","136","398","Emmanuel Reformed Church"
"067","OXFORD","070","U","WOODSTOCK","31","118","51","6","1","0","0","0","207","502","The Rock Community Church"
"067","OXFORD","071","U","WOODSTOCK","29","96","63","6","2","0","0","0","196","494","The Rock Community Church"
"067","OXFORD","072","U","WOODSTOCK","28","76","45","12","0","1","0","0","162","404","St. David's United Church"
"067","OXFORD","073","U","WOODSTOCK","43","93","55","5","2","0","0","0","198","478","The Rock Community Church"
"067","OXFORD","074","U","WOODSTOCK","27","76","25","12","1","0","0","0","141","538","Emunah Ministries"
"067","OXFORD","075","U","WOODSTOCK","31","66","36","18","2","1","0","0","154","541","Oxford County Administration Building"
"067","OXFORD","076","U","WOODSTOCK","28","71","43","10","2","0","0","0","154","494","Oxford County Administration Building"
"067","OXFORD","077","U","WOODSTOCK","31","95","39","3","0","0","0","1","169","546","College Avenue United Church"
"067","OXFORD","078","U","WOODSTOCK","31","38","19","1","0","0","0","0","89","443","College Avenue United Church"
"067","OXFORD","079","U","WOODSTOCK","43","64","37","8","2","0","0","0","154","525","Emunah Ministries"
"067","OXFORD","080","U","WOODSTOCK","34","71","39","6","3","1","0","1","155","538","Oxford County Administration Building"
"067","OXFORD","081","U","WOODSTOCK","30","132","57","17","3","0","0","0","239","530","Marantha Christian Reformed Church"
"067","OXFORD","082","U","WOODSTOCK","32","94","49","7","2","0","0","0","184","543","Goff Hall Community Complex"
"067","OXFORD","083A","U","WOODSTOCK","17","73","37","5","0","0","0","0","132","309","Marantha Christian Reformed Church"
"067","OXFORD","083B","U","WOODSTOCK","21","57","39","3","2","1","0","0","123","278","Marantha Christian Reformed Church"
"067","OXFORD","084A","U","WOODSTOCK","16","53","51","3","2","0","0","0","125","313","Goff Hall Community Complex"
"067","OXFORD","084B","U","WOODSTOCK","27","69","23","3","2","0","0","0","124","329","Goff Hall Community Complex"
"067","OXFORD","085","U","WOODSTOCK","30","81","28","6","1","0","0","0","146","468","Salvation Army Community Church"
"067","OXFORD","086","U","WOODSTOCK","39","83","86","10","3","2","0","0","223","523","Goff Hall Community Complex"
"067","OXFORD","087","U","WOODSTOCK","27","62","34","6","3","1","1","0","134","446","Salvation Army Community Church"
"067","OXFORD","088","U","WOODSTOCK","39","57","25","9","0","0","0","1","131","397","Salvation Army Community Church"
"067","OXFORD","089","U","WOODSTOCK","34","95","35","1","4","0","0","1","170","445","Salvation Army Community Church"
"067","OXFORD","090","U","WOODSTOCK","33","93","42","7","1","0","0","0","176","466","Eastdale Public School"
"067","OXFORD","091","U","WOODSTOCK","46","118","41","10","4","2","0","0","221","568","Bethel United Reform Church"
"067","OXFORD","092","U","WOODSTOCK","33","58","36","7","0","0","0","0","134","358","Eastdale Public School"
"067","OXFORD","093","U","WOODSTOCK","38","98","38","5","4","0","0","0","183","472","Bethel United Reform Church"
"067","OXFORD","094","U","WOODSTOCK","33","64","64","12","0","0","0","0","173","507","Marantha Christian Reformed Church"
"067","OXFORD","095","U","INGERSOLL","57","81","38","5","1","0","0","0","182","520","Hurley's Independent Grocers"
"067","OXFORD","096","U","INGERSOLL","32","89","46","8","0","0","0","0","175","407","Henderson Hall"
"067","OXFORD","097","U","INGERSOLL","47","81","64","6","0","0","4","0","202","474","Henderson Hall"
"067","OXFORD","098","U","INGERSOLL","24","54","35","4","3","0","0","0","120","430","Henderson Hall"
"067","OXFORD","099","U","INGERSOLL","37","69","48","6","4","1","0","0","165","441","Henderson Hall"
"067","OXFORD","100","U","INGERSOLL","60","119","52","11","4","0","0","0","246","612","Fusion Centre"
"067","OXFORD","101","U","INGERSOLL","58","59","39","8","0","0","0","0","164","493","Fusion Centre"
"067","OXFORD","102","U","INGERSOLL","42","68","27","16","2","0","0","0","155","535","Fusion Centre"
"067","OXFORD","103","U","INGERSOLL","37","79","26","7","1","1","0","0","151","481","Hurley's Independent Grocers"
"067","OXFORD","104","U","INGERSOLL","47","109","50","5","2","0","0","0","213","491","Hurley's Independent Grocers"
"067","OXFORD","105","U","INGERSOLL","28","61","36","9","0","0","0","0","134","420","Hurley's Independent Grocers"
"067","OXFORD","106","U","INGERSOLL","36","48","39","10","4","0","0","0","137","471","Harrisfield Public School"
"067","OXFORD","107","U","INGERSOLL","19","56","18","6","2","0","0","0","101","419","Harrisfield Public School"
"067","OXFORD","108","U","INGERSOLL","38","63","56","16","0","0","0","0","173","400","Royal Roads Public School"
"067","OXFORD","109","U","INGERSOLL","43","60","35","4","1","0","0","0","143","405","Royal Roads Public School"
"067","OXFORD","110","U","INGERSOLL","45","100","50","9","1","1","1","0","207","547","Royal Roads Public School"
"067","OXFORD","111","U","INGERSOLL","47","100","58","12","4","0","0","0","221","506","Harrisfield Public School"
"067","OXFORD","112","U","INGERSOLL","30","95","53","5","1","0","1","1","186","427","Harrisfield Public School"
"067","OXFORD","113","U","INGERSOLL","70","150","63","9","4","0","0","2","298","645","Royal Roads Public School"
"067","OXFORD","114","U","BEACHVILLE","39","100","37","9","12","0","0","0","197","437","Colombo Club of Oxford"
"067","OXFORD","115","U","BEACHVILLE","14","94","34","4","1","1","1","0","149","371","Colombo Club of Oxford"
"067","OXFORD","116","U","FOLDENS","20","152","48","9","2","0","0","0","231","434","West Oxford Comm Hall"
"067","OXFORD","117","U","FOLDENS","21","140","77","6","2","0","0","0","246","468","West Oxford Comm Hall"
"067","OXFORD","118","U","INGERSOLL","50","196","37","20","3","0","0","1","307","627","Salford Community Centre"
"067","OXFORD","119","U","MOUNT ELGIN","39","188","39","9","6","1","0","0","282","551","Mount Elgin Community Centre"
"067","OXFORD","120","U","BROWNSVILLE","43","176","40","6","6","0","2","0","273","653","Brownsville Community Centre"
"067","OXFORD","121","U","BROWNSVILLE","27","134","29","3","2","0","1","0","196","428","Brownsville Community Centre"
"067","OXFORD","122","U","OXFORD CENTRE","29","227","57","14","8","1","0","0","336","546","Oxford Centre Hall"
"067","OXFORD","123","U","OXFORD CENTRE","22","172","59","7","4","0","0","0","264","552","Oxford Centre Hall"
"067","OXFORD","124","U","BURGESSVILLE","24","208","28","3","8","2","0","0","273","553","Heritage Netherlands Reformed Church"
"067","OXFORD","125","U","BURGESSVILLE","13","187","25","10","2","0","1","0","238","514","Heritage Netherlands Reformed Church"
"067","OXFORD","126","U","NORWICH","23","125","19","3","4","0","0","0","174","431","Norwich Community Centre"
"067","OXFORD","127","U","NORWICH","42","140","30","11","4","0","0","0","227","531","Norwich Community Centre"
"067","OXFORD","128","U","NORWICH","35","116","32","6","0","1","0","0","190","442","Norwich Public Library"
"067","OXFORD","129","U","NORWICH","26","130","28","6","1","0","0","0","191","473","Norwich Public Library"
"067","OXFORD","130","U","NORWICH","24","120","28","4","2","0","0","0","178","405","Norwich Community Centre"
"067","OXFORD","131","U","SPRINGFORD","15","110","11","5","0","0","0","0","141","341","Springford Hall"
"067","OXFORD","132","U","OTTERVILLE","43","133","54","9","6","0","0","0","245","520","Otterville School"
"067","OXFORD","133","U","OTTERVILLE","40","137","48","2","2","0","0","0","229","403","Otterville School"
"067","OXFORD","134","U","OTTERVILLE","14","70","25","0","1","1","0","0","111","219","Otterville School"
"067","OXFORD","135","U","SPRINGFORD","41","178","28","14","3","1","0","0","265","532","Springford Hall"
"067","OXFORD","136","U","TILLSONBURG","45","85","49","3","4","1","0","0","187","518","North Broadway Baptist Church"
"067","OXFORD","137A","U","TILLSONBURG","16","65","32","2","0","0","0","1","116","332","North Broadway Baptist Church"
"067","OXFORD","137B","U","TILLSONBURG","27","60","36","1","0","0","0","0","124","302","North Broadway Baptist Church"
"067","OXFORD","138","U","TILLSONBURG","27","103","59","3","0","1","0","0","193","545","North Broadway Baptist Church"
"067","OXFORD","139","U","TILLSONBURG","42","93","33","4","1","0","0","0","173","480","St. Joseph's School"
"067","OXFORD","140","U","TILLSONBURG","36","96","33","4","4","0","0","0","173","494","St. Joseph's School"
"067","OXFORD","141","U","TILLSONBURG","60","76","52","4","2","0","0","0","194","566","St. Joseph's School"
"067","OXFORD","142","U","TILLSONBURG","31","95","66","9","0","0","0","0","201","492","Tillsonburg Alliance Church"
"067","OXFORD","143","U","TILLSONBURG","18","143","69","8","1","2","0","0","241","540","Tillsonburg Alliance Church"
"067","OXFORD","144","U","TILLSONBURG","30","117","53","6","4","2","0","0","212","562","Tillsonburg Alliance Church"
"067","OXFORD","145","U","TILLSONBURG","27","37","21","5","0","0","0","2","92","435","Tillsonburg Community Centre"
"067","OXFORD","146","U","TILLSONBURG","25","75","26","1","2","0","0","0","129","350","Tillsonburg Community Centre"
"067","OXFORD","147","U","TILLSONBURG","31","50","38","12","1","0","0","0","132","423","Tillsonburg Community Centre"
"067","OXFORD","148","U","TILLSONBURG","26","31","27","8","0","1","0","0","93","430","Tillsonburg Community Centre"
"067","OXFORD","149","U","TILLSONBURG","8","68","40","2","0","1","0","0","119","375","Tillsonburg Community Centre"
"067","OXFORD","150","U","TILLSONBURG","25","134","82","7","3","0","0","0","251","472","Hickory Hills Recreation Centre"
"067","OXFORD","151","U","TILLSONBURG","23","105","61","1","2","0","0","0","192","436","Hickory Hills Recreation Centre"
"067","OXFORD","152","U","TILLSONBURG","32","152","82","13","2","2","0","0","283","475","Hickory Hills Recreation Centre"
"067","OXFORD","153","U","TILLSONBURG","43","130","55","1","0","1","0","0","230","419","Hickory Hills Recreation Centre"
"067","OXFORD","154","U","TILLSONBURG","16","77","33","3","0","0","0","0","129","447","St. Paul's United Church"
"067","OXFORD","155","U","TILLSONBURG","26","67","31","10","3","0","0","1","138","503","St. Paul's United Church"
"067","OXFORD","156","U","TILLSONBURG","29","53","20","7","1","0","0","0","110","450","Maple Lane Public School"
"067","OXFORD","157","U","TILLSONBURG","19","105","40","7","2","1","0","0","174","418","Maple Lane Public School"
"067","OXFORD","158","U","TILLSONBURG","13","120","48","7","0","0","1","0","189","467","Otter Valley Playhouse"
"067","OXFORD","159","U","TILLSONBURG","18","122","42","4","2","3","0","0","191","594","Tillsonburg Special Events Centre"
"067","OXFORD","160","U","TILLSONBURG","43","78","35","5","0","1","0","0","162","533","Tillsonburg Special Events Centre"
"067","OXFORD","400","U","WOODSTOCK","18","83","34","4","2","0","0","0","141","190","Canterbury Place"
"067","OXFORD","700","U","TAVISTOCK","3","18","6","1","0","2","0","0","30","71","Bonnie Brae Health Care Centre"
"067","OXFORD","701","U","TAVISTOCK","2","23","5","0","0","0","0","0","30","36","People Care"
"067","OXFORD","702","U","TAVISTOCK","..........................NO POLL HELD..........................","","","","","","","","","",""
"067","OXFORD","703","U","WOODSTOCK","6","75","17","2","0","2","0","0","102","127","Oxford Gardens"
"067","OXFORD","704","U","WOODSTOCK",".......................COMBINED WITH POLL 703.......................","","","","","","","","","","Woodstock General Hospital"
"067","OXFORD","705","U","TAVISTOCK",".......................COMBINED WITH POLL 710.......................","","","","","","","","","","The Maples Home for Seniors"
"067","OXFORD","706","U","WOODSTOCK","..........................NO POLL HELD..........................","","","","","","","","","",""
"067","OXFORD","707","U","WOODSTOCK","..........................NO POLL HELD..........................","","","","","","","","","",""
"067","OXFORD","708","U","WOODSTOCK",".......................COMBINED WITH POLL 711.......................","","","","","","","","","","Woodingford Lodge Woodstock"
"067","OXFORD","709","U","NORWICH","2","34","6","1","3","0","0","0","46","72","Trillium Christian Retirement Home"
"067","OXFORD","710","U","WOODSTOCK","20","103","51","3","5","3","0","1","186","377","Caressant Care"
"067","OXFORD","711","U","WOODSTOCK","8","45","22","5","3","0","0","0","83","139","Woodstock Private Hospital"
"067","OXFORD","712","U","INGERSOLL","2","13","3","0","0","0","1","0","19","74","Leisureworld Caregiving Centre"
"067","OXFORD","713","U","INGERSOLL","3","33","6","1","0","0","0","0","43","88","Woodingford Lodge Ingersoll"
"067","OXFORD","714","U","INGERSOLL","..........................NO POLL HELD..........................","","","","","","","","","",""
"067","OXFORD","715","U","INGERSOLL","1","5","1","2","0","1","0","0","10","12","Alexandra Hospital"
"067","OXFORD","716","U","TILLSONBURG","..........................NO POLL HELD..........................","","","","","","","","","",""
"067","OXFORD","717","U","NORWICH","..........................NO POLL HELD..........................","","","","","","","","","",""
"067","OXFORD","718","U","TILLSONBURG","..........................NO POLL HELD..........................","","","","","","","","","",""
"067","OXFORD","719","U","TILLSONBURG","3","6","1","1","0","0","0","0","11","32","Dayspring Retirement Home"
"067","OXFORD","720","U","TILLSONBURG",".......................COMBINED WITH POLL 721.......................","","","","","","","","","","Tillsonburg Retirement Centre"
"067","OXFORD","721","U","TILLSONBURG","5","48","20","4","3","2","0","0","82","159","Maple Manor Nursing Home"
"067","OXFORD","ADV001","U","WOODSTOCK","200","1150","565","56","15","2","1","0","1989","0","Returning Office / Bureau du directeur du scrutin"
"067","OXFORD","ADV002","U","WOODSTOCK","97","304","129","21","5","6","0","0","562","0","Special Ballot Voting / Vote par bulletin spécial"
"067","OXFORD","ADV003","U","TAVISTOCK","11","75","26","4","0","1","0","0","117","0","Tavistock and  District Recreation Centre"
"067","OXFORD","ADV004","U","INGERSOLL","200","758","252","62","7","4","0","0","1283","0","Hurley's Independent Grocers"
"067","OXFORD","ADV005","U","NORWICH","26","177","25","9","7","0","0","0","244","0","Norwich Public Library"
"067","OXFORD","ADV006","U","TILLSONBURG","156","874","305","27","6","3","0","0","1371","0","Tillsonburg Community Centre"
"067","OXFORD","ADV007","U","EMBRO","5","91","24","8","1","0","0","0","129","0","Embro Community Centre"
"067","OXFORD","ADV008","U","INNERKIP","18","96","33","1","0","0","0","0","148","0","Innerkip Community Centre"
"TOTALS:","","","","","5885","20658","9410","1336","359","83","20","20","37771","76804",""
