"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CLARK","FULSOM","HEFFERNAN","LUNDY","TAYLOR","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"042","LEEDS--GRENVILLE","042","U","GANANOQUE","71","0","32","22","6","0","0","0","131","307","The Cornerstone,Calvary Pentecostal"
"042","LEEDS--GRENVILLE","043","U","LANSDOWNE","59","0","20","12","0","0","0","0","91","257","Thousand Islands Elementary School"
"042","LEEDS--GRENVILLE","044","U","ROCKPORT","68","0","25","11","3","1","0","0","108","282","Rockport Recreation Hall"
"042","LEEDS--GRENVILLE","045","U","ROCKPORT","74","1","26","25","5","0","1","0","132","265","Rockport Recreation Hall"
"042","LEEDS--GRENVILLE","046","U","GANANOQUE","44","0","30","17","2","0","0","0","93","283","Christ Anglican Church Hall"
"042","LEEDS--GRENVILLE","047","U","GANANOQUE","49","0","20","18","0","0","0","0","87","232","Christ Anglican Church Hall"
"042","LEEDS--GRENVILLE","048","U","GANANOQUE","73","2","25","43","4","1","1","0","149","467","Gananoque Secondary School"
"042","LEEDS--GRENVILLE","049","U","GANANOQUE","51","0","49","28","11","0","0","1","140","311","Christ Anglican Church Hall"
"042","LEEDS--GRENVILLE","050","U","GANANOQUE","46","0","38","35","2","0","0","0","121","352","Christ Anglican Church Hall"
"042","LEEDS--GRENVILLE","051","U","GANANOQUE","25","0","12","20","2","0","0","0","59","210","Riverview Apartments"
"042","LEEDS--GRENVILLE","052","U","GANANOQUE","43","0","21","19","12","0","0","0","95","338","Gananoque Secondary School"
"042","LEEDS--GRENVILLE","053","U","GANANOQUE","58","0","22","21","5","1","1","1","109","363","Gananoque Secondary School"
"042","LEEDS--GRENVILLE","054","U","GANANOQUE","57","3","26","39","2","0","0","2","129","387","Riverview Apartments"
"042","LEEDS--GRENVILLE","055","U","GANANOQUE","51","1","37","35","3","1","0","0","128","345","Gananoque Secondary School"
"042","LEEDS--GRENVILLE","056","U","GANANOQUE","46","1","27","20","7","1","0","1","103","237","Gananoque Secondary School"
"042","LEEDS--GRENVILLE","057","U","GANANOQUE","86","0","41","42","7","0","0","0","176","395","Gananoque Secondary School"
"042","LEEDS--GRENVILLE","058","U","ATHENS","117","0","28","26","1","1","0","0","173","428","Athens Fire Hall"
"042","LEEDS--GRENVILLE","059","U","ATHENS","65","0","28","10","0","0","0","0","103","324","Athens Fire Hall"
"042","LEEDS--GRENVILLE","060","U","ATHENS","128","2","38","15","8","0","0","0","191","457","Athens Fire Hall"
"042","LEEDS--GRENVILLE","061","U","ATHENS","75","0","20","13","3","0","0","0","111","290","St. Denis Catholic Church Hall"
"042","LEEDS--GRENVILLE","062","U","ATHENS","84","0","24","14","2","1","0","0","125","339","St. Denis Catholic Church Hall"
"042","LEEDS--GRENVILLE","063","U","ATHENS","123","0","28","33","8","0","0","0","192","425","St. Denis Catholic Church Hall"
"042","LEEDS--GRENVILLE","064","U","MALLORYTOWN","99","0","22","19","4","1","1","0","146","383","Royal Canadian Legion Branch 484"
"042","LEEDS--GRENVILLE","065","U","MALLORYTOWN","92","1","15","31","3","0","0","0","142","415","Royal Canadian Legion Branch 484"
"042","LEEDS--GRENVILLE","066","U","MALLORYTOWN","165","0","24","52","11","1","0","0","253","528","Royal Canadian Legion Branch 484"
"042","LEEDS--GRENVILLE","067","U","MALLORYTOWN","126","0","61","23","1","1","0","0","212","432","Royal Canadian Legion Branch 484"
"042","LEEDS--GRENVILLE","068","U","MALLORYTOWN","79","0","27","22","7","1","0","0","136","232","Royal Canadian Legion Branch 484"
"042","LEEDS--GRENVILLE","069","U","TOLEDO","145","0","35","26","5","1","0","0","212","404","Royal Canadian Legion Branch 475"
"042","LEEDS--GRENVILLE","070","U","TOLEDO","172","0","41","42","2","1","0","0","258","653","Royal Canadian Legion Branch 475"
"042","LEEDS--GRENVILLE","071","U","FRANKVILLE","119","1","16","13","7","1","0","0","157","340","St. Thomas Anglican Church Hall"
"042","LEEDS--GRENVILLE","072","U","FRANKVILLE","141","0","23","36","10","0","0","0","210","414","St. Thomas Anglican Church Hall"
"042","LEEDS--GRENVILLE","073","U","ADDISON","118","1","33","30","5","1","0","0","188","421","Addison United Church Hall"
"042","LEEDS--GRENVILLE","074","U","LYN","90","0","26","17","4","0","0","1","138","458","Elizabethtown-Kitley Fire Station 1"
"042","LEEDS--GRENVILLE","075","U","ADDISON","113","1","20","34","2","0","0","0","170","346","Addison United Church Hall"
"042","LEEDS--GRENVILLE","076","U","ADDISON","89","0","27","24","2","0","0","0","142","233","Elizabethtown-Kitley Fire Station 2"
"042","LEEDS--GRENVILLE","077","U","LYN","65","0","11","8","8","0","0","0","92","185","Christ United Church"
"042","LEEDS--GRENVILLE","078","U","BROCKVILLE","121","0","21","44","7","2","0","0","195","422","Spring Valley Community Hall"
"042","LEEDS--GRENVILLE","079","U","BROCKVILLE","118","0","22","13","2","1","0","0","156","299","Spring Valley Community Hall"
"042","LEEDS--GRENVILLE","080","U","BROCKVILLE","172","2","28","26","11","0","0","0","239","533","Spring Valley Community Hall"
"042","LEEDS--GRENVILLE","081","U","LYN","105","1","25","36","4","0","0","0","171","408","Elizabethtown-Kitley Fire Station 1"
"042","LEEDS--GRENVILLE","082","U","LYN","122","0","22","27","3","0","0","0","174","402","Christ United Church"
"042","LEEDS--GRENVILLE","083","U","LYN","129","1","34","24","4","2","0","0","194","437","Elizabethtown-Kitley Fire Station 1"
"042","LEEDS--GRENVILLE","084","U","LYN","108","2","31","35","2","0","0","0","178","440","Elizabethtown-Kitley Fire Station 1"
"042","LEEDS--GRENVILLE","085","U","LYN","101","0","38","17","3","1","0","0","160","358","Christ United Church"
"042","LEEDS--GRENVILLE","086","U","BROCKVILLE","90","1","27","18","6","1","0","0","143","276","Rosedale Retirement Centre"
"042","LEEDS--GRENVILLE","087","U","BROCKVILLE","163","0","25","37","5","0","1","0","231","498","Highway Pentecostal Church Hall"
"042","LEEDS--GRENVILLE","088","U","BROCKVILLE","95","1","31","27","4","2","0","0","160","373","Highway Pentecostal Church Hall"
"042","LEEDS--GRENVILLE","089","U","BROCKVILLE","134","2","45","26","7","1","0","0","215","463","Highway Pentecostal Church Hall"
"042","LEEDS--GRENVILLE","090","U","BROCKVILLE","140","0","50","27","0","0","0","0","217","402","St. John Bosco Church Hall"
"042","LEEDS--GRENVILLE","091","U","BROCKVILLE","105","0","31","22","4","0","0","0","162","368","Brockville Memorial Civic Centre"
"042","LEEDS--GRENVILLE","092","U","BROCKVILLE","81","0","15","27","3","1","0","0","127","427","St. John Bosco Church Hall"
"042","LEEDS--GRENVILLE","093","U","BROCKVILLE","114","1","24","21","5","1","0","0","166","354","St. John Bosco Church Hall"
"042","LEEDS--GRENVILLE","094","U","BROCKVILLE","129","0","40","34","7","1","1","0","212","476","Highway Pentecostal Church Hall"
"042","LEEDS--GRENVILLE","095","U","BROCKVILLE","24","0","7","12","4","0","0","0","47","364","Highway Pentecostal Church Hall"
"042","LEEDS--GRENVILLE","096","U","BROCKVILLE","48","0","11","13","4","0","0","0","76","385","St. John Bosco Church Hall"
"042","LEEDS--GRENVILLE","097","U","BROCKVILLE","96","0","29","14","1","0","0","0","140","357","Bethel Christian Reformed Church"
"042","LEEDS--GRENVILLE","098","U","BROCKVILLE","164","1","46","37","9","0","0","0","257","505","Bethel Christian Reformed Church"
"042","LEEDS--GRENVILLE","099","U","BROCKVILLE","125","0","34","44","4","1","0","0","208","439","Bethel Christian Reformed Church"
"042","LEEDS--GRENVILLE","100","U","BROCKVILLE","99","0","28","25","7","1","0","0","160","416","Bethel Christian Reformed Church"
"042","LEEDS--GRENVILLE","101","U","BROCKVILLE","65","0","16","14","3","0","0","0","98","312","Brockville Memorial Civic Centre"
"042","LEEDS--GRENVILLE","102","U","BROCKVILLE","69","0","7","20","3","0","1","0","100","338","Brockville Memorial Civic Centre"
"042","LEEDS--GRENVILLE","103","U","BROCKVILLE","100","1","29","33","2","1","0","0","166","484","Brockville Memorial Civic Centre"
"042","LEEDS--GRENVILLE","104","U","BROCKVILLE","55","1","10","14","5","1","0","0","86","293","Brockville Memorial Civic Centre"
"042","LEEDS--GRENVILLE","105","U","BROCKVILLE","100","0","16","26","2","0","0","0","144","362","Brockville Memorial Civic Centre"
"042","LEEDS--GRENVILLE","106","U","BROCKVILLE","121","1","35","17","1","0","0","0","175","372","Brockville Memorial Civic Centre"
"042","LEEDS--GRENVILLE","107","U","BROCKVILLE","88","2","33","23","3","1","0","0","150","433","Brockville Memorial Civic Centre"
"042","LEEDS--GRENVILLE","108","U","BROCKVILLE","53","0","12","7","1","0","0","0","73","310","Brockville Memorial Civic Centre"
"042","LEEDS--GRENVILLE","109","U","BROCKVILLE","48","0","8","10","1","0","0","0","67","298","Brockville Memorial Civic Centre"
"042","LEEDS--GRENVILLE","110","U","BROCKVILLE","65","0","4","9","2","0","0","0","80","268","Brockville Memorial Civic Centre"
"042","LEEDS--GRENVILLE","111","U","BROCKVILLE","79","0","15","17","3","1","1","0","116","472","Brockville Memorial Civic Centre"
"042","LEEDS--GRENVILLE","112","U","BROCKVILLE","100","1","37","29","6","1","0","0","174","415","Brockville Rowing Club"
"042","LEEDS--GRENVILLE","113","U","BROCKVILLE","63","0","11","16","4","0","0","0","94","280","Brockville Rowing Club"
"042","LEEDS--GRENVILLE","114","U","BROCKVILLE","46","0","17","20","4","1","0","0","88","298","Brockville Rowing Club"
"042","LEEDS--GRENVILLE","115","U","BROCKVILLE","54","1","15","22","3","0","0","0","95","287","Brockville Collegiate Institute"
"042","LEEDS--GRENVILLE","116","U","BROCKVILLE","60","0","24","27","5","0","1","0","117","308","Brockville Collegiate Institute"
"042","LEEDS--GRENVILLE","117","U","BROCKVILLE","96","0","55","16","5","1","0","0","173","375","Brockville Collegiate Institute"
"042","LEEDS--GRENVILLE","118","U","BROCKVILLE","70","1","35","16","5","2","0","0","129","327","Brockville Collegiate Institute"
"042","LEEDS--GRENVILLE","119","U","BROCKVILLE","116","0","20","35","12","1","2","0","186","409","Commonwealth Public School"
"042","LEEDS--GRENVILLE","120","U","BROCKVILLE","52","1","12","41","5","0","0","0","111","313","Brockville Rowing Club"
"042","LEEDS--GRENVILLE","121","U","BROCKVILLE","65","1","12","22","2","0","0","0","102","299","First Presbyterian Church Hall"
"042","LEEDS--GRENVILLE","122","U","BROCKVILLE","52","1","26","28","8","0","0","0","115","338","First Presbyterian Church Hall"
"042","LEEDS--GRENVILLE","123","U","BROCKVILLE","72","0","30","24","4","1","0","0","131","364","First Presbyterian Church Hall"
"042","LEEDS--GRENVILLE","124","U","BROCKVILLE","48","0","30","11","11","0","0","0","100","296","First Presbyterian Church Hall"
"042","LEEDS--GRENVILLE","125","U","BROCKVILLE","58","0","12","19","4","0","0","0","93","256","Commonwealth Public School"
"042","LEEDS--GRENVILLE","126","U","BROCKVILLE","34","0","10","11","4","0","0","0","59","267","Commonwealth Public School"
"042","LEEDS--GRENVILLE","127","U","BROCKVILLE","22","0","7","7","1","0","0","0","37","209","Brockville Rowing Club"
"042","LEEDS--GRENVILLE","128","U","BROCKVILLE","126","0","64","31","9","0","0","0","230","578","Commonwealth Public School"
"042","LEEDS--GRENVILLE","129","U","BROCKVILLE","51","0","21","18","9","0","0","0","99","362","Commonwealth Public School"
"042","LEEDS--GRENVILLE","130","U","BROCKVILLE","58","0","33","13","9","4","0","0","117","346","Brockville Collegiate Institute"
"042","LEEDS--GRENVILLE","131","U","BROCKVILLE","47","0","27","17","3","0","0","0","94","248","Brockville Collegiate Institute"
"042","LEEDS--GRENVILLE","132","U","BROCKVILLE","79","0","31","11","7","1","1","0","130","293","Brockville Collegiate Institute"
"042","LEEDS--GRENVILLE","133","U","MERRICKVILLE","129","0","30","39","4","0","1","0","203","442","Merrickville Community Centre"
"042","LEEDS--GRENVILLE","134","U","MERRICKVILLE","123","1","32","40","14","0","0","0","210","388","Merrickville Community Centre"
"042","LEEDS--GRENVILLE","135","U","MERRICKVILLE","81","2","41","71","24","0","0","1","220","381","Merrickville Community Centre"
"042","LEEDS--GRENVILLE","136","U","MERRICKVILLE","135","3","48","44","21","0","1","0","252","455","Merrickville Community Centre"
"042","LEEDS--GRENVILLE","137","U","MERRICKVILLE","145","0","33","37","9","0","0","1","225","494","Merrickville Community Centre"
"042","LEEDS--GRENVILLE","138","U","NORTH AUGUSTA","146","1","14","44","8","0","0","0","213","437","Community Hall"
"042","LEEDS--GRENVILLE","139","U","SPENCERVILLE","112","1","25","37","9","0","0","0","184","376","Roebuck Community Centre"
"042","LEEDS--GRENVILLE","140","U","NORTH AUGUSTA","131","0","19","25","4","1","0","0","180","443","Community Hall"
"042","LEEDS--GRENVILLE","141","U","BROCKVILLE","158","0","25","38","7","3","0","0","231","458","Algonquin United Church Hall"
"042","LEEDS--GRENVILLE","142","U","BROCKVILLE","72","0","5","12","2","0","0","0","91","207","Algonquin United Church Hall"
"042","LEEDS--GRENVILLE","143","U","SPENCERVILLE","150","0","16","35","4","1","0","0","206","421","Roebuck Community Centre"
"042","LEEDS--GRENVILLE","144","U","PRESCOTT","142","1","20","27","5","1","0","2","198","359","Grenville Snowmobile Club"
"042","LEEDS--GRENVILLE","145","U","PRESCOTT","128","0","22","48","2","0","0","0","200","407","Masonic Complex"
"042","LEEDS--GRENVILLE","146","U","MAITLAND","174","0","38","29","3","0","0","0","244","492","St. James Hall"
"042","LEEDS--GRENVILLE","147","U","MAITLAND","..........................NO POLL HELD..........................","","","","","","","","","",""
"042","LEEDS--GRENVILLE","148","U","MAITLAND","139","0","44","41","10","0","0","0","234","426","St. James Hall"
"042","LEEDS--GRENVILLE","149","U","PRESCOTT","66","0","16","20","1","0","0","0","103","247","Masonic Complex"
"042","LEEDS--GRENVILLE","150","U","MAITLAND","169","0","36","21","11","0","0","0","237","419","St. James Hall"
"042","LEEDS--GRENVILLE","151","U","MAITLAND","138","0","34","23","7","0","0","0","202","365","St. James Hall"
"042","LEEDS--GRENVILLE","152","U","PRESCOTT","108","0","31","26","3","0","0","0","168","417","Masonic Complex"
"042","LEEDS--GRENVILLE","153","U","PRESCOTT","114","2","23","31","6","1","0","0","177","406","O'Reilly's Your Independent Grocer"
"042","LEEDS--GRENVILLE","154","U","PRESCOTT","104","1","28","24","6","1","0","0","164","483","O'Reilly's Your Independent Grocer"
"042","LEEDS--GRENVILLE","155","U","PRESCOTT","93","0","24","23","2","0","0","0","142","384","St. Andrew's Presbyterian Church Hall"
"042","LEEDS--GRENVILLE","156","U","PRESCOTT","69","0","38","18","2","1","0","0","128","432","St. Andrew's Presbyterian Church Hall"
"042","LEEDS--GRENVILLE","157","U","PRESCOTT","52","0","18","25","3","0","0","0","98","316","St. Andrew's Presbyterian Church Hall"
"042","LEEDS--GRENVILLE","158","U","PRESCOTT","56","0","33","30","6","0","1","0","126","326","St. Andrew's Presbyterian Church Hall"
"042","LEEDS--GRENVILLE","159","U","PRESCOTT","130","0","37","21","3","0","1","0","192","480","St. Andrew's Presbyterian Church Hall"
"042","LEEDS--GRENVILLE","160","U","PRESCOTT","48","0","11","14","3","0","1","0","77","235","St. Andrew's Presbyterian Church Hall"
"042","LEEDS--GRENVILLE","161","U","BURRITTS RAPIDS","94","0","35","39","19","0","0","0","187","399","Burritts Rapids Community Hall"
"042","LEEDS--GRENVILLE","162","U","BURRITTS RAPIDS","118","1","21","23","6","0","0","0","169","365","Burritts Rapids Community Hall"
"042","LEEDS--GRENVILLE","163","U","OXFORD MILLS","129","1","49","25","8","0","0","0","212","530","Oxford On Rideau Public School"
"042","LEEDS--GRENVILLE","164","U","OXFORD MILLS","98","1","56","17","5","0","1","0","178","486","Oxford On Rideau Public School"
"042","LEEDS--GRENVILLE","165","U","OXFORD MILLS","79","0","20","14","6","0","0","0","119","365","Oxford On Rideau Public School"
"042","LEEDS--GRENVILLE","166","U","KEMPTVILLE","66","0","23","18","1","0","0","0","108","271","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","167","U","KEMPTVILLE","124","1","62","39","5","0","0","0","231","593","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","168","U","KEMPTVILLE","77","1","12","20","3","0","0","0","113","357","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","169","U","KEMPTVILLE","84","0","32","13","2","0","0","1","132","342","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","170","U","KEMPTVILLE","111","0","37","26","12","1","0","0","187","478","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","171","U","KEMPTVILLE","95","0","25","16","4","0","0","0","140","362","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","172","U","KEMPTVILLE","51","0","25","23","1","0","0","0","100","284","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","173","U","KEMPTVILLE","62","0","4","6","4","0","0","0","76","274","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","174","U","KEMPTVILLE","63","0","22","14","4","0","0","0","103","338","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","175","U","KEMPTVILLE","124","2","41","20","15","0","0","0","202","485","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","176","U","KEMPTVILLE","56","1","19","19","0","0","0","0","95","255","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","177","U","KEMPTVILLE","104","0","50","28","11","0","0","0","193","521","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","178","U","KEMPTVILLE","96","0","37","14","3","1","1","0","152","373","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","179","U","BURRITTS RAPIDS","81","0","32","29","10","0","0","0","152","477","Burritts Rapids Community Hall"
"042","LEEDS--GRENVILLE","180","U","OXFORD MILLS","140","0","52","24","24","0","0","0","240","505","Oxford On Rideau Public School"
"042","LEEDS--GRENVILLE","181","U","KEMPTVILLE","98","0","23","14","8","1","0","0","144","358","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","182","U","BISHOPS MILLS","138","0","40","45","17","0","0","0","240","543","St. Andrew's United Church Hall"
"042","LEEDS--GRENVILLE","183","U","OXFORD MILLS","119","0","16","25","12","0","1","1","174","435","Oxford On Rideau Public School"
"042","LEEDS--GRENVILLE","184","U","BISHOPS MILLS","78","0","22","12","3","0","0","0","115","272","St. Andrew's United Church Hall"
"042","LEEDS--GRENVILLE","185","U","KEMPTVILLE","119","0","21","29","8","0","0","0","177","430","University Of Guelph, W.B. George Centre"
"042","LEEDS--GRENVILLE","186","U","OXFORD STATION","110","0","32","26","5","0","0","0","173","372","Oxford Furniture"
"042","LEEDS--GRENVILLE","187","U","OXFORD STATION","111","0","29","26","13","1","6","0","186","411","Oxford Furniture"
"042","LEEDS--GRENVILLE","188","U","OXFORD STATION","105","1","15","24","6","0","0","0","151","316","Oxford Furniture"
"042","LEEDS--GRENVILLE","189","U","SPENCERVILLE","135","1","38","22","7","0","2","0","205","484","Drummond Building"
"042","LEEDS--GRENVILLE","190","U","SPENCERVILLE","82","0","17","16","3","0","1","0","119","309","Drummond Building"
"042","LEEDS--GRENVILLE","191","U","SPENCERVILLE","87","2","48","34","7","0","0","0","178","407","Drummond Building"
"042","LEEDS--GRENVILLE","192","U","SPENCERVILLE","116","1","28","20","8","0","0","0","173","484","Drummond Building"
"042","LEEDS--GRENVILLE","193","U","SPENCERVILLE","112","0","17","35","3","0","1","0","168","414","Drummond Building"
"042","LEEDS--GRENVILLE","194","U","PRESCOTT","47","0","6","19","1","0","0","0","73","255","South Edwardsburg Community Centre"
"042","LEEDS--GRENVILLE","195","U","CARDINAL","110","1","20","22","0","0","0","0","153","390","St. Paul's Anglican Church Hall"
"042","LEEDS--GRENVILLE","196","U","PRESCOTT","99","0","19","26","1","0","0","0","145","268","South Edwardsburg Community Centre"
"042","LEEDS--GRENVILLE","197","U","PRESCOTT","160","0","53","24","4","0","0","0","241","452","South Edwardsburg Community Centre"
"042","LEEDS--GRENVILLE","198","U","CARDINAL","105","0","25","13","7","0","0","1","151","280","St. Paul's Anglican Church Hall"
"042","LEEDS--GRENVILLE","199","U","CARDINAL","87","0","9","25","3","0","0","0","124","382","St. Paul's Anglican Church Hall"
"042","LEEDS--GRENVILLE","200","U","CARDINAL","141","0","23","33","3","0","0","0","200","400","St. Paul's Anglican Church Hall"
"042","LEEDS--GRENVILLE","201","U","CARDINAL","89","0","9","37","4","0","0","0","139","335","St. Paul's Anglican Church Hall"
"042","LEEDS--GRENVILLE","202","U","CARDINAL","109","1","34","42","6","0","0","0","192","358","St. Paul's Anglican Church Hall"
"042","LEEDS--GRENVILLE","700","U","GANANOQUE","31","1","13","0","4","2","2","0","53","189","Carveth Care Centre"
"042","LEEDS--GRENVILLE","701","U","LEEDS AND THE THOUSAND ISLANDS","39","0","12","4","4","1","2","0","62","76","Fox Run Retirement Residence"
"042","LEEDS--GRENVILLE","702","U","NORTH GRENVILLE","..........................NO POLL HELD..........................","","","","","","","","","",""
"042","LEEDS--GRENVILLE","703","U","MERRICKVILLE","..........................NO POLL HELD..........................","","","","","","","","","",""
"042","LEEDS--GRENVILLE","704","U","BROCKVILLE","23","1","12","11","0","1","0","0","48","124","Brockville Mental Health Centre"
"042","LEEDS--GRENVILLE","705","U","ELIZBETHTOWN-KITLEY","26","2","10","3","1","1","0","0","43","120","Sherwood Park Manor"
"042","LEEDS--GRENVILLE","706","U","BROCKVILLE","..........................NO POLL HELD..........................","","","","","","","","","",""
"042","LEEDS--GRENVILLE","707","U","BROCKVILLE","56","2","13","2","1","1","0","0","75","222","St. Lawrence Lodge"
"042","LEEDS--GRENVILLE","708","U","BROCKVILLE","41","0","6","4","1","1","0","0","53","62","Bridlewood Manor"
"042","LEEDS--GRENVILLE","709","U","BROCKVILLE","13","0","1","2","1","0","0","0","17","31","Brockville General Hospital Garden Street"
"042","LEEDS--GRENVILLE","710","U","BROCKVILLE","..........................NO POLL HELD..........................","","","","","","","","","",""
"042","LEEDS--GRENVILLE","711","U","BROCKVILLE","52","0","13","7","0","2","1","0","75","101","Wedgewood"
"042","LEEDS--GRENVILLE","712","U","JASPER","9","3","4","0","0","0","0","1","17","78","Rosebridge Manor"
"042","LEEDS--GRENVILLE","713","U","MERRICKVILLE","38","0","9","4","0","0","1","0","52","122","Hilltop Manor Home"
