"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BAGHEL","CEOLIN","GILL","MCCONNELL","QAADRI","SHARMA","SINGH","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"025","ETOBICOKE NORTH","033","U","TORONTO","0","7","0","3","57","16","27","0","0","0","110","547","St. Andrew Catholic School"
"025","ETOBICOKE NORTH","034","U","TORONTO","0","0","1","0","43","32","35","0","0","0","111","329","St. Andrew Catholic School"
"025","ETOBICOKE NORTH","035","U","TORONTO","0","5","5","2","85","45","85","2","0","0","229","513","Beaumonde Heights School"
"025","ETOBICOKE NORTH","036","U","TORONTO","0","2","2","1","101","44","54","0","1","0","205","442","Beaumonde Heights School"
"025","ETOBICOKE NORTH","037","U","TORONTO","1","3","2","0","44","29","29","0","0","0","108","330","Beaumonde Heights School"
"025","ETOBICOKE NORTH","038","U","TORONTO","1","1","1","2","94","24","20","0","0","0","143","492","Rowntree Manor"
"025","ETOBICOKE NORTH","039","U","TORONTO","0","1","0","1","63","28","32","1","0","0","126","395","St. John Vianney School"
"025","ETOBICOKE NORTH","040","U","TORONTO","0","1","5","4","81","37","55","3","1","2","189","416","St. John Vianney School"
"025","ETOBICOKE NORTH","041","U","TORONTO","0","3","3","3","68","38","52","1","0","0","168","342","St. John Vianney School"
"025","ETOBICOKE NORTH","042","U","TORONTO","0","4","3","2","62","44","40","0","0","0","155","423","St. John Vianney School"
"025","ETOBICOKE NORTH","043","U","TORONTO","1","3","5","1","109","37","49","1","0","0","206","410","St. John Vianney School"
"025","ETOBICOKE NORTH","044","U","TORONTO","0","4","3","1","36","35","16","0","0","0","95","285","Braeburn Junior School"
"025","ETOBICOKE NORTH","045","U","TORONTO","0","3","0","1","116","39","16","1","0","0","176","555","Braeburn Junior School"
"025","ETOBICOKE NORTH","046","U","TORONTO","0","0","9","1","80","88","66","1","0","0","245","683","Humberwood Downs Community Centre"
"025","ETOBICOKE NORTH","047","U","TORONTO","0","1","3","4","89","47","44","0","0","0","188","491","Humberwood Downs Community Centre"
"025","ETOBICOKE NORTH","048","U","TORONTO","0","2","1","5","71","34","42","1","0","0","156","424","Humberwood Downs Community Centre"
"025","ETOBICOKE NORTH","049","U","TORONTO","1","2","0","1","85","39","75","2","0","0","205","575","Humberwood Downs Community Centre"
"025","ETOBICOKE NORTH","050","U","TORONTO","0","1","2","1","101","26","60","0","0","0","191","588","Humberwood Downs Community Centre"
"025","ETOBICOKE NORTH","051","U","TORONTO","0","0","2","2","96","29","46","0","1","0","176","570","30 Humberline Drive"
"025","ETOBICOKE NORTH","052","U","TORONTO","2","2","6","1","107","52","51","1","0","0","222","660","30 Humberline Drive"
"025","ETOBICOKE NORTH","053","U","TORONTO","0","0","2","3","64","30","8","0","0","0","107","319","30 Humberline Drive"
"025","ETOBICOKE NORTH","054","U","TORONTO","0","3","4","1","91","39","14","0","0","0","152","479","Humberline Place"
"025","ETOBICOKE NORTH","055","U","TORONTO","0","0","0","0","56","28","14","0","0","0","98","467","Humberline Place"
"025","ETOBICOKE NORTH","056","U","TORONTO","1","0","3","0","56","28","13","0","0","0","101","722","Ascot Co-Operative Community Centre"
"025","ETOBICOKE NORTH","057","U","TORONTO","2","0","3","3","93","54","42","0","0","0","197","685","Ascot Co-Operative Community Centre"
"025","ETOBICOKE NORTH","058","U","TORONTO","3","1","1","3","90","36","18","0","0","0","152","559","Ascot Co-Operative Community Centre"
"025","ETOBICOKE NORTH","059","U","TORONTO","1","1","2","3","112","53","42","1","0","0","215","634","Albion Heights School"
"025","ETOBICOKE NORTH","060","U","TORONTO","0","5","4","1","91","50","42","2","0","0","195","531","Albion Heights School"
"025","ETOBICOKE NORTH","061","U","TORONTO","1","2","2","0","55","26","15","2","2","0","105","415","Albion Heights School"
"025","ETOBICOKE NORTH","062","U","TORONTO","4","0","5","1","97","26","34","3","0","0","170","398","Albion Heights School"
"025","ETOBICOKE NORTH","063","U","TORONTO","1","4","4","2","106","47","50","0","0","0","214","436","Albion Heights School"
"025","ETOBICOKE NORTH","064","U","TORONTO","0","4","5","0","82","39","80","0","0","0","210","412","Martin Grove United Church"
"025","ETOBICOKE NORTH","065","U","TORONTO","0","8","5","3","73","29","55","0","0","0","173","391","Martin Grove United Church"
"025","ETOBICOKE NORTH","066","U","TORONTO","0","19","3","0","63","15","46","3","1","0","150","377","Martin Grove United Church"
"025","ETOBICOKE NORTH","067","U","TORONTO","0","7","5","1","60","46","58","1","0","0","178","379","Martin Grove United Church"
"025","ETOBICOKE NORTH","068","U","TORONTO","0","0","4","0","94","32","14","1","0","0","145","677","Elmbank Community Centre"
"025","ETOBICOKE NORTH","069","U","TORONTO","0","1","3","2","62","21","9","0","0","0","98","407","Elmbank Community Centre"
"025","ETOBICOKE NORTH","070","U","TORONTO","0","3","4","2","79","49","42","0","0","0","179","567","Robert J Smith Apartments"
"025","ETOBICOKE NORTH","071","U","TORONTO","1","7","4","3","115","33","45","4","0","0","212","543","Robert J Smith Apartments"
"025","ETOBICOKE NORTH","072","U","TORONTO","1","0","2","2","86","25","3","1","0","0","120","486","Greenholme School"
"025","ETOBICOKE NORTH","073","U","TORONTO","0","4","2","1","42","13","19","2","0","0","83","258","Greenholme School"
"025","ETOBICOKE NORTH","074","U","TORONTO","1","2","4","1","87","44","34","1","1","0","175","592","Albion Pool and Health Club"
"025","ETOBICOKE NORTH","075","U","TORONTO","0","1","1","3","73","29","36","0","0","0","143","488","Albion Pool and Health Club"
"025","ETOBICOKE NORTH","076","U","TORONTO","1","11","0","1","91","34","58","0","0","0","196","455","Church of St. Paul"
"025","ETOBICOKE NORTH","077","U","TORONTO","3","1","1","1","40","26","38","1","0","0","111","434","Church of St. Paul"
"025","ETOBICOKE NORTH","078","U","TORONTO","1","0","6","2","88","35","63","0","0","0","195","408","West Humber Junior School"
"025","ETOBICOKE NORTH","079","U","TORONTO","3","6","5","2","95","47","41","1","1","0","201","424","West Humber Junior School"
"025","ETOBICOKE NORTH","080","U","TORONTO","0","3","9","4","58","32","58","0","1","0","165","348","West Humber Junior School"
"025","ETOBICOKE NORTH","081","U","TORONTO","1","7","1","5","98","26","51","0","0","0","189","379","West Humber Junior School"
"025","ETOBICOKE NORTH","082","U","TORONTO","0","9","3","0","57","38","36","2","1","0","146","359","Church of St. Paul"
"025","ETOBICOKE NORTH","083","U","TORONTO","0","3","5","1","61","18","38","0","0","0","126","306","Thistletown Multi-Service Centre"
"025","ETOBICOKE NORTH","084","U","TORONTO","0","1","10","5","86","36","82","2","1","0","223","499","Rivercrest School"
"025","ETOBICOKE NORTH","085","U","TORONTO","5","0","7","3","62","35","70","2","0","0","184","393","Rivercrest School"
"025","ETOBICOKE NORTH","086","U","TORONTO","0","3","3","3","54","30","49","0","0","0","142","354","Rivercrest School"
"025","ETOBICOKE NORTH","087","U","TORONTO","1","5","4","6","85","30","73","0","0","0","204","436","Rivercrest School"
"025","ETOBICOKE NORTH","088","U","TORONTO","0","4","7","1","74","47","64","1","0","0","198","427","Thistletown Collegiate"
"025","ETOBICOKE NORTH","089","U","TORONTO","1","7","8","5","102","46","48","2","0","0","219","596","Thistletown Collegiate"
"025","ETOBICOKE NORTH","090","U","TORONTO","1","0","2","1","84","32","40","0","0","0","160","431","Thistletown Collegiate"
"025","ETOBICOKE NORTH","091","U","TORONTO","0","6","2","2","62","34","68","1","0","0","175","402","Mississauga Private School"
"025","ETOBICOKE NORTH","092","U","TORONTO","0","2","2","0","64","33","45","2","0","0","148","381","Thistletown Collegiate"
"025","ETOBICOKE NORTH","093","U","TORONTO","0","2","3","3","59","40","49","1","1","0","158","333","Mississauga Private School"
"025","ETOBICOKE NORTH","094","U","TORONTO","0","3","5","2","70","32","51","0","0","1","164","412","Mississauga Private School"
"025","ETOBICOKE NORTH","095","U","TORONTO","0","2","1","7","80","25","43","0","0","0","158","407","Rexdale Presbyterian Church"
"025","ETOBICOKE NORTH","096","U","TORONTO","0","2","1","1","32","17","20","0","1","0","74","309","Rexdale Presbyterian Church"
"025","ETOBICOKE NORTH","097","U","TORONTO","0","3","0","3","56","35","16","0","0","0","113","431","Rexdale Presbyterian Church"
"025","ETOBICOKE NORTH","098","U","TORONTO","0","10","10","1","81","58","52","0","1","0","213","597","Rexdale Presbyterian Church"
"025","ETOBICOKE NORTH","099","U","TORONTO","0","1","6","1","105","33","62","1","0","0","209","496","Thistletown Multi-Service Centre"
"025","ETOBICOKE NORTH","100","U","TORONTO","0","3","4","3","36","19","22","0","0","0","87","345","St. Stephen Catholic School"
"025","ETOBICOKE NORTH","101","U","TORONTO","1","2","4","4","99","21","35","2","0","0","168","422","St. Stephen Catholic School"
"025","ETOBICOKE NORTH","102","U","TORONTO","2","16","8","3","83","46","67","0","0","0","225","541","St. Stephen Catholic School"
"025","ETOBICOKE NORTH","103","U","TORONTO","0","3","4","3","102","41","48","0","1","1","203","576","Elmlea School"
"025","ETOBICOKE NORTH","104","U","TORONTO","0","3","5","1","95","50","46","0","0","0","200","514","Elmlea School"
"025","ETOBICOKE NORTH","105","U","TORONTO","0","4","7","4","69","32","42","0","0","0","158","347","Elmlea School"
"025","ETOBICOKE NORTH","106","U","TORONTO","0","4","4","4","80","38","70","0","0","0","200","480","Elmlea School"
"025","ETOBICOKE NORTH","107","U","TORONTO","0","2","3","5","86","24","21","0","0","0","141","472","St. Maurice School"
"025","ETOBICOKE NORTH","108","U","TORONTO","0","3","9","3","82","61","36","0","0","2","196","584","St. Maurice School"
"025","ETOBICOKE NORTH","109","U","TORONTO","0","0","4","5","87","26","37","0","0","0","159","368","St. Maurice School"
"025","ETOBICOKE NORTH","110","U","TORONTO","0","1","0","1","93","30","41","1","0","0","167","381","St. Maurice School"
"025","ETOBICOKE NORTH","111","U","TORONTO","0","2","3","0","92","36","45","1","0","0","179","458","Don Bosco Catholic School"
"025","ETOBICOKE NORTH","112","U","TORONTO","1","0","9","1","63","24","28","3","0","0","129","319","Don Bosco Catholic School"
"025","ETOBICOKE NORTH","113","U","TORONTO","0","1","12","4","118","16","166","3","0","0","320","498","2000/2010 Islington"
"025","ETOBICOKE NORTH","114","U","TORONTO","0","3","2","5","92","27","30","1","0","0","160","596","Don Bosco Catholic School"
"025","ETOBICOKE NORTH","115","U","TORONTO","1","0","2","0","84","12","10","0","0","0","109","390","Don Bosco Catholic School"
"025","ETOBICOKE NORTH","116","U","TORONTO","0","3","4","3","115","25","64","3","0","0","217","449","School of Experiential Education"
"025","ETOBICOKE NORTH","117","U","TORONTO","0","1","5","1","83","44","46","0","0","0","180","500","School of Experiential Education"
"025","ETOBICOKE NORTH","118","U","TORONTO","0","3","8","1","71","24","60","0","0","0","167","400","School of Experiential Education"
"025","ETOBICOKE NORTH","400","U","TORONTO","0","0","0","0","49","28","15","0","0","0","92","322","North Kipling Community Centre"
"025","ETOBICOKE NORTH","401","U","TORONTO","0","0","0","4","56","14","16","0","0","0","90","357","North Kipling Community Centre"
"025","ETOBICOKE NORTH","402","U","TORONTO","3","2","3","4","67","42","18","3","0","0","142","368","Platinum on the Humber III"
"025","ETOBICOKE NORTH","403","U","TORONTO","0","2","4","4","46","47","32","0","0","0","135","433","Platinum on the Humber III"
"025","ETOBICOKE NORTH","404","U","TORONTO","0","3","11","1","99","58","32","1","0","0","205","482","Platinum on the Humber"
"025","ETOBICOKE NORTH","405","U","TORONTO","0","3","6","1","86","37","31","0","0","0","164","448","Mansions of the Humberwood"
"025","ETOBICOKE NORTH","406","U","TORONTO","1","1","2","4","69","29","32","2","0","0","140","426","Mansions of the Humberwood"
"025","ETOBICOKE NORTH","407","U","TORONTO","1","3","2","1","77","34","5","0","0","0","123","324","Humberwood Apartments"
"025","ETOBICOKE NORTH","408","U","TORONTO","1","1","4","1","66","32","15","0","0","0","120","301","Humber Green - Humberset Fairways"
"025","ETOBICOKE NORTH","409","U","TORONTO","3","2","0","3","83","58","15","0","1","0","165","427","Humber Green-Rio Plaza"
"025","ETOBICOKE NORTH","410","U","TORONTO","2","3","0","4","78","45","27","0","1","1","161","385","Humber Green-Grand Vista"
"025","ETOBICOKE NORTH","411","U","TORONTO","0","3","4","0","65","39","23","0","0","0","134","199","Highway Terrace Apartments."
"025","ETOBICOKE NORTH","412","U","TORONTO","7","0","6","3","165","45","25","0","0","0","251","632","390 Dixon Road"
"025","ETOBICOKE NORTH","413","U","TORONTO","2","2","2","1","57","12","25","0","0","0","101","284","390 Dixon Road"
"025","ETOBICOKE NORTH","414","U","TORONTO","0","3","6","4","120","35","36","2","0","0","206","662","390 Dixon Road"
"025","ETOBICOKE NORTH","415","U","TORONTO","0","4","2","0","121","27","14","0","0","1","169","662","Kingsview Park"
"025","ETOBICOKE NORTH","416","U","TORONTO","0","0","1","1","38","23","14","1","0","0","78","288","Kingsview Park"
"025","ETOBICOKE NORTH","417","U","TORONTO","1","2","3","3","108","41","13","0","1","0","172","407","Kingsview Park"
"025","ETOBICOKE NORTH","700","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","",""
"025","ETOBICOKE NORTH","701","U","TORONTO","0","2","1","3","30","7","19","0","0","0","62","96","Our Saviour Thistletown Lutheran Lodge"
"025","ETOBICOKE NORTH","702","U","TORONTO","1","1","1","2","27","10","9","0","2","0","53","182","Central Park Lodge"
"025","ETOBICOKE NORTH","703","U","TORONTO","0","0","1","2","11","7","4","2","0","0","27","67","Leisureworld Caregiving Centre"
"025","ETOBICOKE NORTH","704","U","TORONTO","0","0","0","0","0","0","0","0","0","0","0","120","Etobicoke General Hospital"
"025","ETOBICOKE NORTH","705","U","TORONTO","0","0","2","2","31","12","14","2","0","0","63","131","Kipling Acres for the Aged"
"025","ETOBICOKE NORTH","706","U","TORONTO","1","3","0","2","36","9","8","1","0","0","60","147","Antonio Mazzotta - Seniors Building"
"025","ETOBICOKE NORTH","ADV001","U","TORONTO","1","7","15","8","463","177","280","6","0","0","957","0","Returning Office / Bureau du directeur du scrutin"
"025","ETOBICOKE NORTH","ADV002","U","TORONTO","2","6","10","9","105","76","103","0","0","0","311","0","Special Ballot Voting / Vote par bulletin spécial"
"025","ETOBICOKE NORTH","ADV003","U","TORONTO","1","5","5","10","148","51","86","1","0","0","307","0","Thistletown Multi-Service Centre"
"025","ETOBICOKE NORTH","ADV004","U","TORONTO","2","6","10","4","195","75","132","0","0","0","424","0","North Kipling Community Centre"
"025","ETOBICOKE NORTH","ADV005","U","TORONTO","0","3","9","4","130","54","101","0","0","0","301","0","Quality Hotel and Suites"
"025","ETOBICOKE NORTH","ADV006","U","TORONTO","1","1","0","1","100","27","118","2","0","0","250","0","Humberwood Downs Community Centre"
"025","ETOBICOKE NORTH","ADV007","U","TORONTO","1","1","17","0","19","53","18","0","0","0","109","0","Humber College Residence"
"TOTALS:","","","","","100","391","541","320","12081","5426","6072","113","28","10","25082","62472",""
