"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DESJARDINS","DEVRIES","PAPENBURG","PETTAPIECE","SMINK","WILKINSON","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"070","PERTH--WELLINGTON","023","U","MOUNT FOREST","2","2","21","62","0","52","3","0","0","142","305","Mount Forest and District Sports Complex"
"070","PERTH--WELLINGTON","024","U","MOUNT FOREST","5","2","31","54","0","38","0","0","0","130","360","Mount Forest and District Sports Complex"
"070","PERTH--WELLINGTON","025","U","MOUNT FOREST","7","3","19","69","0","36","0","0","0","134","392","Mount Forest and District Sports Complex"
"070","PERTH--WELLINGTON","026","U","ARTHUR","3","2","23","81","1","28","0","0","0","138","307","Arthur and Area Community Centre"
"070","PERTH--WELLINGTON","027","U","ARTHUR","3","2","40","141","1","44","0","0","0","231","476","Arthur and Area Community Centre"
"070","PERTH--WELLINGTON","028","U","ARTHUR","4","2","33","117","0","30","1","0","0","187","415","Arthur and Area Community Centre"
"070","PERTH--WELLINGTON","029","U","ARTHUR","12","2","38","139","6","46","1","0","0","244","501","Arthur and Area Community Centre"
"070","PERTH--WELLINGTON","030","U","ARTHUR","7","1","32","108","1","59","1","1","0","210","419","Arthur and Area Community Centre"
"070","PERTH--WELLINGTON","031","U","ARTHUR","5","9","29","139","0","26","1","0","0","209","386","Arthur and Area Community Centre"
"070","PERTH--WELLINGTON","032","U","ARTHUR","4","1","27","100","0","27","0","0","0","159","386","Arthur and Area Community Centre"
"070","PERTH--WELLINGTON","033","U","MOOREFIELD","6","5","19","94","1","45","0","1","0","171","376","Maryborough Public School"
"070","PERTH--WELLINGTON","034","U","MOOREFIELD","6","3","25","71","0","59","0","1","0","165","331","Maryborough Public School"
"070","PERTH--WELLINGTON","035","U","DRAYTON","6","2","29","102","0","58","0","0","0","197","430","Peel Maryborough Drayton Arena Complex"
"070","PERTH--WELLINGTON","036","U","MOOREFIELD","..........................NO POLL HELD..........................","","","","","","","","","","",""
"070","PERTH--WELLINGTON","037","U","MOOREFIELD","4","7","29","125","1","54","0","1","0","221","525","Maryborough Public School"
"070","PERTH--WELLINGTON","038","U","ALMA","4","5","45","166","0","49","1","1","0","271","460","Alma Optimist Community Hall"
"070","PERTH--WELLINGTON","039","U","DRAYTON","2","4","18","95","0","27","0","0","0","146","341","Peel Maryborough Drayton Arena Complex"
"070","PERTH--WELLINGTON","040","U","DRAYTON","6","6","21","100","0","57","1","0","0","191","467","Peel Maryborough Drayton Arena Complex"
"070","PERTH--WELLINGTON","041","U","DRAYTON","3","13","29","99","1","49","0","0","0","194","414","Peel Maryborough Drayton Arena Complex"
"070","PERTH--WELLINGTON","042","U","DRAYTON","6","2","15","67","0","28","0","0","0","118","366","Peel Maryborough Drayton Arena Complex"
"070","PERTH--WELLINGTON","043","U","ALMA","4","2","26","158","0","51","0","0","0","241","503","Alma Optimist Community Hall"
"070","PERTH--WELLINGTON","044","U","DRAYTON","4","1","11","62","0","28","0","0","0","106","340","Centre Peel Public School"
"070","PERTH--WELLINGTON","045","U","DRAYTON","0","0","7","22","0","7","0","0","0","36","264","Centre Peel Public School"
"070","PERTH--WELLINGTON","046","U","NORTH PERTH","2","6","18","67","0","32","0","1","0","126","285","Wallace Community Centre"
"070","PERTH--WELLINGTON","047","U","NORTH PERTH","3","12","15","96","0","51","0","0","0","177","428","Wallace Community Centre"
"070","PERTH--WELLINGTON","048","U","NORTH PERTH","2","3","13","67","0","68","0","0","0","153","345","Wallace Community Centre"
"070","PERTH--WELLINGTON","049","U","NORTH PERTH","4","0","20","67","0","50","1","0","0","142","405","Wallace Community Centre"
"070","PERTH--WELLINGTON","050","U","LISTOWEL","4","3","25","70","0","92","1","0","0","195","476","Parkview Gardens (Legion Auditorium)"
"070","PERTH--WELLINGTON","051","U","LISTOWEL","1","4","26","73","0","83","0","2","0","189","411","Parkview Gardens (Legion Auditorium)"
"070","PERTH--WELLINGTON","052","U","LISTOWEL","0","3","30","50","0","57","0","0","1","141","459","Parkview Gardens (Legion Auditorium)"
"070","PERTH--WELLINGTON","053","U","LISTOWEL","3","3","17","82","2","59","0","0","1","167","440","Parkview Gardens (Legion Auditorium)"
"070","PERTH--WELLINGTON","054","U","LISTOWEL","4","3","19","113","0","70","1","0","0","210","397","Parkview Gardens (Legion Auditorium)"
"070","PERTH--WELLINGTON","055","U","LISTOWEL","3","4","26","71","0","61","1","0","0","166","421","Parkview Gardens (Legion Auditorium)"
"070","PERTH--WELLINGTON","056","U","LISTOWEL","3","1","16","73","1","66","0","2","0","162","439","Parkview Gardens (Legion Auditorium)"
"070","PERTH--WELLINGTON","057","U","LISTOWEL","2","2","21","94","1","77","0","0","0","197","466","Parkview Gardens (Legion Auditorium)"
"070","PERTH--WELLINGTON","058","U","LISTOWEL","2","1","23","81","0","41","0","0","0","148","428","Parkview Gardens (Legion Auditorium)"
"070","PERTH--WELLINGTON","059","U","LISTOWEL","1","1","19","85","1","41","0","0","0","148","418","Parkview Gardens (Legion Auditorium)"
"070","PERTH--WELLINGTON","060","U","LISTOWEL","2","5","23","91","0","80","0","0","0","201","431","Parkview Gardens (Legion Auditorium)"
"070","PERTH--WELLINGTON","061","U","LISTOWEL","2","3","14","77","3","59","0","1","0","159","380","Parkview Gardens (Legion Auditorium)"
"070","PERTH--WELLINGTON","062","U","LISTOWEL","3","8","26","79","2","65","0","0","0","183","483","Parkview Gardens (Legion Auditorium)"
"070","PERTH--WELLINGTON","063","U","ATWOOD","5","2","30","135","1","56","0","1","1","231","417","Elma Memorial Community Centre"
"070","PERTH--WELLINGTON","064","U","ATWOOD","9","2","36","133","1","65","0","0","0","246","407","Elma Memorial Community Centre"
"070","PERTH--WELLINGTON","065","U","ATWOOD","3","3","25","94","2","32","0","0","0","159","345","Elma Memorial Community Centre"
"070","PERTH--WELLINGTON","066","U","ATWOOD","0","0","11","62","0","41","1","0","0","115","325","Elma Memorial Community Centre"
"070","PERTH--WELLINGTON","067","U","MITCHELL","2","5","22","85","4","42","1","0","0","161","385","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","068","U","MITCHELL","2","5","11","69","1","53","0","0","0","141","384","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","069","U","MITCHELL","3","9","27","97","0","41","0","1","0","178","442","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","070A","U","MITCHELL","2","3","14","48","0","44","0","0","1","112","261","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","070B","U","MITCHELL","0","2","19","46","1","57","0","0","2","127","282","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","071","U","MITCHELL","7","9","23","59","1","57","1","0","0","157","378","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","072","U","MITCHELL","4","4","37","70","0","74","1","0","0","190","437","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","073","U","MITCHELL","2","1","32","91","1","71","0","0","0","198","421","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","074","U","MITCHELL","2","5","39","84","0","60","0","0","0","190","459","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","075","U","MITCHELL","13","11","39","116","1","84","1","1","0","266","574","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","076A","U","MITCHELL","3","2","21","36","3","54","0","0","0","119","285","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","076B","U","MITCHELL","3","6","14","53","0","31","0","0","0","107","270","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","077","U","MITCHELL","8","5","38","80","2","68","0","0","0","201","503","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","078","U","MITCHELL","3","1","15","67","2","47","0","1","0","136","363","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","079","U","MITCHELL","0","6","28","89","3","52","1","1","0","180","415","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","080","U","MILVERTON","5","2","13","27","1","42","0","0","0","90","362","Perth East Recreation Centre"
"070","PERTH--WELLINGTON","081","U","MILVERTON","4","2","15","39","0","26","0","1","0","87","396","Perth East Recreation Centre"
"070","PERTH--WELLINGTON","082","U","MILVERTON","5","0","15","43","1","18","0","1","0","83","434","Perth East Recreation Centre"
"070","PERTH--WELLINGTON","083","U","MILVERTON","6","3","32","76","0","47","2","0","0","166","438","Perth East Recreation Centre"
"070","PERTH--WELLINGTON","084","U","MILVERTON","4","3","31","61","1","80","0","0","0","180","414","Perth East Recreation Centre"
"070","PERTH--WELLINGTON","085","U","MILVERTON","4","8","14","77","0","81","1","0","0","185","371","Perth East Recreation Centre"
"070","PERTH--WELLINGTON","086","U","MILVERTON","2","2","11","47","0","33","0","0","0","95","333","Perth East Recreation Centre"
"070","PERTH--WELLINGTON","087","U","ROSTOCK","4","8","29","78","1","63","0","0","0","183","331","Rostock Community Hall"
"070","PERTH--WELLINGTON","088","U","ROSTOCK","5","2","18","95","1","39","0","0","0","160","416","Rostock Community Hall"
"070","PERTH--WELLINGTON","089","U","ROSTOCK","4","9","24","82","1","67","0","0","2","189","425","Rostock Community Hall"
"070","PERTH--WELLINGTON","090","U","SEBRINGVILLE","3","1","43","107","0","90","1","0","2","247","595","Sebringville Community Centre"
"070","PERTH--WELLINGTON","091","U","SEBRINGVILLE","5","7","39","115","0","88","0","0","0","254","510","Sebringville Community Centre"
"070","PERTH--WELLINGTON","092","U","SHAKESPEARE","5","1","12","58","1","65","0","0","0","142","435","Shakespeare and  District Optimist Hall"
"070","PERTH--WELLINGTON","093","U","SHAKESPEARE","2","3","16","81","1","69","0","0","0","172","361","Shakespeare and  District Optimist Hall"
"070","PERTH--WELLINGTON","094","U","SHAKESPEARE","8","1","9","66","0","74","0","0","0","158","393","Shakespeare and  District Optimist Hall"
"070","PERTH--WELLINGTON","095","U","SHAKESPEARE","5","0","30","96","3","85","1","0","0","220","479","Shakespeare and  District Optimist Hall"
"070","PERTH--WELLINGTON","096","U","SHAKESPEARE","7","1","27","92","0","61","0","0","0","188","383","Shakespeare and  District Optimist Hall"
"070","PERTH--WELLINGTON","097","U","STRATFORD","4","4","26","92","0","89","0","0","0","215","445","Festival Inn"
"070","PERTH--WELLINGTON","098A","U","STRATFORD","4","1","18","24","0","62","0","0","0","109","346","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","098B","U","STRATFORD","8","3","14","25","1","49","0","0","0","100","312","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","099","U","STRATFORD","4","1","21","35","0","53","0","0","0","114","322","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","100","U","STRATFORD","3","0","24","51","0","67","0","0","0","145","419","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","101","U","STRATFORD","10","0","37","33","0","57","0","0","0","137","468","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","102","U","STRATFORD","2","0","25","66","0","117","0","0","0","210","429","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","103","U","STRATFORD","2","0","30","43","0","71","2","0","0","148","426","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","104","U","STRATFORD","2","2","14","49","0","93","1","0","0","161","410","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","105","U","STRATFORD","1","2","15","37","0","130","0","0","0","185","425","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","106","U","STRATFORD","2","1","39","48","0","84","0","0","0","174","487","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","107","U","STRATFORD","2","4","43","37","0","98","0","0","1","185","511","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","108","U","STRATFORD","7","1","30","39","1","79","1","0","0","158","385","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","109","U","STRATFORD","9","1","26","26","0","96","0","0","0","158","501","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","110","U","STRATFORD","9","0","26","45","0","127","0","0","0","207","469","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","111","U","STRATFORD","8","0","15","54","0","107","0","0","0","184","449","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","112","U","STRATFORD","6","0","18","51","0","104","0","0","1","180","477","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","113","U","STRATFORD","6","0","22","30","2","97","1","0","0","158","439","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","114","U","STRATFORD","8","1","51","34","1","143","0","0","1","239","513","Kiwanis Centre"
"070","PERTH--WELLINGTON","115","U","STRATFORD","4","7","36","42","0","92","0","0","0","181","488","Kiwanis Centre"
"070","PERTH--WELLINGTON","116","U","STRATFORD","5","3","26","45","1","76","0","0","0","156","412","Festival Inn"
"070","PERTH--WELLINGTON","117","U","STRATFORD","1","2","35","53","1","65","2","0","0","159","453","Festival Inn"
"070","PERTH--WELLINGTON","118","U","STRATFORD","3","0","31","38","0","72","0","0","0","144","431","Festival Inn"
"070","PERTH--WELLINGTON","119","U","STRATFORD","5","2","43","38","1","39","1","0","0","129","454","Festival Inn"
"070","PERTH--WELLINGTON","120","U","STRATFORD","6","0","59","31","0","62","0","0","0","158","513","Kiwanis Centre"
"070","PERTH--WELLINGTON","121","U","STRATFORD","8","4","40","23","0","75","0","0","2","152","451","Kiwanis Centre"
"070","PERTH--WELLINGTON","122","U","STRATFORD","8","3","41","34","0","87","0","0","0","173","506","Kiwanis Centre"
"070","PERTH--WELLINGTON","123","U","STRATFORD","7","1","38","36","0","56","0","0","1","139","467","Kiwanis Centre"
"070","PERTH--WELLINGTON","124","U","STRATFORD","8","4","38","38","0","36","0","0","0","124","413","Knights of Columbus Hall"
"070","PERTH--WELLINGTON","125","U","STRATFORD","6","2","40","51","0","43","0","0","0","142","468","Knights of Columbus Hall"
"070","PERTH--WELLINGTON","126","U","STRATFORD","4","1","44","38","2","58","3","0","0","150","468","Knights of Columbus Hall"
"070","PERTH--WELLINGTON","127","U","STRATFORD","13","1","27","37","2","74","1","0","0","155","374","Zion Lutheran Church"
"070","PERTH--WELLINGTON","128","U","STRATFORD","8","1","41","31","0","63","0","0","0","144","466","Zion Lutheran Church"
"070","PERTH--WELLINGTON","129","U","STRATFORD","4","7","29","32","0","55","0","1","0","128","416","Army Navy and Air Force Veterans Unit 261"
"070","PERTH--WELLINGTON","130","U","STRATFORD","3","2","35","28","0","50","0","0","0","118","418","Army Navy and Air Force Veterans Unit 261"
"070","PERTH--WELLINGTON","131","U","STRATFORD","4","3","50","46","0","74","1","0","0","178","454","Army Navy and Air Force Veterans Unit 261"
"070","PERTH--WELLINGTON","132","U","STRATFORD","4","1","46","32","0","61","0","0","0","144","399","Army Navy and Air Force Veterans Unit 261"
"070","PERTH--WELLINGTON","133","U","STRATFORD","15","1","30","49","0","67","0","0","0","162","443","Army Navy and Air Force Veterans Unit 261"
"070","PERTH--WELLINGTON","134","U","STRATFORD","3","2","32","51","1","62","0","0","0","151","423","Army Navy and Air Force Veterans Unit 261"
"070","PERTH--WELLINGTON","135","U","STRATFORD","7","0","32","39","1","39","0","0","1","119","395","Army Navy and Air Force Veterans Unit 261"
"070","PERTH--WELLINGTON","136","U","STRATFORD","10","2","32","36","2","88","0","0","0","170","440","Zion Lutheran Church"
"070","PERTH--WELLINGTON","137","U","STRATFORD","9","2","41","27","2","135","1","2","0","219","474","Army Navy and Air Force Veterans Unit 261"
"070","PERTH--WELLINGTON","138","U","STRATFORD","7","3","59","57","2","97","1","0","1","227","473","Army Navy and Air Force Veterans Unit 261"
"070","PERTH--WELLINGTON","139","U","STRATFORD","1","8","34","41","2","49","1","0","0","136","421","Army Navy and Air Force Veterans Unit 261"
"070","PERTH--WELLINGTON","140","U","STRATFORD","2","5","21","43","1","74","0","0","0","146","403","Army Navy and Air Force Veterans Unit 261"
"070","PERTH--WELLINGTON","141","U","STRATFORD","1","3","29","42","0","109","0","0","0","184","429","Army Navy and Air Force Veterans Unit 261"
"070","PERTH--WELLINGTON","142","U","STRATFORD","6","2","45","67","0","128","3","0","0","251","499","Spruce Lodge"
"070","PERTH--WELLINGTON","143","U","STRATFORD","8","1","21","37","0","93","0","0","0","160","462","Army Navy and Air Force Veterans Unit 261"
"070","PERTH--WELLINGTON","144","U","STRATFORD","2","0","11","42","0","79","0","0","0","134","356","Army Navy and Air Force Veterans Unit 261"
"070","PERTH--WELLINGTON","145","U","STRATFORD","4","0","17","24","0","84","0","1","0","130","309","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","146","U","STRATFORD","7","1","29","23","1","77","0","0","0","138","400","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","147","U","STRATFORD","1","1","20","17","1","45","1","0","0","86","315","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","148","U","STRATFORD","2","0","12","36","0","53","0","0","0","103","332","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","149","U","ST PAULS STATION","3","4","27","70","0","90","0","0","0","194","359","Downie Optimist Hall"
"070","PERTH--WELLINGTON","150","U","ST PAULS STATION","8","5","20","85","0","61","1","0","0","180","342","Downie Optimist Hall"
"070","PERTH--WELLINGTON","151","U","ST PAULS STATION","3","5","18","77","0","82","0","0","0","185","410","Downie Optimist Hall"
"070","PERTH--WELLINGTON","152","U","ST MARYS","8","7","32","78","1","62","0","0","0","188","476","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","153","U","ST MARYS","8","2","19","92","1","47","0","0","0","169","363","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","154","U","ST MARYS","5","0","28","86","2","43","0","0","0","164","356","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","155","U","ST MARYS","3","2","37","63","6","91","1","0","0","203","431","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","156","U","ST MARYS","1","0","31","61","2","63","0","0","0","158","341","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","157","U","ST MARYS","8","1","32","51","1","78","0","0","1","172","401","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","158","U","ST MARYS","5","1","33","71","5","82","0","0","0","197","410","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","159","U","ST MARYS","8","3","51","67","4","83","0","0","0","216","489","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","160","U","ST MARYS","4","0","31","49","2","80","0","0","0","166","340","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","161","U","ST MARYS","4","3","30","90","2","61","0","0","0","190","375","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","162","U","ST MARYS","2","0","29","50","3","80","0","1","0","165","393","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","163","U","ST MARYS","2","0","44","63","0","80","0","0","0","189","439","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","164","U","ST MARYS","1","3","27","54","2","47","0","0","0","134","319","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","165","U","ST MARYS","6","4","44","60","1","94","0","0","0","209","443","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","166","U","ST MARYS","2","1","42","81","5","82","0","0","0","213","540","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","400","U","STRATFORD","5","2","19","8","0","7","0","1","0","42","112","45 Buckingham Drive"
"070","PERTH--WELLINGTON","401","U","STRATFORD","2","0","12","10","0","12","0","0","0","36","146","Stratford Rotary Complex"
"070","PERTH--WELLINGTON","700","U","HARRISTON","1","3","5","18","0","21","0","2","0","50","110","Caressant Care Harriston"
"070","PERTH--WELLINGTON","701","U","PALMERSTON","1","1","4","18","1","16","1","0","0","42","118","Royal Terrace"
"070","PERTH--WELLINGTON","702","U","MOUNT FOREST","0","2","11","23","2","26","1","0","0","65","91","Birmingham Retirement Community"
"070","PERTH--WELLINGTON","703","U","MOUNT FOREST","0","1","5","13","1","19","0","0","0","39","87","Saugeen Valley Nursing Home"
"070","PERTH--WELLINGTON","704","U","ARTHUR","2","6","6","22","0","16","0","2","0","54","102","Caressant Care Arthur"
"070","PERTH--WELLINGTON","705","U","LISTOWEL","4","0","5","21","1","23","0","1","0","55","106","Caressant Care Listowel"
"070","PERTH--WELLINGTON","706","U","MITCHELL","4","6","7","31","1","33","0","0","0","82","146","Ritz Villa"
"070","PERTH--WELLINGTON","707","U","MITCHELL","0","2","4","10","0","20","1","0","0","37","106","Mitchell Nursing Home"
"070","PERTH--WELLINGTON","708","U","MILVERTON","1","1","3","11","0","12","2","0","0","30","79","Knollcrest Lodge"
"070","PERTH--WELLINGTON","709","U","BRUNNER","2","0","5","12","0","18","0","0","0","37","58","Country Meadows Retirement Home"
"070","PERTH--WELLINGTON","710","U","STRATFORD","2","1","4","19","1","10","1","0","0","38","91","Hillside Manor"
"070","PERTH--WELLINGTON","711","U","STRATFORD","0","1","9","31","0","60","0","0","0","101","168","Greenwood Court"
"070","PERTH--WELLINGTON","712","U","MITCHELL","..........................NO POLL HELD..........................","","","","","","","","","","",""
"070","PERTH--WELLINGTON","713","U","STRATFORD","0","0","1","12","1","28","1","0","0","43","60","Anne Hathaway Residence"
"070","PERTH--WELLINGTON","714","U","STRATFORD","3","0","4","11","0","30","4","0","0","52","95","Cedarcroft Place Retirement Residence"
"070","PERTH--WELLINGTON","715","U","BRUNNER","..........................NO POLL HELD..........................","","","","","","","","","","",""
"070","PERTH--WELLINGTON","716","U","STRATFORD","0","1","3","7","0","23","3","0","0","37","126","Spruce Lodge"
"070","PERTH--WELLINGTON","717","U","ST MARYS","2","0","5","15","0","17","0","0","0","39","80","Wildwood Care Centre"
"070","PERTH--WELLINGTON","718","U","ST MARYS","1","1","13","60","2","34","1","2","0","114","203","Kingsway Lodge"
"070","PERTH--WELLINGTON","719","U","LISTOWEL",".......................COMBINED WITH POLL 718.......................","","","","","","","","","","","Livingstone Manor"
"070","PERTH--WELLINGTON","720","U","LISTOWEL","..........................NO POLL HELD..........................","","","","","","","","","","",""
"070","PERTH--WELLINGTON","ADV001","U","STRATFORD","45","20","305","653","6","1068","0","0","1","2098","0","Returning Office / Bureau du directeur du scrutin"
"070","PERTH--WELLINGTON","ADV002","U","STRATFORD","13","7","110","208","0","259","13","0","0","610","0","Special Ballot Voting / Vote par bulletin spécial"
"070","PERTH--WELLINGTON","ADV003","U","LISTOWEL","13","11","84","480","0","274","1","1","0","864","0","Satellite Office"
"070","PERTH--WELLINGTON","ADV004","U","MOUNT FOREST","17","10","115","442","4","252","0","0","0","840","0","Mount Forest and District Sports Complex"
"070","PERTH--WELLINGTON","ADV005","U","ARTHUR","1","2","18","100","1","53","0","0","0","175","0","St. John Parish Centre"
"070","PERTH--WELLINGTON","ADV006","U","PALMERSTON","5","8","68","188","3","138","2","1","0","413","0","St. Paul's Anglican Church"
"070","PERTH--WELLINGTON","ADV007","U","DRAYTON","1","10","18","125","1","46","0","0","0","201","0","Peel Maryborough Drayton Arena Complex"
"070","PERTH--WELLINGTON","ADV008","U","ST MARYS","8","7","95","304","5","298","0","0","0","717","0","Pyramid Recreation Centre"
"070","PERTH--WELLINGTON","ADV009","U","MILVERTON","1","0","6","55","0","48","0","0","0","110","0","Perth East Recreation Centre"
"070","PERTH--WELLINGTON","ADV010","U","MITCHELL","9","12","62","339","3","256","1","0","0","682","0","Mitchell and District Community Centre"
"070","PERTH--WELLINGTON","ADV011","U","STRATFORD","5","3","92","196","1","482","2","1","0","782","0","St. James Anglican Church"
"070","PERTH--WELLINGTON","ADV012","U","STRATFORD","6","3","59","185","1","302","0","0","0","556","0","Stratford Rotary Complex"
"TOTALS:","","","","","918","627","5836","14845","164","14635","84","38","22","37169","71629",""
