"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","MCLARTY","MEES","MILLIGAN","RIEGER","RINALDI","SMITH TORRIE","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"058","NORTHUMBERLAND--QUINTE WEST","014","U","CAMPBELLFORD","2","43","75","0","28","0","0","0","2","150","458","Campbellford District High School"
"058","NORTHUMBERLAND--QUINTE WEST","015","U","CAMPBELLFORD","0","26","83","0","53","3","0","0","0","165","351","Campbellford Community Resource Centre"
"058","NORTHUMBERLAND--QUINTE WEST","016","U","CAMPBELLFORD","0","47","92","0","78","2","2","0","0","221","506","Campbellford Baptist Church"
"058","NORTHUMBERLAND--QUINTE WEST","017","U","HASTINGS","2","51","73","3","59","5","1","1","0","195","454","Hastings Civic Center"
"058","NORTHUMBERLAND--QUINTE WEST","018","U","HASTINGS","2","38","100","1","49","7","0","0","0","197","402","Hastings Civic Center"
"058","NORTHUMBERLAND--QUINTE WEST","019","U","HASTINGS","1","47","47","0","42","3","0","0","0","140","283","Hastings Civic Center"
"058","NORTHUMBERLAND--QUINTE WEST","020","U","HASTINGS","1","37","47","0","36","4","0","0","0","125","291","Hastings Civic Center"
"058","NORTHUMBERLAND--QUINTE WEST","021","U","HASTINGS","1","39","55","0","40","3","0","0","0","138","303","Hastings Civic Center"
"058","NORTHUMBERLAND--QUINTE WEST","022","U","FRANKFORD ST","1","35","96","0","65","9","0","0","0","206","516","Frankford Public School"
"058","NORTHUMBERLAND--QUINTE WEST","023","U","FRANKFORD ST","1","38","110","1","86","4","1","0","0","241","579","Frankford Public School"
"058","NORTHUMBERLAND--QUINTE WEST","024","U","FRANKFORD ST","0","24","56","0","36","6","1","0","0","123","292","Frankford Public School"
"058","NORTHUMBERLAND--QUINTE WEST","025","U","FRANKFORD ST","1","43","103","1","79","5","0","1","0","233","563","Frankford Public School"
"058","NORTHUMBERLAND--QUINTE WEST","026","U","FRANKFORD ST","1","29","79","1","72","5","1","3","0","191","516","Frankford Public School"
"058","NORTHUMBERLAND--QUINTE WEST","027","U","FRANKFORD ST","2","17","71","0","71","2","0","0","0","163","525","Frankford Public School"
"058","NORTHUMBERLAND--QUINTE WEST","028","U","BELLEVILLE","2","36","123","1","109","5","2","0","0","278","530","Centennial Hall"
"058","NORTHUMBERLAND--QUINTE WEST","029","U","FRANKFORD","0","24","86","0","52","5","0","0","0","167","499","Frankford Lions Hall"
"058","NORTHUMBERLAND--QUINTE WEST","030","U","BELLEVILLE","4","11","50","0","27","2","2","1","0","97","217","Centennial Hall"
"058","NORTHUMBERLAND--QUINTE WEST","031","U","BATAWA","1","31","88","0","53","3","1","0","0","177","418","Batawa Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","032","U","FRANKFORD","1","40","81","1","35","8","0","0","0","166","341","Frankford Lions Hall"
"058","NORTHUMBERLAND--QUINTE WEST","033","U","FRANKFORD ST","3","38","105","0","73","7","0","0","0","226","555","Frankford Public School"
"058","NORTHUMBERLAND--QUINTE WEST","034","U","FRANKFORD","1","36","56","2","41","4","0","0","0","140","309","Frankford Lions Hall"
"058","NORTHUMBERLAND--QUINTE WEST","035","U","FRANKFORD","1","21","72","0","37","5","0","0","0","136","300","Frankford Lions Hall"
"058","NORTHUMBERLAND--QUINTE WEST","036","U","FRANKFORD","1","37","37","0","43","2","0","0","0","120","317","Frankford Lions Hall"
"058","NORTHUMBERLAND--QUINTE WEST","037","U","BATAWA","1","35","59","0","30","6","0","0","0","131","300","Batawa Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","038","U","BATAWA","0","31","54","1","57","5","0","0","0","148","285","Batawa Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","039","U","BATAWA","0","25","43","1","48","3","1","0","0","121","319","Batawa Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","040","U","BELLEVILLE","1","22","60","0","69","0","1","0","0","153","366","Centennial Hall"
"058","NORTHUMBERLAND--QUINTE WEST","041","U","BELLEVILLE","1","11","37","0","36","1","0","4","0","90","126","Centennial Hall"
"058","NORTHUMBERLAND--QUINTE WEST","042","U","BELLEVILLE","2","19","74","0","71","5","0","1","0","172","378","Centennial Hall"
"058","NORTHUMBERLAND--QUINTE WEST","043","U","TRENTON","7","44","133","0","128","3","1","0","0","316","661","Occasions By the Bay"
"058","NORTHUMBERLAND--QUINTE WEST","044","U","TRENTON","4","82","144","1","99","3","0","0","0","333","713","Occasions By the Bay"
"058","NORTHUMBERLAND--QUINTE WEST","045","U","TRENTON","2","6","30","0","37","2","1","0","0","78","182","Occasions By the Bay"
"058","NORTHUMBERLAND--QUINTE WEST","046","U","TRENTON","2","24","51","1","38","3","0","0","0","119","394","Occasions By the Bay"
"058","NORTHUMBERLAND--QUINTE WEST","047","U","TRENTON","2","25","75","0","52","5","0","0","1","160","420","Occasions By the Bay"
"058","NORTHUMBERLAND--QUINTE WEST","048","U","TRENTON","1","23","31","0","11","2","1","0","0","69","236","Occasions By the Bay"
"058","NORTHUMBERLAND--QUINTE WEST","049","U","TRENTON","2","13","42","2","11","5","1","0","0","76","455","Breadner Elementary School"
"058","NORTHUMBERLAND--QUINTE WEST","050","U","TRENTON","1","8","31","0","24","3","0","0","0","67","246","Breadner Elementary School"
"058","NORTHUMBERLAND--QUINTE WEST","051","U","TRENTON","2","23","70","2","47","5","0","0","0","149","372","V.P. Carswell Public School"
"058","NORTHUMBERLAND--QUINTE WEST","052","U","TRENTON","1","25","56","1","29","3","0","0","0","115","449","V.P. Carswell Public School"
"058","NORTHUMBERLAND--QUINTE WEST","053","U","TRENTON","2","27","50","0","48","7","0","0","0","134","358","V.P. Carswell Public School"
"058","NORTHUMBERLAND--QUINTE WEST","054","U","TRENTON","1","23","29","0","36","1","0","1","0","91","240","V.P. Carswell Public School"
"058","NORTHUMBERLAND--QUINTE WEST","055","U","TRENTON","1","30","53","0","32","6","0","0","0","122","338","V.P. Carswell Public School"
"058","NORTHUMBERLAND--QUINTE WEST","056","U","TRENTON","1","25","35","2","32","2","0","0","0","97","331","V.P. Carswell Public School"
"058","NORTHUMBERLAND--QUINTE WEST","057","U","TRENTON","0","18","40","1","59","3","1","0","0","122","287","St. Georges Anglican Church"
"058","NORTHUMBERLAND--QUINTE WEST","058","U","TRENTON","1","17","42","0","26","2","0","0","0","88","313","St. Georges Anglican Church"
"058","NORTHUMBERLAND--QUINTE WEST","059","U","TRENTON","1","35","55","1","39","2","0","0","0","133","406","St. Georges Anglican Church"
"058","NORTHUMBERLAND--QUINTE WEST","060","U","TRENTON","0","24","28","1","51","2","0","0","0","106","271","Trenton Lions Club"
"058","NORTHUMBERLAND--QUINTE WEST","061","U","TRENTON","1","20","31","0","32","2","0","0","0","86","306","Trenton Lions Club"
"058","NORTHUMBERLAND--QUINTE WEST","062","U","TRENTON","1","29","29","0","35","6","0","2","0","102","309","Trenton Lions Club"
"058","NORTHUMBERLAND--QUINTE WEST","063","U","TRENTON","0","16","27","0","26","3","0","0","0","72","245","Trenton Senior Citizens Club"
"058","NORTHUMBERLAND--QUINTE WEST","064","U","TRENTON","2","12","24","0","44","2","0","0","0","84","270","Queen Elizabeth Elementary School"
"058","NORTHUMBERLAND--QUINTE WEST","065","U","TRENTON","0","23","40","0","22","2","1","0","0","88","320","Queen Elizabeth Elementary School"
"058","NORTHUMBERLAND--QUINTE WEST","066","U","TRENTON","1","14","35","0","38","4","0","0","0","92","335","Trenton Lions Club"
"058","NORTHUMBERLAND--QUINTE WEST","067","U","TRENTON","0","21","31","0","24","0","1","0","0","77","324","Trenton Lions Club"
"058","NORTHUMBERLAND--QUINTE WEST","068","U","TRENTON","2","12","31","0","13","1","0","0","0","59","284","Trenton Lions Club"
"058","NORTHUMBERLAND--QUINTE WEST","069","U","TRENTON","0","13","16","1","21","0","0","0","0","51","259","Queen Elizabeth Elementary School"
"058","NORTHUMBERLAND--QUINTE WEST","070","U","TRENTON","1","23","48","1","30","1","0","0","0","104","463","Grace United Church"
"058","NORTHUMBERLAND--QUINTE WEST","071","U","TRENTON","1","17","29","0","34","2","1","0","0","84","307","Grace United Church"
"058","NORTHUMBERLAND--QUINTE WEST","072","U","TRENTON","1","7","8","0","11","0","0","0","0","27","239","Trenton Senior Citizens Club"
"058","NORTHUMBERLAND--QUINTE WEST","073","U","TRENTON","0","7","23","0","20","0","0","0","0","50","230","Seasons Retirement Dufferin Centre"
"058","NORTHUMBERLAND--QUINTE WEST","074","U","TRENTON","0","15","12","0","12","3","0","0","0","42","285","Seasons Retirement Dufferin Centre"
"058","NORTHUMBERLAND--QUINTE WEST","075","U","TRENTON","3","15","51","1","51","0","0","0","0","121","252","Seasons Retirement Dufferin Centre"
"058","NORTHUMBERLAND--QUINTE WEST","076","U","TRENTON","2","14","18","0","38","1","0","0","0","73","328","Seasons Retirement Dufferin Centre"
"058","NORTHUMBERLAND--QUINTE WEST","077","U","TRENTON","0","31","29","0","39","8","0","0","0","107","366","City of Quinte West Municipal Office"
"058","NORTHUMBERLAND--QUINTE WEST","078","U","TRENTON","1","22","23","0","39","5","0","0","0","90","334","City of Quinte West Municipal Office"
"058","NORTHUMBERLAND--QUINTE WEST","079","U","TRENTON","2","15","29","0","27","6","0","0","0","79","238","City of Quinte West Municipal Office"
"058","NORTHUMBERLAND--QUINTE WEST","080","U","TRENTON","0","12","54","1","71","7","0","0","0","145","392","City of Quinte West Municipal Office"
"058","NORTHUMBERLAND--QUINTE WEST","081","U","TRENTON","1","24","61","0","87","2","0","0","0","175","412","Trenton High School"
"058","NORTHUMBERLAND--QUINTE WEST","082","U","TRENTON","0","22","65","0","92","4","0","0","0","183","477","Trenton High School"
"058","NORTHUMBERLAND--QUINTE WEST","083","U","TRENTON","0","17","31","0","26","0","1","0","0","75","255","Ebenezer Christian Reformed Church"
"058","NORTHUMBERLAND--QUINTE WEST","084","U","TRENTON","1","37","100","0","95","5","1","0","0","239","446","Ebenezer Christian Reformed Church"
"058","NORTHUMBERLAND--QUINTE WEST","085","U","TRENTON","2","26","101","1","114","4","1","0","0","249","528","Trenton High School"
"058","NORTHUMBERLAND--QUINTE WEST","086","U","TRENTON","0","34","44","0","64","1","1","0","0","144","397","North Trenton Elementary School"
"058","NORTHUMBERLAND--QUINTE WEST","087","U","TRENTON","0","18","29","0","36","3","1","1","0","88","280","North Trenton Elementary School"
"058","NORTHUMBERLAND--QUINTE WEST","088","U","TRENTON","0","10","30","1","15","2","1","0","0","59","185","North Trenton Elementary School"
"058","NORTHUMBERLAND--QUINTE WEST","089","U","TRENTON","1","30","47","1","40","3","1","0","0","123","340","North Trenton Elementary School"
"058","NORTHUMBERLAND--QUINTE WEST","090","U","TRENTON","0","22","74","0","66","1","0","0","0","163","409","Murray Centennial School"
"058","NORTHUMBERLAND--QUINTE WEST","091","U","BRIGHTON","1","23","97","1","97","6","0","0","0","225","586","Smithfield Public School"
"058","NORTHUMBERLAND--QUINTE WEST","092","U","TRENTON","1","36","50","1","51","3","0","0","0","142","369","Murray Centennial School"
"058","NORTHUMBERLAND--QUINTE WEST","093","U","TRENTON","0","30","64","0","63","2","1","0","0","160","382","Murray Centennial School"
"058","NORTHUMBERLAND--QUINTE WEST","094","U","TRENTON","0","22","64","1","34","4","0","0","0","125","384","Murray Centennial School"
"058","NORTHUMBERLAND--QUINTE WEST","095","U","BRIGHTON","1","9","59","1","43","4","0","1","0","118","316","Smithfield Public School"
"058","NORTHUMBERLAND--QUINTE WEST","096","U","BRIGHTON","0","30","49","1","75","1","0","0","0","156","352","Smithfield Public School"
"058","NORTHUMBERLAND--QUINTE WEST","097","U","BRIGHTON","0","34","91","1","73","6","2","0","1","208","457","Smithfield United Church"
"058","NORTHUMBERLAND--QUINTE WEST","098","U","BRIGHTON","1","23","56","1","76","4","0","0","0","161","385","Smithfield United Church"
"058","NORTHUMBERLAND--QUINTE WEST","099","U","BRIGHTON","0","21","59","0","41","0","0","0","1","122","323","Smithfield United Church"
"058","NORTHUMBERLAND--QUINTE WEST","100","U","BRIGHTON","0","23","62","1","49","3","1","0","0","139","352","Evangel Pentecostal Church"
"058","NORTHUMBERLAND--QUINTE WEST","101","U","BRIGHTON","1","27","84","0","96","7","0","0","0","215","452","Evangel Pentecostal Church"
"058","NORTHUMBERLAND--QUINTE WEST","102","U","BRIGHTON","1","21","46","0","74","2","0","1","0","145","323","Evangel Pentecostal Church"
"058","NORTHUMBERLAND--QUINTE WEST","103","U","BRIGHTON","1","22","71","0","101","6","0","0","0","201","437","Evangel Pentecostal Church"
"058","NORTHUMBERLAND--QUINTE WEST","104","U","BRIGHTON","1","30","84","0","120","9","0","0","0","244","514","Evangel Pentecostal Church"
"058","NORTHUMBERLAND--QUINTE WEST","105","U","BRIGHTON","0","13","73","0","65","2","0","0","0","153","382","Evangel Pentecostal Church"
"058","NORTHUMBERLAND--QUINTE WEST","106","U","BRIGHTON","1","25","73","0","70","5","0","0","0","174","396","Evangel Pentecostal Church"
"058","NORTHUMBERLAND--QUINTE WEST","107","U","BRIGHTON","0","22","43","0","44","2","0","0","0","111","285","Evangel Pentecostal Church"
"058","NORTHUMBERLAND--QUINTE WEST","108","U","BRIGHTON","1","24","21","0","32","2","1","1","0","82","246","Brighton King Edward Multipurpose Facility"
"058","NORTHUMBERLAND--QUINTE WEST","109","U","BRIGHTON","0","18","14","1","46","3","0","0","0","82","316","Brighton King Edward Multipurpose Facility"
"058","NORTHUMBERLAND--QUINTE WEST","110","U","BRIGHTON","0","27","58","0","51","5","0","1","0","142","395","Spring Valley Public School"
"058","NORTHUMBERLAND--QUINTE WEST","111","U","BRIGHTON","1","22","39","0","77","7","1","0","0","147","345","Brighton King Edward Multipurpose Facility"
"058","NORTHUMBERLAND--QUINTE WEST","112","U","BRIGHTON","1","21","65","0","82","7","0","0","0","176","378","Brighton King Edward Multipurpose Facility"
"058","NORTHUMBERLAND--QUINTE WEST","113","U","BRIGHTON","0","22","50","0","82","7","1","0","0","162","377","Evangel Pentecostal Church"
"058","NORTHUMBERLAND--QUINTE WEST","114","U","COLBORNE","0","22","49","0","70","4","0","0","0","145","412","Salem United Church"
"058","NORTHUMBERLAND--QUINTE WEST","115","U","COLBORNE","2","23","70","0","40","5","1","0","0","141","322","Salem United Church"
"058","NORTHUMBERLAND--QUINTE WEST","116","U","COLBORNE","1","35","59","1","44","8","0","1","0","149","356","Salem United Church"
"058","NORTHUMBERLAND--QUINTE WEST","117","U","COLBORNE","0","14","43","0","31","2","1","0","0","91","213","Colborne Legion Hall"
"058","NORTHUMBERLAND--QUINTE WEST","118","U","COLBORNE","0","36","59","0","55","5","0","1","1","157","317","Colborne Legion Hall"
"058","NORTHUMBERLAND--QUINTE WEST","119","U","COLBORNE","0","28","27","0","35","0","0","0","0","90","228","Colborne United Church"
"058","NORTHUMBERLAND--QUINTE WEST","120","U","COLBORNE","1","43","56","1","45","3","2","0","0","151","362","Colborne Legion Hall"
"058","NORTHUMBERLAND--QUINTE WEST","121","U","COLBORNE","0","24","75","1","65","14","1","0","0","180","370","Colborne United Church"
"058","NORTHUMBERLAND--QUINTE WEST","122","U","COLBORNE","0","41","62","2","69","4","0","0","0","178","374","Colborne Legion Hall"
"058","NORTHUMBERLAND--QUINTE WEST","123","U","COLBORNE","1","32","59","0","50","4","1","0","0","147","328","Colborne Legion Hall"
"058","NORTHUMBERLAND--QUINTE WEST","124","U","FRANKFORD","1","35","86","0","49","6","1","0","0","178","370","Stockdale Public School"
"058","NORTHUMBERLAND--QUINTE WEST","125","U","FRANKFORD","1","22","50","1","28","3","0","0","0","105","241","Stockdale Public School"
"058","NORTHUMBERLAND--QUINTE WEST","126","U","FRANKFORD","2","33","72","1","33","4","0","0","0","145","267","Stockdale Public School"
"058","NORTHUMBERLAND--QUINTE WEST","127","U","CODRINGTON","1","26","72","0","62","4","0","0","0","165","403","Codrington Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","128","U","FRANKFORD","0","20","68","0","38","6","2","0","0","134","343","Stockdale Public School"
"058","NORTHUMBERLAND--QUINTE WEST","129","U","BATAWA","4","48","96","1","92","6","0","1","0","248","625","Batawa Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","130","U","BRIGHTON","0","22","79","0","89","2","0","0","0","192","398","Spring Valley Public School"
"058","NORTHUMBERLAND--QUINTE WEST","131","U","CODRINGTON","1","34","93","2","90","10","0","0","0","230","566","Codrington Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","132","U","COLBORNE","1","12","27","0","30","5","0","0","1","76","281","Eden United Church"
"058","NORTHUMBERLAND--QUINTE WEST","133","U","COLBORNE","1","24","47","0","46","8","0","0","0","126","341","Eden United Church"
"058","NORTHUMBERLAND--QUINTE WEST","134","U","CASTLETON","3","43","92","3","53","4","0","0","0","198","471","Northumberland Hills Public School"
"058","NORTHUMBERLAND--QUINTE WEST","135","U","CODRINGTON","0","36","78","1","75","10","0","0","0","200","430","Codrington Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","136","U","GRAFTON","0","13","41","0","24","0","0","0","0","78","307","Centreton Community Hall"
"058","NORTHUMBERLAND--QUINTE WEST","137","U","WARKWORTH","0","29","94","0","42","2","0","0","0","167","330","Percy Centennial Public School"
"058","NORTHUMBERLAND--QUINTE WEST","138","U","WARKWORTH","1","34","86","0","73","7","0","1","0","202","359","Percy Centennial Public School"
"058","NORTHUMBERLAND--QUINTE WEST","139","U","WARKWORTH","0","22","62","0","68","4","1","0","1","158","347","Percy Centennial Public School"
"058","NORTHUMBERLAND--QUINTE WEST","140","U","WARKWORTH","1","42","118","1","61","3","0","0","0","226","431","Percy Centennial Public School"
"058","NORTHUMBERLAND--QUINTE WEST","141","U","ROSENEATH","1","46","103","0","73","4","0","0","0","227","431","Alnwick Civic Centre"
"058","NORTHUMBERLAND--QUINTE WEST","142","U","ROSENEATH","6","67","48","1","49","1","0","0","0","172","469","Alderville Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","143","U","ROSENEATH","1","23","82","3","66","6","1","5","0","187","445","Fenella Community Hall"
"058","NORTHUMBERLAND--QUINTE WEST","144","U","GRAFTON","1","31","57","1","37","8","0","1","0","136","305","Centreton Community Hall"
"058","NORTHUMBERLAND--QUINTE WEST","145","U","CASTLETON","2","61","123","0","90","9","0","1","0","286","526","Northumberland Hills Public School"
"058","NORTHUMBERLAND--QUINTE WEST","146","U","CASTLETON","0","49","93","0","85","4","1","1","0","233","564","Northumberland Hills Public School"
"058","NORTHUMBERLAND--QUINTE WEST","147","U","GRAFTON","4","32","112","1","57","6","0","0","2","214","488","Centreton Community Hall"
"058","NORTHUMBERLAND--QUINTE WEST","148","U","GRAFTON","1","30","104","0","77","5","0","0","0","217","477","Centreton Community Hall"
"058","NORTHUMBERLAND--QUINTE WEST","149","U","ROSENEATH","2","55","78","0","61","1","0","0","0","197","424","Fenella Community Hall"
"058","NORTHUMBERLAND--QUINTE WEST","150","U","ROSENEATH","1","24","44","1","57","2","0","0","0","129","251","Alnwick Civic Centre"
"058","NORTHUMBERLAND--QUINTE WEST","151","U","HARWOOD","3","57","124","2","103","17","1","1","0","308","667","Harwood Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","152","U","HARWOOD","1","42","62","0","83","12","0","0","2","202","449","Harwood Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","153","U","HARWOOD","2","28","54","0","50","0","1","0","0","135","317","Harwood Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","154","U","COBOURG","1","25","59","1","79","1","0","0","0","166","298","Cold Springs Community Hall"
"058","NORTHUMBERLAND--QUINTE WEST","155","U","COBOURG","1","24","66","0","53","4","1","0","0","149","248","Cold Springs Community Hall"
"058","NORTHUMBERLAND--QUINTE WEST","156","U","BALTIMORE","0","38","83","1","66","12","0","0","0","200","513","Baltimore Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","157","U","BALTIMORE","2","40","90","1","86","11","0","2","0","232","514","Baltimore Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","158","U","BALTIMORE","1","20","60","1","57","5","0","0","0","144","316","Baltimore Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","159","U","BALTIMORE","1","42","102","1","89","4","1","0","0","240","540","Baltimore Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","160","U","BALTIMORE","3","29","101","0","83","8","0","0","0","224","480","Baltimore Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","161","U","COLBORNE","2","18","39","0","37","2","0","0","0","98","271","Colborne Legion Hall"
"058","NORTHUMBERLAND--QUINTE WEST","162","U","GRAFTON","0","23","70","0","73","7","0","0","0","173","290","Grafton Public School"
"058","NORTHUMBERLAND--QUINTE WEST","163","U","GRAFTON","0","32","78","1","82","12","3","0","0","208","409","Grafton Public School"
"058","NORTHUMBERLAND--QUINTE WEST","164","U","GRAFTON","1","30","61","0","96","3","0","0","0","191","351","Grafton Public School"
"058","NORTHUMBERLAND--QUINTE WEST","165","U","COBOURG","1","19","60","0","64","7","0","1","0","152","354","St. Mary's Secondary Cobourg"
"058","NORTHUMBERLAND--QUINTE WEST","166","U","COBOURG","0","13","37","1","18","1","0","0","0","70","128","Merwin Greer Public School"
"058","NORTHUMBERLAND--QUINTE WEST","167","U","COBOURG","1","45","67","1","63","6","2","0","0","185","448","St. Mary's Secondary Cobourg"
"058","NORTHUMBERLAND--QUINTE WEST","168","U","COBOURG","1","27","63","1","69","3","0","0","0","164","345","St. Mary's Secondary Cobourg"
"058","NORTHUMBERLAND--QUINTE WEST","169","U","COBOURG","2","24","82","1","64","2","0","1","0","176","381","Dale Road Public School"
"058","NORTHUMBERLAND--QUINTE WEST","170","U","COBOURG","2","28","65","0","55","3","0","0","0","153","392","St. Mary's Secondary Cobourg"
"058","NORTHUMBERLAND--QUINTE WEST","171","U","COBOURG","2","31","121","0","93","11","2","0","1","261","623","St. Mary's Secondary Cobourg"
"058","NORTHUMBERLAND--QUINTE WEST","172","U","COBOURG","2","26","31","0","25","6","0","0","0","90","309","Cobourg Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","173","U","COBOURG","0","18","21","0","19","3","0","1","0","62","267","Cobourg Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","174","U","COBOURG","0","27","47","0","49","7","0","0","0","130","342","Cobourg Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","175","U","COBOURG","2","20","42","0","44","2","1","0","0","111","319","Cobourg Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","176","U","COBOURG","1","16","27","0","25","0","1","1","0","71","279","Cobourg Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","177","U","COBOURG","1","38","61","0","78","9","0","0","0","187","367","Merwin Greer Public School"
"058","NORTHUMBERLAND--QUINTE WEST","178","U","COBOURG","1","31","79","2","80","4","0","0","0","197","438","Merwin Greer Public School"
"058","NORTHUMBERLAND--QUINTE WEST","179","U","COBOURG","0","37","64","1","86","7","0","0","0","195","385","Merwin Greer Public School"
"058","NORTHUMBERLAND--QUINTE WEST","180","U","COBOURGE","0","44","57","1","117","8","0","0","0","227","443","Cobourg Collegiate East"
"058","NORTHUMBERLAND--QUINTE WEST","181","U","COBOURGE","1","26","47","0","69","6","0","0","0","149","350","Cobourg Collegiate East"
"058","NORTHUMBERLAND--QUINTE WEST","182","U","COBOURG","1","27","34","1","49","6","0","0","0","118","305","Columbus Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","183","U","COBOURG","2","33","40","0","82","7","0","0","0","164","370","Columbus Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","184","U","COBOURGE","0","28","25","0","69","9","1","0","0","132","325","Cobourg Collegiate East"
"058","NORTHUMBERLAND--QUINTE WEST","185","U","COBOURGE","0","17","28","1","56","4","0","0","0","106","244","Cobourg Collegiate East"
"058","NORTHUMBERLAND--QUINTE WEST","186","U","COBOURG","0","17","43","0","84","10","0","0","0","154","320","Columbus Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","187","U","COBOURG","2","28","50","0","68","11","1","0","1","161","376","Columbus Community Centre"
"058","NORTHUMBERLAND--QUINTE WEST","188","U","COBOURG","0","25","24","0","35","6","0","0","0","90","245","Cobourg Memorial Temple"
"058","NORTHUMBERLAND--QUINTE WEST","189","U","COBOURG","0","21","23","0","32","13","1","1","0","91","305","St. Andrews Presbyterian Church"
"058","NORTHUMBERLAND--QUINTE WEST","190","U","COBOURG","0","16","17","0","19","1","0","0","0","53","184","St. Andrews Presbyterian Church"
"058","NORTHUMBERLAND--QUINTE WEST","191","U","COBOURG","2","35","65","1","84","5","0","0","0","192","497","St. Andrews Presbyterian Church"
"058","NORTHUMBERLAND--QUINTE WEST","192","U","COBOURG","1","20","34","0","51","2","0","0","0","108","304","St. Andrews Presbyterian Church"
"058","NORTHUMBERLAND--QUINTE WEST","193","U","COBOURG","2","22","39","1","44","7","1","0","0","116","276","St. Andrews Presbyterian Church"
"058","NORTHUMBERLAND--QUINTE WEST","194","U","COBOURG","0","18","37","0","43","10","0","0","0","108","288","Cobourg Memorial Temple"
"058","NORTHUMBERLAND--QUINTE WEST","195","U","COBOURG","2","32","41","2","68","7","0","0","0","152","351","St. Andrews Presbyterian Church"
"058","NORTHUMBERLAND--QUINTE WEST","196","U","COBOURG","2","25","42","0","69","5","1","0","0","144","342","St. Andrews Presbyterian Church"
"058","NORTHUMBERLAND--QUINTE WEST","197","U","COBOURG","2","24","60","0","54","13","1","0","0","154","334","St. Andrews Presbyterian Church"
"058","NORTHUMBERLAND--QUINTE WEST","198","U","COBOURG","0","17","40","0","55","7","0","0","0","119","279","Burnham School"
